 GeneBank accession no. 	 Fold change 	 Description 	Function
NM_001186	-2.11	Helicase, basic leucine zipper transcription factor-1	 Transcription factors 
NM_006963, AA744771	29.27	Zinc finger protein 22 (KOX 15)	 Transcription factors 
NM_006291	5.05	Zinc finger protein 185 (LIM domain)	 Transcription factors 
NM_014368	2.91	LIM homeobox protein 6	 Transcription factors 
NM_001290	-5.2	LIM domain binding 2	 Transcription factors 
NM_002586	-2.75	Pre-B-cell leukemia transcription factor-2 (PBX-2)	 Transcription factors 
X16155	-2.79	COUP-transcription factor	 Transcription factors 
NM_004445	-2.38	Erythropoietin-producing hepatocyte kinase (EphB6)	 Signal transduction 
NM_002547	2.95	Oligophrenin 1	 Signal transduction 
NM_002821	2.33	Protein tyrosine kinase 7	 Signal transduction 
U71075	-2.48	Protein tyrosine phosphatase, receptor type, U	 Signal transduction 
D30751	2.79	Bone morphogenetic protein 4	 Signal transduction 
NM_022159	-2.92	EGF-TM-7-latrophilin-related protein	 Signal transduction 
NM_013975	2.04	Ligase III, DNA	 Cell growth, proliferation, and maintenance 
NM_006567	2.11	Phenylalanine-tRNA synthetase	 Cell growth, proliferation, and maintenance 
AU118882, NM_001957	-2.9	Endothelin receptor type A	 Cell growth, proliferation, and maintenance 
NM_002349	14.32	Lymphocyte antigen 75, gp200-MR6	 Cell growth, proliferation, and maintenance 
NM_005330	-7.63	Hemoglobin, epsilon 1, oxygen transport	 Cell growth, proliferation, and maintenance 
NM_000385	2.3	Aquaporin 1	 Cell growth, proliferation, and maintenance 
AF052169	2.48	Voltage-gated potassium channel activity	 Cell growth, proliferation, and maintenance 
BE742268	-4.21	Sortilin 1 (SORT 1)	 Cell growth, proliferation, and maintenance 
AW206786	-2.32	Enigma (LIM domain protein)	 Cell growth, proliferation, and maintenance 
M34064	-2.13	N-cadherin	 Invasion and metastasis 
NM_014751	2.06	Metastasis suppressor gene	 Invasion and metastasis 
NM_002961	2.79	S100 calcium-binding protein A4	 Invasion and metastasis 
NM_021111	2.64	Reversion-inducing cysteine-rich protein with kazal motif (RECK)	 Invasion and metastasis 
AF348491, AJ224869	-4.21, -27.40	Chemokine (C-X-C motif), receptor 4 (fusin)	 Invasion and metastasis 
NM_022842	-18.7	CUB domain-containing protein 1 (CDCP1)	 Invasion and metastasis 
NM_021991	-2.21	Junction plakoglobin	 Oncogenes/tumor suppressor genes 
NM_003287	2.1	Tumor protein D52-like 1	 Oncogenes/tumor suppressor genes 
NM_001958	6.85	Eukaryotic translation elongation factor 1 alpha 2 (EEF 1A2)	 Oncogenes/tumor suppressor genes 
NM_005892	-2.14	Formin-like (FRL)	 Apoptosis 
NM_020371	-2.11	Cell death regulator Aven	 Apoptosis 
NM_002019	-2.24	FLT, VEGFR1, Fms-related tyrosine kinase receptor	 Angiogenesis 
NM_000584	-6.99	Interleukin-8 (IL-8, C-X-CL8)	 Angiogenesis 
A1812030	-3.39	Thrombospondin 1 precursor	 Angiogenesis 
L01639	-8.03	Neuropeptide Y receptor	 Angiogenesis 
U58111	-2.41	Vascular endothelial growth factor C	 Angiogenesis 
NM_006291	2.98	Tumor necrosis factor, alpha-induced protein 2	 Angiogenesis 
NM_002607	2.53	Platelet-derived growth factor alpha polypeptide	 Extracellular matrix 
NM_021599	-4.62	ADAM-TS2	 Extracellular matrix 
BC002416	-2.29	Biglycan	 Extracellular matrix 
NM_000088	3.51	Collagen, type I, alpha 1	 Extracellular matrix 
AI264196	-2.48	Fibrillin 1 precursor	 Extracellular matrix 
D32039	-2.13	Chondroitin sulfate proteoglycan 2 (versican)	 Extracellular matrix 
AI146848	2.87	Dermatopontin precursor	 Extracellular matrix 
AJ276395	-3.8	Fibronectin 1	 Extracellular matrix 
AA669336	7.26	Alpha 1 chain of type XII collagen	 Extracellular matrix 
NM_002759	2.51	EIF2Ak1, protein kinase, PKR	 Others 
NM_004988	-2.95	Melanoma antigen family A1 (MAGE-A1)	 Others 
NM_016931	-2.46	NADPH oxidase 4 (Nox 4)	 Others 
NM_021822	2.8	Phorbolin-like protein MDS019	 Others 
NM_001785	35.3	Cytidine deaminase	 Others 
