Affymetrix ID	Fold Induction	Common name	Description
1368238_at	35.77	Pap	pancreatitis-associated protein
1387011_at	21.84	Lcn2	lipocalin 2
1387391_at	11.63	Cdkn1a	cyclin-dependent kinase inhibitor 1A
1368912_at	10.47	Trh	thyrotropin releasing hormone
1367712_at	7.567	Timp1	tissue inhibitor of metalloproteinase 1
1367564_at	7.555	Nppa	natriuretic peptide precursor type A
1386149_at	6.18		EST219019 Normalized rat muscle, Bento Soares Rattus sp. cDNA clone RMUCN85 3 end, mRNA sequence.
1367851_at	5.092	Ptgds	prostaglandin D2 synthase
1384454_at	5.056		Similar to carboxypeptidase B precursor (LOC312913), mRNA
1395119_at	5.047		Transcribed sequences
1387396_at	3.983	Hamp	hepcidin antimicrobial peptide
1388395_at	3.974		Similar to G0S2-like protein (LOC289388), mRNA
1368703_at	3.922	Enh	enigma homolog
1368144_at	3.817	Rgs2	regulator of G-protein signaling protein 2
1368778_at	3.75	Slc6a6	solute carrier family 6, member 6
1382907_at	3.735		Similar to 4930431B09Rik protein (LOC310721), mRNA
1369737_at	3.7	Crem	cAMP responsive element modulator
1392950_at	3.695		Similar to myotilin (LOC291605), mRNA
1381584_at	3.625		Transcribed sequences
1367846_at	3.596	S100a4	S100 calcium-binding protein A4
1396386_at	3.563		Similar to aspartyl protease 1 (LOC360705), mRNA
1398727_at	3.448		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1374531_at	3.423		Transcribed sequence with moderate similarity to protein pir:T45059 (C.elegans) T45059 hypothetical protein Y39B6B.gg [imported] - Caenorhabditis elegans
1386879_at	3.415	Lgals3	lectin, galactose binding, soluble 3
1379911_at	3.371		Similar to Dapk1 protein (LOC306722), mRNA
1371927_at	3.325		Transcribed sequences
1373723_at	3.226		Hypothetical LOC300027 (LOC300027), mRNA
1373159_at	3.208		Transcribed sequences
1370536_at	3.153	Prmt3	protein arginine N-methyltransferase 3(hnRNP methyltransferase S. cerevisiae)-like 3
1370310_at	3.026	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2
1387799_at	3.023	Fxyd2	FXYD domain-containing ion transport regulator 2
