Symbol	Genbank	Drug
ABCA1	AJ012376	5-Hydroxypicolinaldehyde thiosemicarbazone
NA	AI344681	Geldanamycin, Tiazofurin, 6-Thioguanine, L-Cysteine ethyl ester methylcarbamate
ABCA2	AB028985	Ifosfamide
ABCA3	H51436	Tetrocarcin A, vinblastine, maytansin
NA	U78735	None
ABCA4	H87722	None
NA	AF000148	None
ABCA5	H26264	L-Buthionine sulfoximine
NA	U66672	NSC 366140
ABCA6	AI651024	None
ABCA8	AB020629	None
ABCA12	AL080207	Vinblastine, maytansin
ABCB1	M14758	Dactinomycin, bruceantin, didemnin B, 4 -deoxydoxorubicin, mithramycin, NSC355644, echinomycin A, bisantrene, bactobolin, phyllanthoside, acodazole, doxorubicin, daunorubicin benzoylhydrazone, paclitaxel, vinblastine, tetrocarcin A, geldanamycin
ABCB4	M23234	Echinomycin A
ABCB6	C20962	None
NA	AF070598	6-Thioguanine, caracemide, NSC 291643, NSC 284751,
ABCB7	AA056272	6-mercaptopurine, inosine dialdehyde, rifamycin O6-Methylguanine
NA	AB005289	None
ABCB8	U66688	None
ABCB10	N58275	None
NA	U18237	None
ABCB11	AF091582	Echinomycin A
ABCC1	W46896	Echinomycin A, L-cysteine ethyl ester methylcarbamate, caracemide
NA	L05628	Caracemide, inosine dialdehyde, L-Cysteine ethyl ester methylcarbamate, tamoxifen
NA	X78338	Carademide, spirogermanium, L-cysteine ethyl ester methylcarbamate, inosine dialdehyde
ABCC2	R91503	None
NA	R96618	None
NA	W89005	None
NA	U49248	NSC 354646
ABCC3	U83659	NSC 291643, inosine dialdehyde, L-cysteine ethyl ester methylcarbamate
NA	AF085692	NSC 291643, L-cysteine ethyl ester methylcarbamate, inosine dialdehyde
ABCC4	U83660	Melphalan, chlorambucil, pancratistatin
NA	AF071202	Pancratistatin, NSC 354646, guanylhydrazone
ABCC5	H93519	None
NA	U83661	None
NA	AF104942	None
ABCC6	U66689	Vinblastine, maytansin, paclitaxel, tetrocarcin A, dactinomycin, bactobolin, bruceantin, zinostatin, mithramycin, geldanamyin, echinomycin A, NSC 354646
NA	X95715	None
NA	R99091	Chlorozotocin, vinblastine, tetrocarcin A, maytansin, NSC 354646, didemnin B, paclitaxel, dactinomycin
ABCC7	M28668	None
ABCC8	L78207	None
NA	AI288757	None
ABCD2	AJ000327	None
ABCD3	AA013086	None
ABCE1	W31619	None
NA	X76388	None
ABCF1	W90495	None
NA	AF027302	None
ABCF2	W67806	Caracemide, spiromustine, maytansin, chlorambucil, 4-ipomeanol, hydroxyurea, NSC 293015, NSC, 267213, NSC 602668, carmustine, asalex, amsacrine, melphalan, teniposide, anguidine, uracil nitrogen mustard, doxorubicin, menogaril, etoposide, daunorubicin benzoylhydrazone, deoxyspergualin, NSC 102627, aminoglutethimide, asparaginase, hepsulfam
NA	AA022488	Fludarabine
NA	AJ005016	NSC 357704
ABCF3	AA045255	None
NA	U66685	Caracemide, geldanamycin
ABCG1	H68928	None
NA	X91249	None
ABCG2	N59214	None
NA	AF093771	Pancratistatin
