Accession	Symbol	Function	Fold changea 3 days  (average)	Exp 1	Exp 2	Fold changea 8 days  (average)	Exp 1	Exp 2	5 CpG  island (CGI)
K02765	C3	Complement component	21.2	~17.7	~24.6	29	~28.6	29.3	N
Z19574	KRT17	Cytokeratin	13.6	~12.8	~14.4	19	~16.6	~21.4	N
Y00503	KRT19	Cytokeratin	2.5	2.2	2.7	7.1	8.7	5.4	CGI
M13955	KRT7	Cytokeratin	2.8	1.4	4.1	11.9	5.3	18.5	CGI
X74929	KRT8	Cytokeratin	18.5	~25.3	11.6	29	~40.3	17.7	N
M26167	PF4V1	Cytokine family	2.3	~2.6	~1.9	5.4	~4.8	~6.0	N
J03474	SAA1	Cytokine stimulated	3.3	~4.1	~2.4	18.2	~18.7	~17.7	N
X67325	IFI27	IFN induced	18.8	~16.9	~20.7	42.1	~32.5	~51.7	N
D89050	OLR1	LDL receptor	4.2	3.9	4.5	7.7	9.6	5.7	N
M97936	STAT1	Transcription factor	11.3	~16.8	~5.8	14.8	~23.8	5.8	CGI
U07919	ALDH6	Aldehyde dehydrogenase	3.3	3.4	3.1	4.6	4.9	4.3	CGI
L20591	ANXA3	Annexin	2.9	2.5	~3.3	4.3	4.1	~4.4	N
X16662	ANXA8	Annexin	4.1	~3.0	~5.2	10.6	~6.5	~14.6	N
U70063	ASAH	Ceramidase	0.5	~-1.0	1.9	6	~5.1	6.8	CGI
D13639	CCND2	Cyclin	4.6	3.8	5.4	40	49.4	30.6	CGI
M83186	COX7A1	Cytochrome c oxidase	3.4	1.1	5.6	12	5.3	~18.7	CGI
D55696	PRSC1	Endopeptidase	4.9	~10.8	-1	15.4	~22.8	8	N
Y08374	CHI3L1	Environment change Resp.	16.2	13.8	18.5	18.5	17.1	19.9	N
U28727	PAPPA	Growth factor activator	3.7	4.7	2.7	11.1	~17.5	4.6	N
U90551	H2AFL	Histone	3.3	2.5	~4.0	12	7.4	~16.6	N
Z80780	H2BFH	Histone	2.8	~1.6	~3.9	6.1	~7.4	4.8	N
X57985	H2BFQ	Histone	4.5	~4.8	~4.1	6.7	~6.0	~7.4	CGI
M32053	H19	Imprinted gene	4.3	4	~4.6	9.5	5.5	~13.5	CGI
U31201	LAMC2	Laminin	-1.6	~-1.8	~-1.4	6.5	~4.3	~8.6	N
U41518	AQP1	Membrane protein	4.4	5.2	3.6	23	19.2	26.7	N
D90224	TNFSF4	Membrane protein (type ii)	4.5	~4.1	~4.8	8.6	~6.6	10.6	N
X05232	MMP3	Metalloproteinase 3	3.5	~4.0	~2.9	9.6	~8.8	~10.3	N
D45917	TIMP3	Metalloproteinase 3 inhibitor	2.8	2.9	2.7	4.8	5.1	4.5	CGI
U37283	MAGP2	Microfibril-associated	2.6	~2.9	~2.3	11.5	~9.5	~13.5	N
X13100	MYH3	Myosin	2.7	~1.6	~3.7	8.6	~8.2	~9.0	N
Y00757	SGNE1	Neuroendocrine protein	4.7	~1.8	~7.5	6.6	~6.4	~6.7	N
X17042	PRG1	Proteoglycan	2.6	2.1	3	4.7	4.3	5.1	N
U10687	MAGEA4	Tumor transformation	4.1	2.1	~6.1	10.5	~8.8	~12.2	N
