Gene description	Symbol	Accession no.	Ratio (Log2)	SD	Functional Category
Similar to endothelial cell-selective adhesion molecule	W117m	R64386	1.1	0.3	Cell surface receptors/ligands
s-lac lectin 1-14-ii (lgals2)†	HL14	AA872397	1.2	0.8	Cell surface receptors/ligands
Endomucin-2	EMCN	AA426155	1.3	0.3	Cell surface receptors/ligands
Insulin-like growth factor 2 (igf-2)†	LOC492304	H59614	1	0.6	Cell surface receptors/ligands
ras-related protein r-ras†		AI819700	1.2	0.3	Transporter/signal transduction
sh3 binding protein	SH3_1	N52513	1.1	0.2	Transporter/signal transduction
ESTs, similar to ICE4 human caspase-4		W65323	1.1	0.8	Transporter/signal transduction
Osteopontin†	BNSP	R59298	1	0.4	Transporter/signal transduction
mRNA for silencer element†	STMN2	R19072	1	0.5	Transporter/signal transduction
Potassium channel, subfamily k, member 17 (task-4)†	TALK2	AI740592	1.3	0.4	Transporter/signal transduction
fxyd domain-containing ion transport regulator 6	FXYD2	R87333	1.2	0.2	Transporter/signal transduction
PR-domain zinc finger protein 1†	Blimp-1	AI692550	1	0.3	Transporter/signal transduction
Sperm-associated antigen 9	SYD1	AI690418	1.2	0.8	Transcription factors/cell cycle
Homo sapiensmRNA for rbp-ms/type 3†	HERMES	AA045722	1.3	0.4	Transcription factors/cell cycle
Histones h2b.1 and h2a†		R98471	1.1	0.4	Cellular component/cytoskeleton
Cytokeratin 20†	CK20	Aa471027	1.3	0.7	Cellular component/cytoskeleton
Human profilin ii†	PFL	R17470	1.1	0.5	Cellular component/cytoskeleton
Ankyrin g (ank-3)	FLJ45464	H19467	1.5	0.2	Cellular component/cytoskeleton
Pancreatic trypsinogen (try2)	PRSS2	AA293076	1.8	0.3	Other/unknown
Ad036 protein‡	C4orf18	R15218	1.8	0.2	Other/unknown
Hypothetical protein flj10697	FLJ10697	H80748	1	0.2	Other/unknown
Selenoprotein p†	SEPP1	N78730	1	0.5	Other/unknown
kiaa0587 protein	LOC100217542	R32815	1.1	0.5	Other/unknown
Hypothetical protein smap31†		AA504137	1.2	0.3	Other/unknown
kiaa1497 protein	LRRN1	R55372	1.4	0.3	Other/unknown
kiaa1573 protein†		H48270	1.2	0.6	Other/unknown
