Gene symbol	Location of methylated loci	Expression level (vs MCF7)	Methylation intensity (vs MCF7)	Description	Expression
CDH2	NM_001792, CDH2:-312	4.14	?2.137	Cadherin 2, type 1, N-cadherin (neuronal)	Overexpressed and hypomethylated in MCF7-T
DIAPH2	NM_007309, DIAPH2:-74	3.64	?3.247	Early lymphoid activation protein	Overexpressed and hypomethylated in MCF7-T
E2F7	NM_203394, E2F7:-116	2.22	?5.525	E2F transcription factor 7	Overexpressed and hypomethylated in MCF7-T
ID4	NM_001546, ID4:247	6.86	?10.000	Inhibitor of DNA binding 4	Overexpressed and hypomethylated in MCF7-T
PCSK9	NM_174936, PCSK9:-28	3.63	?2.004	Proprotein convertase subtilisin/kexin type 9	Overexpressed and hypomethylated in MCF7-T
PRTFDC1	NM_020200, PRTFDC1:-423	3.96	?2.288	Phosphoribosyl transferase domain containing 1	Overexpressed and hypomethylated in MCF7-T
GALNT10	NM_198321, GALNT10:-7	?2.53	2.683	UDP-N-acetyl-?-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	Down-regulated and hypermethylated in MCF7-T
NR2F2	NM_021005, NR2F2:-200	?2.12	2.008	Nuclear receptor subfamily 2, group F, member 2	Down-regulated and hypermethylated in MCF7-T
PLEKHA9	NM_015899, PLEKHA9:-51	?2.82	2.363	Pleckstrin homology domain containing, A8	Down-regulated and hypermethylated in MCF7-T
SCUBE2	NM_198473, SCUBE2:-88	?9.30	2.255	Signal peptide, CUB domain, EGF-like 2	Down-regulated and hypermethylated in MCF7-T
ANXA4	NM_001153, ANXA4:-218	2.04	?2.045	Annexin A4	Overexpressed and hypomethylated in MCF7-F
AP3M2	NM_006803, AP3M2:-438	2.3	?2.451	Adaptor-related protein complex 3, ?2 subunit	Overexpressed and hypomethylated in MCF7-F
APG9L1	NM_018089, APG9L1:-307	2.18	?2.584	APG9 autophagy 9-like 1 (Saccharomyces cerevisiae)	Overexpressed and hypomethylated in MCF7-F
APPL	NM_012096, APPL:-43	2.13	?2.320	Adaptor protein containing pH, PTB, and leucine zipper 1	Overexpressed and hypomethylated in MCF7-F
ASB3	NM_015701, ASB3:-146	2.63	?8.772	Ankyrin repeat and SOCS box-containing 3	Overexpressed and hypomethylated in MCF7-F
ASPH	NM_032466, ASPH:-485	4.03	?2.165	Aspartate ?-hydroxylase	Overexpressed and hypomethylated in MCF7-F
ATXN7	NM_025075, ATXN7:-788	2.87	?2.451	Ataxin-7	Overexpressed and hypomethylated in MCF7-F
CBLB	NM_170662, CBLB:-319	2.64	?2.294	Cas-Br-M ecotropic retroviral transforming sequence b	Overexpressed and hypomethylated in MCF7-F
CDW92	NM_080546, CDW92:-128	3.38	?2.427	CDW92 antigen	Overexpressed and hypomethylated in MCF7-F
CENPJ	NM_018451, CENPJ:-279	3.13	?2.370	Centromere protein J	Overexpressed and hypomethylated in MCF7-F
CHD1	NM_001270, CHD1:-1866	2.64	?3.226	Chromodomain helicase DNA binding protein 1	Overexpressed and hypomethylated in MCF7-F
CKAP4	NM_006825, CKAP4:-204	2.39	?4.310	Cytoskeleton-associated protein 4	Overexpressed and hypomethylated in MCF7-F
CORO2A	NM_052820, CORO2A:-219	2.07	?10.000	Coronin, actin binding protein, 2A	Overexpressed and hypomethylated in MCF7-F
CTNNB1	NM_001904, CTNNB1:-49	4.89	?2.049	Catenin (cadherin-associated protein), ? 1, 88 kDa	Overexpressed and hypomethylated in MCF7-F
CXCL16	NM_032265|, CXCL16:-174	2.1	2.591	Chemokine (C-X-C motif) ligand 16	Overexpressed and hypomethylated in MCF7-F
CYB561	NM_001915, CYB561:-225	3.46	?2.342	Cytochrome b-561	Overexpressed and hypomethylated in MCF7-F
CYHR1	NM_145754, CYHR1:-184	2.16	?3.021	Cysteine/histidine-rich 1	Overexpressed and hypomethylated in MCF7-F
EDIL3	NM_005711, EDIL3:-87	10	?3.861	EGF-like repeats and discoidin I-like domain 3	Overexpressed and hypomethylated in MCF7-F
FBXL13	NM_031905, FBXL13:-258	2.57	?2.174	F-box and leucine-rich repeat protein 13	Overexpressed and hypomethylated in MCF7-F
FLJ10052	NM_017982, FLJ10052:-476	4.13	?4.274	Sushi domain containing 4	Overexpressed and hypomethylated in MCF7-F
FRAS1	NM_032863, FRAS1:-617	8.74	?3.344	Fraser syndrome 1	Overexpressed and hypomethylated in MCF7-F
GGH	NM_003878, GGH:-423	2.67	?4.695	?-Glutamyl hydrolase	Overexpressed and hypomethylated in MCF7-F
GPAM	NM_020918, GPAM:-206	3.05	?2.353	Glycerol-3-phosphate acyltransferase, mitochondrial	Overexpressed and hypomethylated in MCF7-F
GPR51	NM_005458, GPR51:-86	5.45	?2.004	G protein–coupled receptor 51	Overexpressed and hypomethylated in MCF7-F
HIAT1	NM_033055, HIAT1:-203	2.36	?2.618	Hippocampus abundant transcript 1	Overexpressed and hypomethylated in MCF7-F
