Public ID	Gene title	Gene symbol	Fold change	AdjustedP	Function
M34476	Retinoic acid receptor, ?	Rarg	25	0.000036	Regulation of transcription
AW049768	Lipocalin 7	Lcn7	22	0.000913	Proteolysis
AB010833	Patched homologue 2	Ptch2	21	0.000097	Sonic hedgehog signaling
AA879929	DNA segment, Chr 17, ERATO Doi 288, expressed	NA	12	0.00304	NA
AF035645	Protein tyrosine phosphatase 4a3	Ptp4a3	11	0.001042	Protein amino acid dephosphorylation
AI850533	Bone morphogenic protein 6	Bmp6	9	0.003748	TGF-? receptor signaling pathway
AA838868	Latent transforming growth factor ?binding protein 4	Ltbp4	9	0.00021	TGF-? receptor signaling pathway
AI846549	RIKEN cDNA 2610019F03 gene	NA	9	0.030927	NA
AI841235	Transcription factor 3	Tcf3	8	0.000031	Wnt receptor signaling pathway
U22399	Cyclin-dependent kinase inhibitor 1C (P57)	Cdkn1c	8	0.000036	Cell cycle
D49473	SRY-box containing gene 17	Sox17	8	0.00011	Wnt receptor signaling pathway
U12620	Dipeptidylpeptidase 4	Dpp4	8	0.000009	Proteolysis and peptidolysis
AI846896	RIKEN cDNA 2310004I03 gene	NA	8	0.000392	NA
AI837497	Disabled homologue 2 (Drosophila) interacting protein	Dab2ip	8	0.00015	NA
U30292	Procollagen, type XIII, ?1	Col13a1	7	0.00024	Cell adhesion
X51905	Lactate dehydrogenase 2, B chain	Ldh2	7	0.000937	Glycolysis
AI595313	BTB (POZ) domain containing 4	Btbd4	7	0.001006	Regulation of transcription
AI846678	cDNA sequence BC060632	NA	7	0.000046	NA
M21019	Harvey rat sarcoma oncogene, subgroup R	Rras	6	0.001311	Small GTPase-mediated signal transduction
D11091	Protein kinase C, ??	Prkcq	6	0	Protein amino acid phosphorylation
AF047355	DNase1-like 3	Dnase1l3	6	0.01312	DNA catabolism
AB012886	Insulin-like growth factor binding protein 7	Igfbp7	6	0.002071	Regulation of cell growth
AF010133	MAD homologue 6 (Drosophila)	Smad6	6	0.0001	TGF-? receptor signaling pathway
Y08027	ADP-ribosyltransferase 3	Art3	6	0.002299	Protein amino acid ADP ribosylation
U33629	Myeloid ecotropic viral integration site 1	Meis1	6	0.002722	Regulation of transcription
Z31664	Activin A receptor	Alk1	6	0.001299	TGF-? receptor signaling pathway
L35032	SRY-box containing gene 18	Sox18	6	0.000312	Regulation of transcription
U43541	Laminin, ?2	Lamb2	6	0.018968	Electron transport
AJ131021	Ribosomal protein S6 kinase, polypeptide 2	Rps6ka2	5	0.000488	Protein amino acid phosphorylation
L25602	Bone morphogenetic protein 2	Bmp2	5	0.010433	TGF-? receptor signaling pathway
X98207	Histone deacetylase 1	Hdac1	5	0.000118	Regulation of transcription
AA648027	cDNA sequence BC029719	NA	5	0.001553	NA
AF006492	Zinc finger protein, multitype 1	Zfpm1	5	0.000464	Negative regulation of transcription
AW048347	Tripartite motif protein 47	Trim47	5	0.000218	NA
AJ000059	Hyaluronidase 2	Hyal2	5	0.000709	Carbohydrate metabolism
AI854522	Protocadherin ? subfamily A	Pcdhga	5	0.001361	Cell adhesion
AW047228	Histone deacetylase 7A	Hdac7a	5	0.000031	Negative regulation of transcription
AI849048	Vesicle-associated membrane protein, associated protein B, C	Vapb	5	0.000374	NA
AI851258	RIKEN cDNA E030006K04 gene	NA	5	0.001231	NA
AF016697	Duffy blood group	Dfy	5	0.000135	G protein–coupled receptor protein signaling
AF017111	Interleukin 16	Il16	5	0.000118	Immune cell chemotaxis
L22482	Transforming growth factor ?1-induced transcript 1	Tgfb1i1	5	0.000225	NA
AA709672	Kinesin 2	Kns2	5	0.002176	NA
X74134	Nuclear receptor subfamily 2, group F, member 1	Nr2f1	5	0.000488	Regulation of cell cycle
D30779	Phospholipase A2, group IB, pancreas, receptor	Pla2g1br	5	0.000823	NA
AF004106	Dimethylarginine dimethylaminohydrolase 2	Ddah2	5	0.006736	Arginine catabolism
AI841022	Thyroid hormone receptor ?	Thra	4	0.00024	Regulation of cell cycle
AI843845	RIKEN cDNA 2310061B02 gene	NA	4	0.00072	NA
U37500	Polymerase (RNA) II (DNA directed) polypeptide A	Polr2a	4	0.000432	Transcription
AA209597	RIKEN cDNA C530030I18 gene	NA	4	0.043795	NA
Y08026	Immunity-associated protein	Imap38	4	0.004264	NA
AI845581	RIKEN cDNA 4931426K16 gene	NA	4	0.013572	NA
U05245	T-cell lymphoma invasion and metastasis 1	Tiam1	4	0.011354	Small GTPase-mediated signal transduction
AI839175	Serum deprivation response	Sdpr	4	0.012973	NA
AI841654	G protein–coupled receptor 56	Gpr56	4	0.010435	G protein–coupled receptor protein signaling
AW121826	Inositol 1,4,5-trisphosphate 3-kinase B	Itpkb	4	0.000758	NA
U89489	LIM domain binding 2	Ldb2	4	0.013882	Development
D45903	Syntaxin binding protein 1	Stxbp1	4	0.000913	Protein transport
D10475	Epimorphin	Epim	4	0.007119	Intracellular protein transport
AI835373	RIKEN cDNA F830020C16 gene	NA	4	0.007777	Regulation of transcription
U29055	Guanine nucleotide binding protein, ?1	Gnb1	4	0.016943	G protein–coupled receptor protein signaling
AI157060	RIKEN cDNA D030068L24 gene	NA	4	0.00002	NA
AA397054	Adenylate cyclase 4	Adcy4	4	0.000895	Cyclic AMP biosynthesis
X71426	Endothelial-specific receptor tyrosine kinase	Tek	4	0.001938	Phosphorylation, angiogenesis
AI854794	Tensin like C1 domain-containing phosphatase	Tenc1	4	0.00835	Wnt receptor signaling pathway
AJ250490	Receptor (calcitonin) activity modifying protein 2	Ramp2	4	0.002071	Adrenomedullin signaling, angiogenesis
L33726	Fascin homologue 1, actin bundling protein (Strongylocentrotus)	Fscn1	4	0.000688	NA
L31958	Phosphoprotein enriched in astrocytes 15	Pea15	4	0.000758	Intracellular signaling cascade
AB000096	GATA binding protein 2	Gata2	4	0.000118	Regulation of transcription
AW048884	DNA segment, Chr 8, ERATO Doi 319, expressed	D8Ertd319e	4	0.016682	Metabolism
AI853996	RAB11a, member RAS oncogene family	Rab11a	4	0.012143	Small GTPase-mediated signal transduction
AW124853	cDNA sequence BC030183	NA	4	0.000692	NA
X57971	Gap junction membrane channel protein ?4	Gja4	4	0.017023	Blood vessel development
X61452	Septin 4	Septin4	4	0.015164	Cell cycle
AI841629	Guanine nucleotide binding protein, ? inhibiting 2	Gnai2	4	0.000338	G protein–coupled receptor protein signaling
AA763950	Zinc and ring finger 1	Znrf1	4	0.000325	NA
AW061228	ATPase, Ca2+-sequestering	Atp2c1	4	0.005184	Cation transport
X58250	H2.0-like homeobox 1 x(Drosophila)	Hlx1	4	0.002244	Regulation of transcription
AW121844	Adducin 1 (?)	Add1	4	0.000021	NA
AI154249	RIKEN cDNA 6330406L22 gene	NA	4	0.000622	Intracellular signaling cascade
AF031380	Riboflavin kinase	Rfk	4	0.001382	Vitamin B2 biosynthesis
AF055665	Kinesin 2	Kns2	4	0.003299	NA
AV333272	Bone morphogenetic protein 2	Bmp2	4	0.016525	TGF-? receptor signaling pathway
AW122407	Catenin src	Catns	4	0.001808	Cell adhesion
AF015260	MAD homologue 7 (Drosophila)	Smad7	4	0.002249	TGF-? receptor signaling pathway
