Gene Symbol	Gene Title	GenBank ID	Affy ID	Fold Change	P-value	FDR (%)
ADI1	acireductone dioxygenase 1	NM_018269	217761_at	0.71	1.20E-04	0
AMFR	autocrine motility factor receptor	NM_001144	202203_s_at	1.9	2.38E-05	0
APOLD1	apolipoprotein L domain containing 1	NM_030817	221031_s_at	1.56	4.36E-04	0
C1orf38	chromosome 1 open reading frame 38	AB035482	210785_s_at	1.58	4.48E-04	0
C1orf38	chromosome 1 open reading frame 38	NM_004848	207571_x_at	1.51	7.06E-04	0
C8orf4	chromosome 8 open reading frame 4	NM_020130	218541_s_at	1.71	8.49E-06	0
CCR7	chemokine (C-C motif) receptor 7	NM_001838	206337_at	1.66	1.03E-03	0
CD2	CD2 molecule	NM_001767	205831_at	1.49	6.17E-03	0
CD28	CD28 molecule	NM_006139	206545_at	1.38	8.11E-03	0
CRYBB2	crystallin, beta B2	NM_000496	206777_s_at	3.02	1.30E-11	0
CTNNB1	catenin, beta 1, 88kDa	NM_001904	201533_at	1.25	4.11E-07	0
DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	NM_013238	218435_at	1.64	3.78E-04	0
EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1	AW007368	217735_s_at	0.76	3.27E-05	0
FLJ20035	hypothetical protein FLJ20035	NM_017631	218986_s_at	1.42	1.88E-04	0
GZMA	granzyme A	NM_006144	205488_at	1.63	6.47E-04	0
HERC2P2	hect domain and RLD 2 pseudogene 2	AB002391	217317_s_at	0.79	5.79E-05	0
HLA-B	major histocompatibility complex, class I, B	L07950	211911_x_at	1.34	3.19E-04	0
HLA-C	major histocompatibility complex, class I, C	U62824	211799_x_at	1.41	7.73E-05	0
HLA-DPB1	major histocompatibility complex, class II, DP beta 1	NM_002121	201137_s_at	1.44	5.96E-05	0
HLA-E	major histocompatibility complex, class I, E	X56841	200904_at	1.38	3.05E-04	0
LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	AF074000	208936_x_at	0.71	2.36E-05	0
LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	AF342815	208934_s_at	0.7	2.15E-04	0
LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	AF342816	210732_s_at	0.58	2.14E-04	0
LOC283970	hypothetical protein LOC283970	AI925734	221992_at	1.53	4.38E-05	0
LOC474170	c114 SLIT-like testicular protein	NM_014834	206088_at	0.71	2.13E-04	0
MAP3K15	Mitogen-activated protein kinase kinase kinase 15	BF739979	200979_at	1.2	1.64E-05	0
MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	NM_004994	203936_s_at	1.86	3.27E-04	0
NKG7	natural killer cell group 7 sequence	NM_005601	213915_at	1.46	5.64E-04	0
P2RY14	purinergic receptor P2Y, G-protein coupled, 14	NM_014879	206637_at	1.45	5.27E-04	0
PCGF3	polycomb group ring finger 3	NM_006315	204564_at	0.79	2.18E-05	0
PSCDBP	protein	L06633	209606_at	1.87	9.43E-04	0
PSPHL	phosphoserine phosphatase-like	NM_003832	205048_s_at	4.64	1.00E-11	0
RABIF	RAB interacting factor	NM_002871	204478_s_at	0.8	3.13E-05	0
RASA4	RAS p21 protein activator 4	AB011110	212706_at	1.5	2.01E-04	0
SF1	splicing factor 1	D26121	210172_at	2.17	9.22E-04	0
STAT1	signal transducer and activator of transcription 1, 91kDa	BC002704	209969_s_at	1.71	5.51E-04	0
STAT1	signal transducer and activator of transcription 1, 91kDa	M97935_3	M97935_3_at	1.38	3.10E-04	0
ZNF654	zinc finger protein 654	NM_018293	219239_s_at	0.7	8.31E-05	0
CCL5	chemokine (C-C motif) ligand 5	M21121	1405_i_at	1.61	1.36E-03	2
CD3D	CD3d molecule, delta (CD3-TCR complex)	NM_000732	213539_at	1.39	9.99E-04	2
CD8A	CD8a molecule	AW006735	205758_at	1.41	1.12E-03	2
HLA-C	major histocompatibility complex, class I, C	M12679	214459_x_at	1.2	4.34E-04	2
IFITM1	interferon induced transmembrane protein 1 (9-27)	AA749101	214022_s_at	1.4	1.00E-03	2
PRF1	perforin 1	AI445650	214617_at	1.28	7.58E-04	2
RASA4	RAS p21 protein activator 4	NM_006989	208534_s_at	1.29	8.65E-04	2
SOS1	son of sevenless homolog 1 (Drosophila)	L13857	212777_at	1.36	1.30E-03	2
TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593	202307_s_at	1.39	8.35E-04	2
TRBV19	T cell receptor beta variable 19	M15564	210915_x_at	1.64	1.02E-03	2
EIF1AX	eukaryotic translation initiation factor 1A, X-linked	BG149698	201017_at	0.79	2.96E-04	2
LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	L78132	208935_s_at	0.72	4.49E-04	2
LOC440434	hypothetical protein FLJ11822	AW340850	214107_x_at	0.8	2.59E-04	2
PRO1843	hypothetical protein PRO1843	NM_018507	219599_at	0.75	3.24E-04	2
TBC1D3I	TBC1 domain family, member 3I	AK021884	215090_x_at	0.8	2.77E-04	2
ADRA2C	adrenergic, alpha-2C-, receptor	AI264306	206128_at	1.38	1.93E-03	3
BTN3A1	butyrophilin, subfamily 3, member A1	U90552	209770_at	1.29	1.40E-03	3
CD1E	CD1e molecule	AA309511	215784_at	1.49	1.81E-03	3
CD83	CD83 molecule	NM_004233	204440_at	1.39	1.47E-03	3
COTL1	coactosin-like 1 (Dictyostelium)	NM_021615	221059_s_at	1.29	1.20E-03	3
