Gene Symbol	Genbank accession no.	Function category	Normalized increase during proliferation	Normalized increase during tubulogenesis	Full-length gene name
VEGFA	AW473981	ST	1.2	2.2	Vascular endothelial growth factor A
VEGFB	U3368	ST	1.3	1.3	Vascular endothelial growth factor B
VEGFD	NM_004469	ST	1.3	1.7	Vascular endothelial growth factor D
FGF1	X59065	CFD/M	1.3	1.2	Fibroblast growth factor (acidic)
FGF2	NM_002006	CFD/M	1.2	1.6	Fibroblast growth factor (basic)
PDGFA	AV729452	CFD/M	1.4	1.1	Platelet-derived growth factor-a/ECGF-1
LeptinR	U66496	ST	1.3	1.5	Leptin receptor
SDF1	AL137026	M/CT	1.3	1.7	Stromal cell–derived factor 1/CXCL12
Endothelin-1	S56805	ST	1.7	1.4	Endothelin-1
TF	AI085165	ST	2.3	2.5	Coagulation factor III/thromboplastin/tissue factor/CD142
Tie2	XM_005480	ST	3.2	1.2	TEK tyrosine kinase, endothelial
EphB4	NM_004444	ST	1.1	1.4	EPH-like receptor protein tyrosine kinase B4
Neuropilin1	AF145712	ST	1.7	1	Neuropilin 1
aV	XM_002379	M/CT	1.1	1.3	Integrin aV (vitronectin receptor CD51)
VCAM1	NM_001078	CA	1.3	1.7	Vascular cell adhesion molecule-1
MMP1	M13509	P/MMP	1	1.4	Matrix metalloproteinase-1 (interstitial collagenase)
MMP7	X07819	P/MMP	1.2	1.1	Matrix metalloproteinase-7 (matrilysin, uterine)
MMP9	NM_004994	P/MMP	1.1	1.3	Matrix metalloproteinase-9 (gelatinase B)
Rac1	XM_016309	CSO	1.1	1.2	Small GTP-binding protein Rac1
RhoA	L25080	CSO	1.1	1.4	GTP-binding protein RhoA
COX2	D28235	M/CT	1.6	1.7	Prostaglandin-endoperoxide synthase 2
HIF1A	AI559451	H/TF	1	1.3	Hypoxia-inducible factor 1, a subunit
NFKB2p49 / p100	NM_002502	H/TF	1.5	1.6	Nuclear factor of K light polypeptide
ADA	NM_000022	AF/GC	1	4.9	Adenosine deaminase
SLIT2	NM_004787	AF/GC	0.9	2.4	Slit homologue 2
HXB / tenascinC	NM_002160	CA/M/CT	0.8	4.3	Hexabrachion/tenascin C/cytotactin
PKD1	NM_000296	CA	1	2.2	Polycystic kidney disease 1
CLDN7	NM_001307	CA	0.9	2	Claudin 7
SOS1	NM_005633	CSO	1	4	Son of sevenless, homologue 1
EFNA1	NM_004428	CSO	0.9	2.4	Ephrin A1
EGFR	U48722	CFD/M	0.8	6.7	Epidermal growth factor receptor, truncated form
COL5A1	AI983428	ECM/CFD/M	0.8	2.8	Collagen, type V, a1
INSR	AA485908	DEF	0.8	2.3	Insulin receptor
cSERPINB6	AW262311	DEF	0.5	4.5	Serine protease inhibitor B6
GSTM2	NM_000848.1	DEF	0.7	1.7	Glutathione S-transferase M2 (muscle)
