Symbol	Chromosome	Cytoband	Start (bp)	End (bp)	Man-Whitney U  adjusted p value	Gains	Losses	Amplifications
NCK2	2	q12.2	106361354	106510705	0.048	5	6	1
ANAPC1	2	q13	112523848	112641741	0.048	3	7	0
SLC35F5	2	q14.1	114471930	114514400	0.048	4	6	0
TSN	2	q14.3	122494679	122525429	0.048	2	7	0
SFT2D3	2	q14.3	128458597	128461385	0.048	4	8	0
XRCC5	2	q35	216972187	217071026	0.048	1	6	0
MRPL44	2	q36.1	224822121	224832429	0.048	1	6	0
CAB39	2	q37.1	231577557	231685789	0.048	2	7	0
BCL6	3	q27.3	187439165	187463475	0.047	9	3	0
FBXO25	8	p23.3	356808	419871	0.011	3	12	0
DCTN6	8	p12	30013813	30041059	0.011	2	12	0
GTF2E2	8	p12	30436035	30515738	0.000	2	12	0
C9orf82	9	p21.2	26840685	26892725	0.033	4	11	0
PLAA	9	p21.2	26903368	26947468	0.042	4	11	0
UBE2R2	9	p13.3	33817182	33920401	0.005	3	9	0
UBE2R2	9	p13.3	33817182	33920401	0.023	3	9	0
VCP	9	p13.3	35056065	35072739	0.033	5	9	0
CLTA	9	p13.3	36190892	36212055	0.042	5	9	0
POLR1E	9	p13.2	37485945	37506561	0.048	6	9	0
FXN	9	q21.11	71650344	71688937	0.033	5	5	0
C9orf47	9	q22.1	91605778	91611055	0.048	4	7	0
SEMA4D	9	q22.2	91975706	92112888	0.048	4	7	0
IARS	9	q22.31	94972625	95056038	0.031	3	8	0
TEX10	9	q31.1	103064372	103115174	0.033	2	7	0
EPB41L4B	9	q31.3	111934254	112083021	0.034	1	10	0
PRPF4	9	q32	116037974	116055054	0.033	2	8	0
LRRC8A	9	q34.11	131644391	131680313	0.033	3	7	0
MED27	9	q34.13	134735494	134955255	0.005	2	10	0
FXC1	11	p15.4	6502677	6505910	0.002	2	7	0
TAF10	11	p15.4	6632073	6633445	0.049	2	7	0
C14orf166B	14	q24.3	77292715	77336645	0.005	2	10	0
C18orf21	18	q12.2	33552588	33559241	0.000	7	9	0
FVT1	18	q21.33	60994971	61034506	0.034	7	8	0
FVT1	18	q21.33	60994971	61034506	0.034	7	8	0
NETO1	18	q22.3	70414787	70534810	0.035	7	8	0
TPTE	21	p11.1	10906210	10990904	0.032	2	3	0
SF3A1	22	q12.2	30727979	30752913	0.043	2	7	0
JOSD1	22	q13.1	39081548	39097561	0.013	2	6	0
NHP2L1	22	q13.2	42069940	42086508	0.023	2	6	0
NCAPH2	22	q13.33	50946645	50961911	0.043	6	5	0
