Probe set id	Gene symbol	Score	Fold change	Q-value
213844_at	HOXA5	16.73111	4.18991	0.111248
205366_s_at	HOXB6	16.61585	2.64309	0.111248
208414_s_at	HOXB3	14.64059	1.7528	0.111248
204082_at	PBX3	14.53913	2.75341	0.111248
205600_x_at	HOXB5	14.5235	2.06791	0.111248
206289_at	HOXA4	14.48655	2.14485	0.111248
205601_s_at	HOXB5	14.25709	2.06198	0.111248
205453_at	HOXB2	13.49629	2.92754	0.111248
213150_at	HOXA10	13.49532	2.55316	0.111248
204069_at	MEIS1	13.13756	2.60612	0.111248
209905_at	HOXA9	12.75689	2.80951	0.111248
214651_s_at	HOXA9	12.42844	2.74966	0.111248
201664_at	SMC4L1	12.37468	2.14042	0.111248
213147_at	HOXA10	12.36977	2.37121	0.111248
201663_s_at	SMC4L1	11.90482	2.09269	0.111248
215623_x_at	SMC4L1	11.44365	2.20517	0.111248
209439_s_at	PHKA2	11.39758	1.58013	0.111248
206847_s_at	HOXA7	11.31652	1.50076	0.111248
63825_at	ABHD2	11.23185	1.58005	0.111248
219304_s_at	PDGFD	11.10428	1.93958	0.111248
212820_at	RC3	10.2515	2.40702	0.111248
221815_at	ABHD2	10.06988	1.53462	0.111248
213110_s_at	COL4A5	10.01603	2.8573	0.111248
207111_at	EMR1	9.673472	2.05677	0.111248
208557_at	HOXA6	9.182979	1.55888	0.111248
203471_s_at	PLEK	8.748706	1.60175	0.111248
203680_at	PRKAR2B	8.689734	2.30187	0.111248
202729_s_at	LTBP1	8.519795	3.62406	0.111248
210145_at	PLA2G4A	8.514044	1.57781	0.111248
215761_at	RC3	8.332114	2.21171	0.111248
220162_s_at	CARD9	8.26912	1.52661	0.111248
206298_at	ARHGAP22	8.262287	2.0466	0.111248
219602_s_at	FAM38B	7.886765	1.89448	0.111248
211776_s_at	EPB41L3	7.813087	2.19141	0.111248
211922_s_at	CAT	7.71692	1.64796	0.111248
205801_s_at	RASGRP3	7.647326	2.20056	0.111248
207275_s_at	ACSL1	7.619232	2.18213	0.111248
217738_at	PBEF1	7.508481	2.06469	0.111248
217998_at	PHLDA1	7.389281	1.55913	0.111248
201963_at	ACSL1	7.283029	1.96062	0.111248
218404_at	SNX10	7.205299	1.65631	0.111248
206710_s_at	EPB41L3	7.154616	2.57184	0.111248
218280_x_at	HIST2H2AA	7.075585	1.86867	0.111248
200766_at	CTSD	7.067959	2.0211	0.111248
202728_s_at	LTBP1	7.061018	2.68548	0.111248
203470_s_at	PLEK	7.030673	1.58342	0.111248
208130_s_at	TBXAS1	6.899092	1.56476	0.111248
219615_s_at	KCNK5	6.879518	1.67362	0.111248
205425_at	HIP1	6.836169	1.67361	0.111248
217739_s_at	PBEF1	6.757558	1.95351	0.111248
208146_s_at	CPVL	6.697964	1.72822	0.111248
204112_s_at	HNMT	6.697587	1.98513	0.111248
202180_s_at	MVP	6.679737	1.51238	0.111248
217996_at	PHLDA1	6.639908	2.08069	0.111248
212089_at	LMNA	6.623074	1.75571	0.111248
214290_s_at	HIST2H2AA	6.596792	1.75875	0.111248
212681_at	EPB41L3	6.581052	1.76559	0.111248
203052_at	C2	6.572335	1.80863	0.111248
209398_at	HIST1H1C	6.558507	1.79136	0.111248
209906_at	C3AR1	6.529416	1.68318	0.111248
220122_at	FLJ22344	6.518982	1.64077	0.111248
206488_s_at	CD36	6.517049	2.41877	0.111248
201328_at	ETS2	6.483321	1.67384	0.111248
216667_at	RNASE2	6.467868	1.61567	0.111248
211732_x_at	HNMT	6.450423	1.61642	0.111248
214455_at	HIST1H2BC	6.390651	1.67342	0.111248
201329_s_at	ETS2	6.383343	1.55807	0.111248
208908_s_at	CAST	6.354216	1.556	0.111248
212086_x_at	LMNA	6.335113	1.74004	0.111248
203057_s_at	PRDM2	6.311781	1.55766	0.111248
222303_at	---	6.307532	1.75539	0.111248
202708_s_at	HIST2H2BE	6.298689	1.76088	0.111248
217997_at	PHLDA1	6.294462	1.80745	0.111248
202087_s_at	CTSL	6.278177	2.09406	0.111248
202510_s_at	TNFAIP2	6.271392	1.85757	0.111248
204392_at	CAMK1	6.265385	1.72325	0.111248
210549_s_at	CCL23	6.223707	1.62449	0.111248
205653_at	CTSG	6.207531	1.68439	0.111248
209099_x_at	JAG1	6.201298	1.58538	0.111248
200923_at	LGALS3BP	6.190253	1.94395	0.111248
202545_at	PRKCD	6.183812	1.5068	0.111248
202241_at	TRIB1	6.177946	1.54661	0.111248
203045_at	NINJ1	6.160897	1.99088	0.111248
212586_at	CAST	6.143871	1.52644	0.111248
221060_s_at	TLR4	6.142421	2.03656	0.111248
204030_s_at	SCHIP1	6.130723	1.93497	0.111248
209555_s_at	CD36	6.118083	2.51348	0.111248
205190_at	PLS1	6.102168	1.5002	0.111248
219452_at	DPEP2	6.08727	1.62743	0.111248
204044_at	QPRT	6.044154	1.69731	0.111248
208791_at	CLU	6.036438	1.67809	0.111248
208792_s_at	CLU	6.02517	1.52318	0.111248
213002_at	MARCKS	6.015932	1.61705	0.111248
212807_s_at	SORT1	6.014637	1.69808	0.111248
203767_s_at	STS	5.995569	1.73569	0.111248
201670_s_at	MARCKS	5.973589	2.70351	0.111248
207535_s_at	NFKB2	5.911198	1.83531	0.111248
210239_at	IRX5	5.890996	1.97398	0.111248
203411_s_at	LMNA	5.887234	1.77289	0.111248
219434_at	TREM1	5.860033	1.90902	0.111248
201427_s_at	SEPP1	5.841007	2.45561	0.111248
216268_s_at	JAG1	5.835561	1.52353	0.111248
213260_at	FOXC1	5.816211	2.66711	0.111248
204224_s_at	GCH1	5.760931	1.67056	0.111248
201669_s_at	MARCKS	5.760127	2.30325	0.111248
201502_s_at	NFKBIA	5.668689	1.52323	0.111248
213217_at	ADCY2	5.648282	1.74034	0.111248
204533_at	CXCL10	5.619409	1.95847	0.111248
218319_at	PELI1	5.585159	1.66841	0.111248
218559_s_at	MAFB	5.567244	2.92098	0.111248
211368_s_at	CASP1	5.527552	1.5448	0.111248
209702_at	FTO	5.502562	2.63908	0.111248
202509_s_at	TNFAIP2	5.47639	1.5908	0.111248
210873_x_at	APOBEC3A	5.473744	2.38835	0.111248
207533_at	CCL1	5.418033	1.98757	0.111248
204006_s_at	FCGR3A	5.342291	2.4979	0.111248
205844_at	VNN1	5.33416	1.60419	0.111248
211367_s_at	CASP1	5.309828	1.5776	0.111248
210365_at	RUNX1	5.228639	1.65048	0.111248
201668_x_at	MARCKS	5.216632	2.46104	0.111248
201108_s_at	THBS1	5.195398	1.68769	0.111248
219511_s_at	SNCAIP	5.186301	1.94736	0.111248
209813_x_at	TRGV9	5.180824	1.51441	0.111248
215489_x_at	HOMER3	5.161075	1.70181	0.111248
201631_s_at	IER3	5.153997	2.07442	0.111248
211661_x_at	PTAFR	5.111772	1.89747	0.111248
205767_at	EREG	5.088384	1.72642	0.111248
222222_s_at	HOMER3	5.084909	1.52795	0.111248
214472_at	HIST1H3D	5.060265	1.65017	0.111248
210146_x_at	LILRB2	5.033637	2.20931	0.111248
205114_s_at	CCL3	5.019363	2.40906	0.111248
206513_at	AIM2	5.018515	1.51726	0.111248
