Gene	Accession no.	Fold change A549: S-AS	S-P	S-V	Fold change H157: S-AS	S-P	S-V
PGE-endoperoxide synthase 2 (PGE G/H synthase and COX)	NM_000963.1	19.92	18.53	12.98	2.1	1.25	?1.3
Solute carrier family 16 (monocarboxylic acid transporters), member 3	NM_004207.1	7.59	7.57	6.31	10.83	?1.27	?1.75
IL-8	NM_000584.1	7.59	4.94	6.38	50.86	1.09	?1.14
IL-6 (INF, ?2)	NM_000600.1	6.72	9.43	9.99	3.65	1.96	?2.05
IL-8 C-OOH variant (IL-8)	AF043337.1	5.88	4.35	4.62	6.27	1.14	?1.21
Pentaxin-related gene, rapidly induced by IL-1?	NM_002852.1	5.65	15.54	9.67	22.1	?1.01	?1.08
Proteasome (prosome, macropain) subunit, ? type, 8 (large multifunctional protease 7)	U17496.1	5.28	5.51	5.65	5.16	?1.15	?1.2
Phospholipase A2, group IVA (cytosolic, calciumdependent)	M68874.1	4.86	2.21	1.66	3.91	?1.02	?1.15
Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, ?)	NM_001511.1	4.64	4.63	5.62	16.46	1.11	?1.32
ATP-binding cassette, subfamily A (ABC1), member 1	NM_005502.1	4.21	4.73	3.78	2.01	1.41	1.01
Solute carrier family 16 (monocarboxylic acid transporters), member 3	AL513917	4.18	4.08	3.63	3.55	?1.33	?1.92
Six transmembrane epithelial antigen of the prostate	NM_012449.1	3.45	1.14	1.37	4.19	?1.07	?1.17
Nidogen 2 (osteonidogen)	NM_007361.1	3.39	2.78	2.53	3.88	1.03	?1.38
Annexin A10	AF196478.1	3.29	7.85	10.08	4.6	1.02	?1.36
Epidermal growth factor–containing fibulin-like extracellular matrix protein 1	AI826799	3.28	2.11	2.07	5.29	?1.58	?1.51
INF-induced transmembrane protein 2 (1-8D)	NM_006435.1	3.27	2.72	2.49	3.88	?1.05	?1.13
INF, ?-inducible protein 16	NM_005531.1	2.67	4.15	2.63	26.5	1.21	?1
Dual specificity phosphatase 4	NM_001394.2	2.64	1.86	1.51	4.27	1.43	?1.18
Zinc finger protein	AA349848	2.64	1.32	1.78	2.03	?1.29	?1.5
Adipose differentiation-related protein	BC005127.1	2.53	3.95	6.6	4.44	?1.09	?1.27
INF, ?-inducible protein 16	AF208043.1	2.49	3.86	2.48	19.35	1.25	?1.06
Chemokine (C-X-C motif) ligand 2	M57731.1	2.48	3.57	4.52	34.88	1.13	1.07
GLI pathogenesis-related 1 (glioma)	U16307.1	2.46	2.22	2.73	8.64	?1.03	?1.31
Phosphodiesterase 4B, cyclic AMP-specific (phosphodiesterase E4 dunce homologue, Drosophila)	NM_002600.1	2.43	3.01	1.6	8.3	1.02	?1.61
Tumor necrosis factor, ?-induced protein 3	NM_006290.1	2.36	2.88	3.3	2.5	?1.34	?1.39
Chemokine (C-C motif) ligand 20	NM_004591.1	2.3	2.28	3.06	3.62	1.07	1.32
Chemokine (C-X-C motif) ligand 3	NM_002090.1	2.29	2.2	3.78	25.3	1.05	?1.19
Cytochrome P450, family 1, subfamily B, polypeptide 1	NM_000104.2	2.26	1.07	1.45	6.71	1.51	?1.07
Transforming growth factor ?–stimulated protein TSC-22	AK027071.1	2.24	1.41	1.18	2.3	1.43	?1.25
HIV-1 rev binding protein 2	AI912583	2.15	2.12	2.7	7.05	1.06	?1.3
Runt-related transcription factor 3	AA541630	2.13	1.35	?1.43	5.83	1.02	?1.56
Nucleotide-sugar transporter similar to C. elegans sqv-7	AJ005866.1	2.09	1.6	1.17	10.38	1.11	1.24
Brain-derived neurotrophic factor	NM_001709.1	2.08	2.16	1.81	14.21	?1.04	?1.28
Tumor necrosis factor receptor superfamily, member 21	NM_016629.1	2.06	1.94	1.35	2.44	1.84	?1.23
Dual specificity phosphatase 10	N36770	2.06	2.49	2.34	3.49	1.09	?1.46
Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	AF021834.1	2.05	1.88	1.86	2.6	?1.01	3.47
Runt-related transcription factor 3	NM_004350.1	2.01	1.5	?1.32	5.03	?1.26	?1.6
