Fold change	UniGene name	Mean signal (A9)	Mean signal (A10)	Symbol	P-value	mRNA accession no.	Expression area
6.4	Aldehyde dehydrogenase family 1, subfamily A7	5912	853	Aldh1a7	6.55E?14	NM_011921	More expressed in A9 DA neurons
5.3	Thyrotropin releasing hormone receptor	1984	329	Trhr	4.77E?14	M59811	More expressed in A9 DA neurons
4.3	CD24a antigen	1870	350	Cd24a	5.24E?07	BB560574	More expressed in A9 DA neurons
4.3	CD24a antigen	2585	565	Cd24a	4.73E?14	NM_009846	More expressed in A9 DA neurons
3.7	Fibroblast growth factor 1	7293	1833	Fgf1	4.73E?14	AI649186	More expressed in A9 DA neurons
3.4	Nuclear receptor interacting protein 3	18532	5524	Nrip3	4.73E?14	NM_020610	More expressed in A9 DA neurons
3.4	Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	2384	611	Mpp6	4.99E?14	AF199010	More expressed in A9 DA neurons
3.1	RAB3C, member RAS oncogene family	2397	712	Rab3c	4.77E?14	AY026947	More expressed in A9 DA neurons
3.1	Glutamate receptor, ionotropic, NMDA2C (epsilon 3)	2797	783	Grin2c	4.77E?14	NM_010350	More expressed in A9 DA neurons
3	Poliovirus receptor-related 3	1457	426	Pvrl3	4.73E?14	NM_021495	More expressed in A9 DA neurons
2.9	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	4248	1458	Slc25a5	3.70E?06	AV003169	More expressed in A9 DA neurons
2.9	SRY-box containing gene 6	1877	581	Sox6	4.73E?14	AJ010605	More expressed in A9 DA neurons
2.8	Cerebellin 1 precursor protein	4532	1580	Cbln1	2.35E?13	AA016422	More expressed in A9 DA neurons
2.8	Secreted phosphoprotein 1	531	157	Spp1	4.73E?14	NM_009263	More expressed in A9 DA neurons
2.7	Nuclear receptor interacting protein 3	4723	1652	Nrip3	4.73E?14	NM_020610	More expressed in A9 DA neurons
2.7	Fibroblast growth factor inducible 15	1327	457	Fin15	1.77E?11	NM_008016	More expressed in A9 DA neurons
2.7	Zinc finger, DHHC domain containing 2	1268	436	Zdhhc2	4.73E?14	BB224658	More expressed in A9 DA neurons
2.6	Gap junction membrane channel protein alpha 1	1337	464	Gja1	4.73E?14	M63801	More expressed in A9 DA neurons
2.6	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	1910	710	Slc25a5	7.79E?07	AV110784	More expressed in A9 DA neurons
2.6	Galactose mutarotase	683	228	Galm	4.77E?14	AV307219	More expressed in A9 DA neurons
