Affy ID	Gene Title	Gene Symbol	Chromosomal Location	Eigengene 3 Score
1416022_at	fatty acid binding protein 5, epidermal	Fabp5	chr3 A1-3	0.0701800
1427262_at	inactive X specific transcripts	Xist	chrX D	0.0597400
1437671_x_at	protease, serine, 23	Prss23	chr7 D3	0.0592200
1416021_a_at	fatty acid binding protein 5, epidermal	Fabp5	chr3 A1-3	0.0579100
1433966_x_at	asparagine synthetase	Asns	chr6 A1	0.0496700
1431057_a_at	protease, serine, 23	Prss23	chr7 D3	0.0471700
1427263_at	inactive X specific transcripts	Xist	chrX D	0.0413700
1441115_at	DNA segment, Chr 18, ERATO Doi 232, expressed	D18Ertd232e	chr18 9.0	0.0407300
1460214_at	Purkinje cell protein 4	Pcp4	chr16 C4	0.0391700
1451310_a_at	cathepsin L	Ctsl	chr13 B3	0.0387000
1442213_at	hypothetical LOC552908	LOC552908	NA	0.0377700
1451313_a_at	RIKEN cDNA 1110067D22 gene	1110067D22Rik	chr11 A3.1	0.0373800
1426452_a_at	RAB30, member RAS oncogene family	Rsb30	chr7 E1	0.0370500
1418395_at	RIKEN cDNA 1300013J15 gene	1300013J15Rik	chr11 B2	0.0367500
1418025_at	basic helix-loop-helix domain containing, class B2	Bhlhb2	chr6 E-F1	0.0367200
1437935_at	RIKEN cDNA 4930486G11 gene	4930486G11Rik	chr9 E1	0.0360200
1450339_a_at	B-cell leukemia/lymphoma 11B	Bcl11b	chr12 F1	0.0358900
1443632_at	obscurin	Obscn	chr11 B1.3	0.0353900
1434313_at	RIKEN cDNA 6330407D12 gene	6330407D12Rik	chr6 B2.3	0.0350300
1450723_at	ISL1 transcription factor	Isl1	chr13 D2.3	0.0341500
1434418_at	longevity assurance homolog 6	Lass6	chr2 C2	0.0337800
1453265_at	RIKEN cDNA 4930579C15 gene	4930579C15Rik	chr4 C5	0.0335800
1434451_at	RIKEN cDNA 2900016G23 gene	2900016G23Rik	chr13 A5	0.0335600
1456544_at	transmembrane protein 38B	Tmem38b	chr4 B2	0.0335200
1430127_a_at	cyclin D2	Ccnd2	chr6 F3	0.0327800
1442029_at	Tumor-suppressing subchromosomal transferable fragment 8	Kcnq1	NA	0.0327100
1435227_at	NA	NA	NA	0.0324900
1430781_at	adenylate kinase 7	Ak7	chr12 F1	0.0323800
1436936_s_at	inactive X specific transcripts	Xist	chrX D	0.0322100
1448276_at	tetraspanin 4	Tspan4	chr7 F5	0.0322000
1429089_s_at	RIKEN cDNA 2900026A02 gene	2900026A02Rik	chr5 F	0.0321100
1449347_a_at	X-linked lymphocyte-regulated 4	Xlr4	chrX A7.2	0.0316400
1429111_at	talin 2	Tln2	chr9 C	0.0315900
1448260_at	ubiquitin carboxy-terminal hydrolase L1	Uchl1	chr5 C3.1	0.0312900
1460470_at	acyl-Coenzyme A oxidase-like	Acoxl	chr2 F1	0.0311500
1419354_at	Kruppel-like factor 7 (ubiquitous)	Klf7	chr1 C1-C3	0.0311200
1429721_s_at	RIKEN cDNA 4930579C15 gene	4930579C15Rik	chr4 C5	0.0310700
1439987_at	glutamate receptor, ionotropic, kainate 1	Grik1	chr16 C3.3	0.0307300
1420357_s_at	X-linked lymphocyte-regulated 3a	Xlr3a	chrX A7.2	0.0304200
1434909_at	Ras-related GTP binding D	Rragd	chr4 A5	0.0303800
1455746_at	kinesin family member 13A	Kif13a	chr13 B1	0.0301900
1417419_at	cyclin D1	Ccnd1	chr7 F5	0.0300700
1427008_at	ring finger protein 43	Rnf43	chr11 C	0.0299400
1438097_at	RAB20	Rab20	chr8 A1.1	0.0299000
1434428_at	RIKEN cDNA D330028D13 gene	D330028D13Rik	chr6 B2.3	0.0298700
1449175_at	G-protein coupled receptor 65	Gpr65	chr12 E	0.0294200
1416124_at	cyclin D2	Ccnd2	chr6 F3	0.0293600
1435338_at	cyclin-dependent kinase 6	Cdk6	chr5 A2-A3	0.0292000
1429399_at	ring finger protein 125	Rnf125	chr18 A2	0.0290100
1449383_at	adenylosuccinate synthetase like 1	Adssl1	chr12 F1	0.0286900
1436915_x_at	lysosomal-associated protein transmembrane 4B	Laptm4b	chr15 B3.1	0.0284800
1457633_x_at	cytochrome c oxidase, subunit VI a, polypeptide 2	Cox6a2	chr7 F3	0.0283900
1434745_at	cyclin D2	Ccnd2	chr6 F3	0.0283100
1439493_at	RIKEN cDNA D630040G17 gene	D630040G17Rik	chr8 C1	0.0281900
1420679_a_at	androgen-induced 1	Aig1	chr10 A2	0.0281100
1447040_at	Activated leukocyte cell adhesion molecule	Alcam	chr16 B5	0.0280900
1418469_at	nuclear receptor interacting protein 1	Nrip1	chr16 C3.1	0.0280400
1437432_a_at	tripartite motif protein 12	Trim12	chr7 E3	0.0279300
1428735_at	CD69 antigen	Cd69	chr6 F3	0.0278200
1436164_at	solute carrier family 30, member 1	Slc30a1	chr1 H6	0.0276200
1447836_x_at	RIKEN cDNA 4921525O09 gene	4921525O09Rik	chr13 B1	0.0276100
1449530_at	trichorhinophalangeal syndrome I	Trps1	chr15 C	0.0276000
1434099_at	Transcribed locus	NA	NA	0.0275000
1434100_x_at	Transcribed locus	NA	NA	0.0274400
1457883_at	Adult male aorta and vein cDNA clone:A530095B21	NA	NA	0.0273500
1451791_at	tissue factor pathway inhibitor	Tfpi	chr2 D	0.0273200
1427005_at	polo-like kinase 2	Plk2	chr13 D2.1	0.0272300
1459843_s_at	MAD homolog 1	Smad1	chr8 C1	0.0270300
1434652_at	Cdc42 binding protein kinase beta	Cdc42bpb	chr12 F1	0.0269700
1454931_at	CREBBP/EP300 inhibitory protein 2	Cri2	chr7 A3	0.0266500
1456983_at	Trichorhinophalangeal syndrome I	Trps1	NA	0.0265600
1422557_s_at	metallothionein 1	Mt1	chr8 C5	0.0264400
1455956_x_at	cyclin D2	Ccnd2	chr6 F3	0.0264400
1460417_at	cDNA sequence AB041803	AB041803	chr6 A3.3	0.0263900
