Acc.No	gene name/unigene code	Full name, gene description
NM_000927	ABCB1	ATP-binding cassette B1 (MDR/TAP),
NM_000029	AGT	Angiotensinoge / serine proteinase inhibitor A8 / ?-1 antiproteinase / antitrypsin
NM_001628	AKR1B1	Aldo-keto reductase 1B1 / aldose reductase
NM_013229	APAF1	Apoptotic protease activating factor 1
NM_000038	APC	Adenomatosis polyposis coli
NM_000483	APOC2	Apolipoprotein C-II
NM_000044	AR	Androgen receptor
NM_004675	ARHI	Ras homolog gene I
NM_014567	BCAR1	Breast cancer anti-estrogen resistance gene 1
NM_000633	BCL2	B-cell CLL lymphoma gene 2
NM_004536	BIRC1	IAP repeat-containing protein 1 (Baculoviral homolog)
NM_007294	BRCA1	Breast cancer gene 1
NM_000059	BRCA2	Breast cancer gene 2
NM_001216	CA9	Carbonic anhydrase IX
NM_018896	CACNA1G	?-1G subunit of calcium channel type T
NM_001741	CALCA	Calcitonin / calcitonin-related polypeptide ?
NM_006888	CALM1	Calmodulin 1 (phosphorylase kinase ?)
NM_004343	CALR	Calreticulin
NM_001753	CAV1	Caveolin 1, caveolae protein, 22kD
NM_001758	CCND1	Cyclin D1
NM_001759	CCND2	Cyclin D2
NM_000610	CD44	CD44 antigen
NM_004360	CDH1	Cadherin 1 / E-cadherin
NM_001257	CDH13	Cadherin 13 / H-cadherin
NM_004064	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)
NM_000076	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)
NM_000077	CDKN2A	Cyclin-dependent kinase inhibitor 2A (p16)
NM_004936	CDKN2B	Cyclin-dependent kinase inhibitor 2B (p15)
NM_000735	CGA	Glycoprotein hormone ? subunit
NM_004718	COX7A2L	Cytochrome c oxidase subunit VIIA 2 like protein
NM_001320	CSNK2B	Casein kinase 2, beta polypeptide
NM_004385	CSPG2	Chondroitin sulfate proteoglycan 2
NM_001908	CTSB	Cathepsin B
NM_001909	CTSD	Cathepsin D
NM_001912	CTSL	Cathepsin L
NM_000106	CYP2D6	Cytochrome P450 IID polypeptide 6
NM_017460	CYP3A4	Cytochrome P450, IIIA polypeptide 4
NM_004938	DAPK1	Death-associated protein kinase 1
NM_001379	DNMT1	DNA (cytosine-5-)-methyltransferase 1
NM_004215	EBAG9	Estrogen receptor binding site associated antigen 9
NM_006470	EBBP	Estrogen-responsive B box protein
NM_000115	EDNRB	Endothelin receptor type B
NM_005228	EGFR	EGF receptor, homolog of avian viral oncogene v-erb-b (erythroblastic leukemia)
NM_001965	EGR4	Early growth response 4
NM_005229	ELK1	ELK1, member of ETS oncogene family
NM_004448	ERBB2	Erb-b2, homolog of avian viral oncogene v-erb-b2 (erythroblastic leukemia) / neu, neuro/glioblastoma derived oncogene homolog
NM_000125	ESR1	Estrogen receptor 1
NM_001437	ESR2	Estrogen receptor 2
NM_000505	F12	Coagulation factor XII (Hageman factor)
NM_000800	FGF1	Fibroblast growth factor
NM_000604	FGFR1	Fibroblast growth factor receptor
NM_002014	FKBP4	FK506-binding protein 4
NM_005252	FOS	Fos / homolog of viral oncogene v-fos (murine osteosarcoma)
NM_005265	GGT1	?-glutamyltransferase 1
NM_000407	GP1BB	Glycoprotein Ib, ? polypeptide
NM_005302	GPR37	G protein-coupled receptor 37 / endothelin type B-like receptor
NM_000836	GRIN2D	Glutamate receptor 2D / N-methyl D-aspartate receptor 2D
NM_000852	GSTP1	Glutathione S-transferase pi
NM_006497	HIC-1	Hypermethylated in cancer 1
NM_018950	HLA-F	Major histocompatibility complex, class I, F
NM_019102	HOXA5	Homeo box A5
NM_005345	HSPA1A	Heat shock 70kD protein 1A
NM_001540	HSPB1	Heat shock 27kD protein 1
NM_000618	IGF1	Insulin-like growth factor 1
NM_016162	ING4	p33 ING1 homolog 4
NM_005551	KLK2	Kallikrein 2
NM_001648	KLK3	Kallikrein 3 / prostate specific antigen (PSA)
NM_003668	MAPKAPK5	Mitogen-activated protein-kinase-activated protein kinase 5
NM_002412	MGMT	O-6-methylguanine-DNA methyltransferase
NM_002417	MKI67	Antigen identified by monoclonal antibody Ki-67
NM_000249	MLH1	MutL homolog 1 / nonpolyposis type 2 colon cancer
NM_002443	MSMB	Microseminoprotein ?
NM_002467	MYC	Myc / homolog viral oncogene v-Myc (myelocytomatosis)
NM_002478	MYOD1	Myogenic factor 3
NM_006765	N33	Putative prostate cancer tumor suppressor / N33
NM_006534	NCOA3	Nuclear receptor coactivator 3
NM_006096	NDRG1	N-myc downstream regulated gene 1
NM_003998	NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 / p105
NM_002520	NPM1	Nucleophosmin / nucleolar phosphoprotein B23 / numatrin
NM_001604	PAX6	Paired box gene 6 / aniridia / keratitis
NM_003884	PCAF	p300/CBP-associated factor
NM_000926	PGR	Progesterone receptor
NM_000325	PITX2	Paired-like homeodomain transcription factor 2
NM_002658	PLAU	Plasminogen activator / urokinase (uPA)
NM_002659	PLAUR	Plasminogen activator receptor / urokinase receptor (uPAR)
NM_006254	PRKCD	Protein kinase C ?
NM_021154	PSAT1	Phosphoserine aminotransferase
NM_000314	PTEN	Phosphatase and tensin homolog
NM_000963	PTGS2	Prostaglandin-endoperoxide synthase 2
NM_000965	RARB	Retinoic acid receptor ?
NM_007182	RASSF1	Ras association domain family 1
NM_000321	RB1	Retinoblastoma 1
NM_000537	REN	Renin
NM_002910	RENBP	Renin-binding protein
NM_005978	S100A2	S100 calcium binding protein A2
