Probe Set ID	Gene Title	Gene Symbol	RefSeq Transcript ID
103362_at	NA	NA	NA
103530_at	NA	NA	NA
103635_at	NA	NA	NA
104298_at	NA	NA	NA
161147_f_at	NA	NA	NA
161310_at	NA	NA	NA
93932_at	NA	NA	NA
95514_at	NA	NA	NA
97951_s_at	NA	NA	NA
98943_at	NA	NA	NA
103760_at	RIKEN cDNA 0610039J04 gene	0610039J04Rik	NM_025615
99616_s_at	RIKEN cDNA 0610040D20 gene	0610040D20Rik	NM_023153
97807_at	RIKEN cDNA 1110021H02 gene	1110021H02Rik	NM_025388
104077_at	RIKEN cDNA 1110049G11 gene	1110049G11Rik	NM_025410
96621_at	RIKEN cDNA 1110061L23 gene	1110061L23Rik	NM_029406
160359_at	RIKEN cDNA 1190002H23 gene	1190002H23Rik	NM_025427
92817_at	RIKEN cDNA 1190002L16 gene	1190002L16Rik	NM_133976
93975_at	RIKEN cDNA 1300002F13 gene	1300002F13Rik	NM_133753
97401_at	RIKEN cDNA 1300006C06 gene	1300006C06Rik	NM_028792
98938_at	RIKEN cDNA 1500026D16 gene	1500026D16Rik	NM_026616
97271_at	RIKEN cDNA 1500034E06 gene	1500034E06Rik	NM_030083
98890_at	RIKEN cDNA 1700012G19 gene	1700012G19Rik	NM_025954
160145_at	RIKEN cDNA 1810010M01 gene	1810010M01Rik	NM_026918
95137_at	RIKEN cDNA 1810014L12 gene	1810014L12Rik	NM_133706
96713_at	RIKEN cDNA 1810018P12 gene	1810018P12Rik	NA
95406_at	RIKEN cDNA 1810037I17 gene	1810037I17Rik	NM_024461
95501_at	RIKEN cDNA 2410001C21 gene	2410001C21Rik	NM_025542
160727_at	RIKEN cDNA 2410002F23 gene	2410002F23Rik	NM_025880
100917_at	RIKEN cDNA 2410080P20 gene	2410080P20Rik	NM_026464
96885_at	RIKEN cDNA 2510015F01 gene	2510015F01Rik	XM_354801
160845_at	RIKEN cDNA 2600001J17 gene	2600001J17Rik	NM_027411
97252_at	RIKEN cDNA 2610012O22 gene	2610012O22Rik	NM_023536
93568_i_at	RIKEN cDNA 2610042L04 gene	2610042L04Rik	NM_025940
93569_f_at	RIKEN cDNA 2610042L04 gene	2610042L04Rik	NM_025940
102011_at	RIKEN cDNA 2610507L03 gene	2610507L03Rik	NM_028120
96016_at	RIKEN cDNA 2700094K13 gene	2700094K13Rik	NA
97374_at	RIKEN cDNA 2810025M15 gene	2810025M15Rik	NM_027274
94243_at	RIKEN cDNA 4930432B04 gene	4930432B04Rik	XM_130287
160119_at	RIKEN cDNA 5730592L21 gene	5730592L21Rik	NM_029720
