Symbol	Accession number	Description	Biological function
ASPA	M21692	Aspartoacyclase	Aminoacyclase activity
PTPRZ1	NM_002851	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	Carbonate dehydratase activity
CDH19	NM_003607	Cadherin 19, type 2	Cell adhesion
CDH1	BC065910	Cadherin 1, type 1	cell adhesion
NRXN3	NM_004796	Neurexin 3	Cell adhesion
ADCYAP1	NM_004010	Dystrophin	Cell–cell signalling
CALCA	BF447272	Calcitonin	Cell–cell signalling
SST	NM_001048	Somatostatin	Cell–cell signalling
VIP	NM_003381	Vasoactive intestinal peptide	Cell–cell signalling
IL8	NM_000584	Interleukin 8	Chemokine Activity
PCSK1	NM_000439	Proprotein convertase subtilisin/kexin type 1	Hydrolase activity
MBP	M13577	Myelin basic protein	Immune response
S100B	BC001766	S100 calcium binding protein, neural	Cell cycle progression and differentiation
LGI1	NM_005097	Leucine-rich, glioma inactivated 1	Neurogenesis
CRH	NM_006614	Corticotropin-releasing hormone	Neuropeptide hormone activity
ERBB3	M29366	v-erb-b2 avian erythroblastic leukaemia viral oncogene homologue 3	Protein amino acid phosphorylation
TTID	NM_006790	Titin immunoglobulin domain protein	Protein binding
MAFF	NM_012323	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F	Regulation of transcription
CDT6	NM_004360	Angiopoietin-like factor	Response to oxidative stress
MAL	NM_002371	mal, T-cell differentiation protein	Signal transduction
RGS1	NM_002922	Regulator of G-protein signalling 1	Signal transduction
TM4SF3	NM_004616	Transmembrane 4 superfamily member 3	Signal transduction
DMD	BC012049	Dystrophin	Structural constituent of cytoskeleton
KRT19	NM_002276	Keratin 19	Structural molecule activity
BTEB1	NM_000049	Basic transcription element binding protein 1	Transcription factor activity
EGR3	NM_015310	Early growth response 3	Transcription factor activity
NR4A2	NM_006186	Nuclear receptor subfamily 4, group A, member 2	Transcription factor activity
PMP2	NM_002677	Peripheral myelin protein 2	Transporter activity
GPR105	NM_014879	Purinergic receptor P2Y, G-protein coupled, 14	UDP-activated nucleotide receptor activity
C8ORF4	NM_020130	Chromosome 8 open reading frame 4	—
PHLDA1	BC018929	Pleckstrin homology-like domain, family A, member 1	—
PLP1	BC002665	Proteolipid protein 1	—
