GeneBank	Symbols	Probe Set ID	Log2 fold changes (QPCR)	P value (QPCR)
WNT targets	LEF1	221558_s_at	0.7	0.036
WNT targets	LEF1	210948_s_at	0.67	0.015
WNT targets	PITX2	207558_s_at	3.5	0.00056
WNT targets	FGF18	231382_at	1.4	3.5 x 10-5
WNT targets	FGF18	206987_x_at	0.83	0.00092
WNT targets	FST	226847_at	3	6.6 x 10-5
WNT targets	FST	207345_at	2.4	2.3 x 10-5
WNT targets	AXIN2	222696_at	0.87	0.01
WNT targets	AXIN2	224176_s_at	0.5	0.034
WNT targets	RARG	204188_s_at	0.35	0.036
WNT targets	CSPG2	215646_s_at	1.4	0.022
WNT targets	CSPG2	204619_s_at	1.3	0.044
WNT targets	DKK1	204602_at	2.1 (2.5)	0.0046 (<0.001)
WNT targets	GAD1	205278_at	3.4	9.2 x 10-5
WNT targets	GAD1	206670_s_at	2.2	0.0013
WNT targets	SIM2	206558_at	2.5	0.0004
WNT targets	SIM2	1557900_at	1.5	0.00062
WNT targets	TCF4	215164_at	1.2	0.0038
WNT targets	FGF9	206404_at	1.8	0.0051
WNT targets	MET	203510_at	1.8 (1.4)	0.0052 (0.002)
WNT targets	MET	213816_s_at	1.1	0.036
WNT targets	MMP2	201069_at	1.2	0.016
WNT targets	LGR5	213880_at	3.4 (3.0)	2.9 x 10-8 (<0.001)
WNT targets	LGR5	210393_at	2.1	1.1 x 10-7
WNT antagonists	WIF1	204712_at	4.2 (4.3)	4.5 x 10-6 (<0.001)
WNT antagonists	DKK1	See above	See above	See above
WNT antagonists	DKK2	219908_at	3.4	0.00042
WNT antagonists	SFRP4	204051_s_at	2.2 (3.2)	0.031 (0.003)
WNT antagonists	SFRP2	223122_s_at	2.8	0.0034
WNT antagonists	SFRP2	223121_s_at	2.7	0.0018
WNT antagonists	NKD1	1553115_at	0.63	0.0023
WNT antagonists	NKD2	232201_at	1.7	6.7 x 10-5
Mesoderm differentiation	SNAI1	219480_at	0.46	0.0019
Mesoderm differentiation	TWIST1	213943_at	2.5	0.0017
Mesoderm differentiation	TWIST2	229404_at	2.3	0.00052
Limb Patterning	TBX3	219682_s_at	1.8	0.012
Limb Patterning	TBX3	225544_at	1.3	0.0061
Limb Patterning	MSX1	205932_s_at	1.2	0.038
Limb development	JAG2	209784_s_at	0.46 (0.64)	0.0068 (0.003)
Limb development	JAG2	32137_at	0.38	0.025
Limb development	SOX8	226913_s_at	1.8	0.0095
Myogenesis	LBX1	208380_at	1.5	0.0012
Myogenesis	PAX3	231666_at	4.4 (4.3)	1.1 x 10-5  (<0.001)
Myogenesis	PAX3	207679_at	1.7	0.0011
Myogenesis	MEOX2	206201_s_at	3.2 (1.0)	0.00058 (0.076)
Myogenesis	EYA2	209692_at	1.5 (2.2)	0.0037 (<0.001)
Myogenesis	MYF5	207424_at	2.2 (6.6)	0.00059 (<0.001)
Myogenesis	MYOD1	206657_s_at	1.2	0.00016
Myogenesis	MYF6	206372_at	1.4 (4.8)	0.0096 (<0.001)
Myogenesis	MYOG	207282_s_at	2.8	5.1x10-6
Myogenesis	MEF2C	209200_at	1.9	0.031
Myogenesis	MEF2C	209199_s_at	1.7	0.043
Myogenesis	TWIST1	See above	See above	See above
Myogenesis	CDH15	206328_at	1.2	0.0017
Myogenesis	CDH15	206327_s_at	0.86	0.0024
Myogenesis	PRRX1	238852_at	2.8	0.00071
Chondrogenesis	BMP1	205574_x_at	0.4	0.002
Chondrogenesis	BMP2	205290_s_at	1.5 (1.4)	0.012 (<0.001)
Chondrogenesis	BMP2	205289_at	1.4	0.015
Chondrogenesis	RARG	See above	See above	See above
