UniGene ID	Gene title	Gene symbol	Chromosome location
Hs.593858	ADAM metallopeptidase domain 12 (meltrin alpha)	ADAM12	chr10q26.3
Hs.534115	ADAM metallopeptidase with thrombospondin type 1 motif, 1	ADAMTS1	chr21q21.2
Hs.58324	ADAM metallopeptidase with thrombospondin type 1 motif, 5	ADAMTS5	chr21q21.3
Hs.459538	Aldehyde dehydrogenase 1 family, member A3	ALDH1A3	chr15q26.3
Hs.116471	Cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11	chr16q22.1
Hs.101302	Collagen, type XII, alpha 1	COL12A1	chr6q12-q13
Hs.172928	Collagen, type I, alpha 1	COL1A1	chr17q21.33
Hs.489142	Collagen, type I, alpha 2	COL1A2	chr7q22.1
Hs.443625	Collagen, type III, alpha 1	COL3A1	chr2q31
Hs.474053	Collagen, type VI, alpha 1	COL6A1	chr21q22.3
Hs.420269	Collagen, type VI, alpha 2	COL6A2	chr21q22.3
Hs.233240	Collagen, type VI, alpha 3	COL6A3	chr2q37
Hs.522891	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12	chr10q11.1
Hs.154654	Cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	chr2p21
Hs.156316	Decorin	DCN	chr12q21.33
Hs.190977	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	chr8q24.1
Hs.284244	Fibroblast growth factor 2 (basic)	FGF2	chr4q26-q27
Hs.519385	Forkhead box D1	FOXD1	chr5q12-q13
Hs.9914	Follistatin	FST	chr5q11.2
Hs.269027	D-galactosamine:polypeptide N-acetylgalactosaminyltransferase	GALNT5	chr2q24.1
Hs.514746	GATA binding protein 6	GATA6	18q11.1-q11.2
Hs.631650	Glycosyltransferase 8 domain containing 2	GLT8D2	chr12q
Hs.40098	Gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	GREM1	chr15q13-q15
Hs.57697	Hyaluronan synthase 1	HAS1	chr19q13.4
Hs.571528	Hyaluronan synthase 2	HAS2	chr8q24.12
Hs.58877	Hemicentin 1	HMCN1	chr1q25.3-q31.1
Hs.549040	Homeobox C6	HOXC6	chr12q13.3
Hs.450230	Insulin-like growth factor binding protein 3	IGFBP3	chr7p13-p12
Hs.557403	Interleukin 1 receptor, type I	IL1R1	chr2q12
Hs.513022	Immunoglobulin superfamily containing leucine-rich repeat	ISLR	chr15q23-q24
Hs.591210	Integrin, beta-like 1 (with EGF-like repeat domains)	ITGBL1	chr13q33
Hs.459088	KIAA1199	KIAA1199	chr15q24
Hs.534499	Keratin associated protein 1–5	KRTAP1-5	chr17q12-q21
Hs.65436	Lysyl oxidase-like 1	LOXL1	chr15q24-q25
Hs.406475	Lumican	LUM	chr12q21.3-q22
Hs.369840	Nidogen 2 (osteonidogen)	NID2	chr14q21-q22
Hs.9315	Olfactomedin-like 3	OLFML3	chr1p13.2
Hs.494928	Pregnancy-associated plasma protein A, pappalysin 1	PAPPA	chr9q33.2
Hs.74615	Platelet-derived growth factor receptor, alpha polypeptide	PDGFRA	chr4q11-q13
Hs.434900	PDZ domain containing RING finger 3	PDZRN3	chr3p13
Hs.339831	Proenkephalin	PENK	chr8q23-q24
Hs.92282	Paired-like homeodomain transcription factor 2	PITX2	chr4q25-q27
Hs.136348	Periostin, osteoblast specific factor	POSTN	chr13q13.3
Hs.405156	Phosphatidic acid phosphatase type 2B	PPAP2B	chr1pter-p22.1
Hs.431092	Protein phosphatase 4, regulatory subunit 2	PPP4R2	chr3p13
Hs.157461	Proline rich 16	PRR16	chr5q23.1
Hs.632475	Paired related homeobox 1	PRRX1	chr1q24
Hs.131269	Retinoic acid receptor responder (tazarotene induced) 1	RARRES1	3q25.32-q25.33
Hs.351306	Solute carrier family 16, member 4 (monocarboxylic acid transporter	SLC16A4	chr1p13.3
Hs.360174	Snail homolog 2 (Drosophila)	SNAI2	chr8q11
Hs.592098	SRY (sex determining region Y)-box 9	SOX9	17q24.3-q25.1
Hs.233160	Stanniocalcin 2	STC2	chr5q35.2
Hs.409602	Sulfatase 1	SULF1	chr8q13.2-q13.3
Hs.632099	Transgelin	TAGLN	chr11q23.2
Hs.371147	Thrombospondin 2	THBS2	chr6q27
Hs.143250	Tenascin C (hexabrachion)	TNC	chr9q33
Hs.199814	Thyrotropin-releasing hormone degrading enzyme	TRHDE	chr12q15-q21
Hs.66744	Twist homolog 1 (Saethre-Chotzen syndrome) (Drosophila)	TWIST1	chr7p21.2
Hs.435013	Vestigial like 3 (Drosophila)	VGLL3	chr3p12.1
Hs.561260	Wingless-type MMTV integration site family, member 5A	WNT5A	chr3p21-p14
