probe set	Entrez Gene	Gene Symbol	Gene Title
200926_at	6228	RPS23	ribosomal protein S23
213347_x_at	6191	RPS4X	ribosomal protein S4, X-linked
213377_x_at	6206	RPS12	ribosomal protein S12
200029_at	6143	RPL19	ribosomal protein L19 /// ribosomal protein L19
214317_x_at	6203	RPS9	Ribosomal protein S9
201306_s_at	10541	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
209604_s_at	2625	GATA3	GATA binding protein 3
201841_s_at	3315	HSPB1	heat shock 27kDa protein 1
203316_s_at	6635	SNRPE	small nuclear ribonucleoprotein polypeptide E
200826_at	6633	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa
202088_at	25800	SLC39A6	solute carrier family 39 (zinc transporter), member 6
209104_s_at	55651	NOLA2	nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)
222997_s_at	54460	MRPS21	mitochondrial ribosomal protein S21
224841_x_at	26802	RNU47	RNA, U47 small nuclear
224741_x_at	26802	RNU47	RNA, U47 small nuclear
222976_s_at	7170	TPM3	tropomyosin 3
225547_at	641638	HBII-276HG	HBII-276 host gene
209120_at	7026	NR2F2	nuclear receptor subfamily 2, group F, member 2
223086_x_at	51258	MRPL51	mitochondrial ribosomal protein L51
200606_at	1832	DSP	desmoplakin
203476_at	7162	TPBG	trophoblast glycoprotein
1562821_a_at	NA	NA	M41 mRNA, complete sequence; alternatively spliced
201305_x_at	10541	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
216306_x_at	5725	PTBP1	polypyrimidine tract binding protein 1
208808_s_at	3148	HMGB2	high-mobility group box 2
211623_s_at	2091	FBL	fibrillarin /// fibrillarin
222982_x_at	54407	SLC38A2	solute carrier family 38, member 2
225541_at	200916	RPL22L1	ribosomal protein L22-like 1
216559_x_at	120364 /// 284387 /// 285984 /// 3178 /// 344741 /// 388275 /// 389674 /// 391670 /// 402112 /// 402562 /// 439963 /// 440125 /// 440396	HNRPA1 /// LOC120364 /// LOC284387 /// LOC285984 /// LOC344741 /// LOC388275 /// HNRPA1P4 /// LOC391670 /// LOC402112 /// LOC402562 /// LOC439963 /// LOC440125 /// LOC440396	heterogeneous nuclear ribonucleoprotein A1 /// similar to Hnrpa1 protein /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP) /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) /// heterogeneous nuclear ribonucleoprotein A1 pseudogene 4 /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP) /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP) /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed) /// similar to heterogeneous nuclear ribonucleoprotein A1 /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP) /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed)
225496_s_at	54843	SYTL2	synaptotagmin-like 2
211270_x_at	5725	PTBP1	polypyrimidine tract binding protein 1
