HG-U133A	Gene	Localization	GenBank	Description	Function
205686_S_AT	CD86	NM_006889	3q21	CD86 antigen	Hemato-specific molecules
206991_S_AT	CCCKR5	NM_000579	3p21	Chemokine (C-C motif) receptor 5	Hemato-specific molecules
217767_AT	C3	NM_000064	19p13.3-p13.2	Complement component 3	Hemato-specific molecules
210992_X_AT	FCGR2C	U90939	1q23	Fc fragment of Immunoglobulin G, low-affinity IIc, receptor forCD32	Hemato-specific molecules
203835_AT	D11S833E	NM_005512	11q13.5-q14	Glycoprotein A repetitions predominant	Hemato-specific molecules
209767_S_AT	CD42C	L20860	22q11.21	Glycoprotein Ib (platelet), beta polypeptide	Hemato-specific molecules
211287_X_AT	CD116	M64445	Xp22.32/Yp11.3	Granulocyte-macrophage colony-stimulating factor 2 receptor, alpha	Hemato-specific molecules
205032_AT	CD49B	NM_002203	5q23-31	Integrin, alpha2	Hemato-specific molecules
201125_S_AT	ITGB5	NM_002213	3q21.2	Integrin, beta 5	Hemato-specific molecules
214770_AT	MSR1	AI299239	8p22	Macrophage scavenger receptor 1	Hemato-specific molecules
214073_AT	EMS1	BG475299	11q13	Oncogene EMS1 (mammary tumor and squamous cell carcinoma associated)	Hemato-specific molecules
202628_S_AT	SERPINE1	NM_000602	7q21.3-q22	Plasminogen activator inhibitor type 1	Hemato-specific molecules
205463_S_AT	PDGF1	NM_002607	7p22	Platelet-derived growth factor alpha	Hemato-specific molecules
204200_S_AT	PDGF2	NM_002608	22q13.1	Platelet-derived growth factor beta	Hemato-specific molecules
206187_AT	PTGIR	NM_000960	19q13.3	Prostaglandin I2 (prostacyclin) receptor	Hemato-specific molecules
205127_AT	PHS1	NM_000962	9q32-q33.3	Prostaglandin-endoperoxide synthase1	Hemato-specific molecules
203888_AT	THBD	NM_000361	20p12-cen	Thrombomodulin	Hemato-specific molecules
201108_S_AT	THBS1	AI812030	15q15	Thrombospondin1 precursor	Hemato-specific molecules
209946_AT	VRP	U58111	4q34.1-q34.3	Vascular endothelial growth factor C	Hemato-specific molecules
205891_AT	ADORA2B	NM_000676	17p12-p11.2	Adenosine A2b receptor	Signal transduction
221530_S_AT	BHLHB3	AB044088	12p11.23-p12.1	Basic helix-loop-helix domain–containing, class B, 3	Signal transduction
201279_S_AT	DOC2	BC003064	5p13	Disabled (Drosophila) homolog 2 (mitogen-responsive phosphoprotein)	Signal transduction
202669_S_AT	HTKL	U16797	13q33	Ephrin-B2	Signal transduction
202609_AT	EPS8	NM_004447	12q23-q24	Epidermal growth factor receptor pathway substrate 8	Signal transduction
204537_S_AT	GABRE	NM_004961	Xq28	Gamma-aminobutyric acid A receptor eta	Signal transduction
220313_AT	GPR88	NM_022049	1p21.3	G-protein–coupled receptor 88	Signal transduction
204686_AT	IRS1	NM_005544	2q36	Insulin receptor substrate 1	Signal transduction
209540_AT	IGF1	NM_000618	12q22-q23	Insulin-like growth factor 1 (somatomedin C)	Signal transduction
211000_S_AT	CD130	AB015706	5q11	Interleukin 6 signal transducer	Signal transduction
221526_X_AT	PARD3	AW452651	10	Partitioning-defective 3 protein splice variant d	Signal transduction
221577_X_AT	GDF15	AF003934	19p13.1-13.2	Prostate differentiation factor	Signal transduction
201185_AT	HTRA	NM_002775	10q25.3-q26.2	Protease, serine, 11 (IGF binding)	Signal transduction
215195_AT	PRKCA	AF035594	17	Protein kinase C, alpha	Signal transduction
213338_AT	RIS1	BF062629	3	Ras-induced senescence1	Signal transduction
215464_S_AT	TIP-1	AK001327	17p13	Tax interaction protein 1	Signal transduction
205253_AT	PBX1	NM_002585	1q23	Pre–B-cell leukemia transcription factor 1	Transcription
209804_AT	SNM1	D42045	10	DNA-crosslink repair gene SNM1	Nuclear molecules
208490_X_AT	H2BFG	NM_003522	6p21.3	H2B histone family, member G	Nuclear molecules
214455_AT	H2BFL	NM_003526	6p21.3	H2B histone family, member L	Nuclear molecules
214472_AT	H3/B	NM_003530	6p21.3	H3 histone family, member B	Nuclear molecules
209352_S_AT	KIAA0700	AB014600	19p13.12	Paired amphipathic helix protein Sin3b	Nuclear molecules
202996_AT	POLDS	NM_021173	11q13	Polymerase (DNA-directed), delta 4	Nuclear molecules
209298_S_AT	ITSN1	AF114488	21q22.1-q22.2	Intersectin 1 (SH3 domain protein)	Cytoskeleton
209661_AT	KIFC3	BC001211	16q13-q21	Kinesin family member C3	Cytoskeleton
203324_S_AT	CAV2	NM_001233	7q31.1	Caveolin2	Membrane
212097_AT	CAV1	AU147399	7q31.1	Caveolin-1	Membrane
204482_AT	AWAL	NM_003277	22q11.21	Claudin 5	Membrane
209560_S_AT	DLK1	U15979	14q32	Delta-like homolog (Drosophila)	Membrane
209785_S_AT	PLA2G4C	AF065214	19q13.3	Phospholipase A2, group IVC	Membrane
208161_S_AT	ABC31	NM_020037	17q22	ATP-binding cassette, subfamily C (CFTR/MRP), member 3	Transport
209641_S_AT	ABC31	AF009670	17q22	Multidrug resistance–associated protein homolog	Transport
218675_AT	SLC22A17	NM_020372	14q11.2	Organic cation transporter	Transport
221584_S_AT	MaxiK	U11058	10q22	Potassium large conductance calcium-activated channel	Transport
204928_S_AT	SLC10A3	NM_019848	Xq28	Solute carrier family 10, member 3	Transport
217691_X_AT	SLC16A3	AA853175	22q12.3-q13.2	Solute carrier family 16, member 3	Transport
207519_AT	SLC6A4	NM_001045	17q11.1-q12	Solute carrier family 6, member 4	Transport
217678_AT	SLC7A11	AA488687		Solute carrier family 7, member 11	Transport
201149_S_AT	TIMP3	U67195	22q12.3	Tissue inhibitor of metalloproteinase 3	Secretory Molecule
