HG-U133A	Gene	Localization	GenBank	Description
201056_AT	GOLGB1	N53479	3q13	Golgi autoantigen
215994_X_AT	KIAA0676	AK001196	5q35.3	Hypothetical protein KIAA0676
211084_X_AT	PRKCN	Z25429		Protein kinase C
204011_AT	HSPRY2	NM_005842	13q22.2	Sprouty homologue 2 (Drosophila)
211825_S_AT	EWSR1	AF327066	22q12.2	Ewing sarcoma breakpoint region 1
219173_AT	FLJ22686	NM_024957	17q25.3	Hypothetical protein FLJ22686
203855_AT	KIAA0893	NM_014969	1p13.1	Hypothetical protein KIAA0893
212416_AT	SCAMP1	BF058944	5	Secretory carrier membrane protein 1
200011_S_AT	ARF3	NM_001659	12q13	ADP-ribosylation factor 3
208636_AT	ACTN1	AI082078	14q24.1	Actinin, alpha 1
218100_S_AT	ESRRBL1	NM_018010	3q13.13	Estrogen-related receptor beta-like 1
210997_AT	HGF	M77227	7q21.1	Hepatocyte growth factor
214578_S_AT	ROCK1	AV683882	18p11.32	Rho-associated coiled-coil containing protein kinase 1
211430_S_AT	IGHG3	M87789	14q32.33	Immunoglobulin heavy constant gamma 3
211302_S_AT	PDE4B	L20966	1p31	Phosphodiesterase 4B
219117_S_AT	FKBP11	NM_016594	12q13.12	FK506-binding protein precursor
211987_AT	TOP2B	NM_001068	3p24	Topoisomerase (DNA) II beta (180 kD)
211569_S_AT	HADHSC	AF001903	4q22-q26	L-3-hydroxyacyl-coenzyme A dehydrogenase
211796_S_AT	TRB	AF043179	7q35	T cell receptor beta locus
211282_X_AT	APO3	U94506	1p36.2	Tumor necrosis factor receptor superfamily, member 12
222275_AT	MRPS30	AI039469	5	Mitochondrial ribosomal protein S30
219054_AT	FLJ14054	NM_024563	5p13.3	Hypothetical protein FLJ14054
218041_X_AT	SLC38A2	NM_018573	unknown	Hypothetical protein PRO1068
212012_AT	PRG2	AF200348	2pter-p25.1	Melanoma-associated gene
201918_AT	FLJ10618	AI694452	3	Hypothetical protein FLJ10618
219084_AT	NSD1	NM_022455	5q35.3	Androgen receptor-associated coregulator 267
203253_S_AT	KIAA0433	NM_015216	5q21.1	KIAA0433 protein
209759_S_AT	DC1	BC002746	16	Dodecenoyl-coenzyme A delta isomerase
212160_AT	XPOT	AI984005	12	Exportin (nuclear export receptor for tRNAs)
219555_S_AT	BM039	NM_018455	16q23.2	Uncharacterized bone marrow protein BM039
205963_S_AT	DNAJA3	NM_005147	16	DnaJ (Hsp40) homologue, subfamily A, 3
219494_AT	RAD54B	NM_012415	8q21.3-q22	RAD54, S. cerevisiae, homologue of, B
218225_AT	SITPEC	NM_016581	19p13.2	ECSIT (evolutionarily conserved signaling intermediate in Toll pathways)
45633_AT	FLJ13912	AI421812	16	Hypothetical protein FLJ13912
205768_S_AT	VLACS	NM_003645	15q21.2	Fatty-acid-coenzyme A ligase (very long-chain 1)
213132_S_AT	BIK	AL022237		BCL2-interacting killer
215136_S_AT	OIP2	AL050353	13	Opa-interacting protein 2
205024_S_AT	RAD51	NM_002875	15q15.1	RAD51 (S. cerevisiae)
221804_S_AT	HT011	AK027029	X	Uncharacterized hypothalamus protein
218194_AT	SFN	NM_015523	11	Small fragment nuclease
218111_S_AT	CMAS	NM_018686	12p12.1	CMP-N-acetylneuraminic acid synthase
208854_S_AT	STK24	AA586774	13q31.2-q32.3	Serine/threonine kinase 24
211152_S_AT	PRSS25	AF184911	2p12	Protease, serine, 25
211254_X_AT	RHAG	AF031549	6p21.1-p11	Rhesus blood group–associated glycoprotein
203450_AT	C22orf2	NM_015373	22q12	Chromosome 22 open reading frame 2
209856_X_AT	ABI-2	U31089	2q33	Abl-interactor 2 (SH3-containing protein)
203487_S_AT	HSPCO59	NM_015396	3q22.3-q23	DKFZP434A043 protein
203298_S_AT	JARID 2	NM_004973	6p24-p23	Jumonji (mouse) homologue
218013_X_AT	DCTN4	NM_016221	5q31-q32	Dynactin 4 (p62)
218218_AT	FLJ10659	NM_018171	12q24.1	Hypothetical protein FLJ10659
211434_S_AT	CCRL2	AF015524	3p21	Chemokine (C-C motif) receptor-like 2
201989_S_AT	CREBL2	NM_001310	12p13	CAMP-responsive element binding protein-like 2
