Symbol	Description	Biological process	Fold change	p-Value
ADD1	Adducin 1 (alpha)	Blood pressure control	2.549	0.0034
BTD	Biotinidase	Biotin metabolism, cell adhesion molecules (CAMs)	2.388	0.001
CLDN6	Claudin 6	Tight junction leukocyte transendothelial migration neuroactive ligand–receptor interaction	4.249	0.0007
F2	Coagulation factor II (thrombin)	Complement and coagulation cascades. Regulation of actin cytoskeleton	2.635	0.001
F8	Coagulation factor VIII, procoagulant  component (hemophilia A)	Complement and coagulation cascades CAMs	?2.256	0.0007
HLA-DRB4	Major histocompatibility complex (MHC), class II, DR beta 4	Antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	5.961	0.0018
LTF	Lactotransferrin	Inflammatory stress	3.443	0.0041
MAS1	MAS1 oncogene	Calcium signaling pathway	2.728
TTN	Titin	Focal adhesion	2.610	0.0018
VASH1	Vasohibin 1	Regulation of actin cytoskeleton	2.321	0.0139
