Probeset ID	Gene name	Description	FC (log2ratio)	Function
205969_at	AADAC	Arylacetamide deacetylase	2,02	metabolism
214755_at	UAP1L1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	1,93	metabolism
203127_s_at	SPTLC2	Serine palmitoyltransferase 2	1,59	metabolism
212493_s_at	HYPB	huntingtin interacting protein B isoform 2	1,04	metabolism
202733_at	P4HA2	Prolyl 4-hydroxylase alpha-2 subunit precursor	1,14	protein metabolism
204475_at	MMP1	Interstitial collagenase precursor	7,16	proteolysis
205680_at	MMP10	Stromelysin-2 precursor	5,99	proteolysis
200898_s_at	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	3,22	proteolysis
205959_at	MMP13	Collagenase 3 precursor	2,72	proteolysis
219935_at	ADAMTS5	ADAMTS-5 precursor (Aggrecanase-2)	2,05	proteolysis
205746_s_at	ADAM17	ADAM 17 precursor  (A disintegrin and metalloproteinase domain 17)	1,82	proteolysis
213805_at	ABHD5	Abhydrolase domain-containing protein 5	1,09	proteolysis
217604_at	DNPEP	Aspartyl aminopeptidase	1	proteolysis
210942_s_at	ST3GAL6	Type 2 lactosamine alpha-2,3-sialyltransferase (Sialyltransferase 10)	3,31	protein modification
213051_at	ZC3HAV1	Zinc finger CCCH type antiviral protein 1 (Zinc finger CCCH type domain containing protein 2)	2,64	protein modification
204298_s_at	LOX	Protein-lysine 6-oxidase precursor	2,58	protein modification
213704_at	RABGGTB	Geranylgeranyl transferase type II beta subunit	2,52	protein modification
205660_at	OASL	59 kDa 2-5-oligoadenylate synthetase-like protein (Thyroid receptor interacting protein 14)	2,43	protein modification
212665_at	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	1,54	protein modification
201535_at	UBL3	Ubiquitin-like protein 3 (HCG-1 protein)	1,23	protein modification
203286_at	RNF44	ring finger protein 44	3,06	ubiquitin cycle (protein modification)
220370_s_at	USP36	Ubiquitin carboxyl-terminal hydrolase 36 (Ubiquitin thiolesterase 36)	3,03	ubiquitin cycle (protein modification)
219736_at	TRIM36	Tripartite motif protein 36 (Zinc-binding protein Rbcc728) (RING finger protein 98).	2,97	ubiquitin cycle (protein modification)
