Cluster	RefSeq no.	Symbol	Gene name and type	Affymetrix	expression	Function
AJ010108	NM_021515	Ak1	Adenylate kinase 1	?2.075	Up	Cell cycle, growth and maintenance, and apoptosis
U00937	NM_007836	GADD45	Growth arrest and DNA damage 45	?0.6	Up	Cell cycle, growth and maintenance, and apoptosis
AW048937	NM_007669	Cdkn1a	Cyclin-dependent kinase inhibitor 1A (P21)	?2.8	Up	Cell cycle, growth and maintenance, and apoptosis
U09507	NM_007669	Cdkn1a	Cyclin-dependent kinase inhibitor 1A (P21)	?1.325	Up	Cell cycle, growth and maintenance, and apoptosis
AF091432	NM_009830	Ccne2	Cyclin E2	1.2	Down	Cell cycle, growth and maintenance, and apoptosis
X75483	NM_009828	Ccna2	Cyclin A2	1.2	Up	Cell cycle, growth and maintenance, and apoptosis
L49507	NM_009831	Ccng1	Cyclin G1	?2.65	Up	Cell cycle, growth and maintenance, and apoptosis
U20735	NM_008416	Junb	JunB oncogene	?1.45	Up	Cell cycle, growth and maintenance, and apoptosis
J04596	NM_008176	Cxcl1	Chemokine (C-X-C motif) ligand 1	?2.125	Up	Cell cycle, growth and maintenance, and apoptosis
J04596	NM_008176	Cxcl1	Chemokine (C-X-C motif) ligand 1	?2.275	Up	Cell cycle, growth and maintenance, and apoptosis
X71922	NM_010514	Igf2	Insulin-like growth factor-II	?1.025	Up	Cell cycle, growth and maintenance, and apoptosis
U88328	NM_007707	Socs3	Suppressor of cytokine signaling 3	?2.4	Up	Cell cycle, growth and maintenance, and apoptosis
D76440	NM_010882	Ndn	Necdin	1.525		Cell cycle, growth and maintenance, and apoptosis
L22472	NM_007527	Bax	Bcl2-associated X protein	?0.95	Up	Cell cycle, growth and maintenance, and apoptosis
M83649	NM_007987	Tnfrsf6	Tumor necrosis factor receptor superfamily, member 6	?2.425	Up	Cell cycle, growth and maintenance, and apoptosis
M83649	NM_007987	Tnfrsf6	Tumor necrosis factor receptor superfamily, member 6	?1.475	Up	Cell cycle, growth and maintenance, and apoptosis
X54542	NM_031168	IL6	Interleukin-6	?1.25	Up or down	Cell cycle, growth and maintenance, and apoptosis
X82786	XM_133912	Mki67	Antigen identified by monoclonal antibody Ki-67	1.5	Up	Cell cycle, growth and maintenance, and apoptosis
