Gene transcript	Gene symbola	Tentative gene function	Probeset ID	P-value	FCb
Keratin 7	KRT7	Cytoskeleton organisation	209016_s_at	7.51E-11c	19.8
IMP (inosine monophosphate) dehydrogenase 2	IMPDH2	RNA binding, spliceosome complex	201892_s_at	4.71E-09c	2.8
OGT(O-Glc-NAc transferase)-interacting protein 106 kDa	OIP106	DNA binding, G -protein coupled receptor protein signalling pathway	214924_s_at	7.45E-09c	3.9
Junction plakoglobin	JUP	Cytoskeleton, cell adhesion	201015_s_at	8.31E-09c	2.8
Keratin 8	KRT8	Cytoskeleton, protein-nucleus import	209008_x_at	9.21E-09c	5.4
Protein tyrosine phosphatase, receptor type, F	PTPRF	Transmembrane receptor protein tyrosine phosphatase signalling pathway	200635_s_at	1.07E-08c	2.9
Syndecan 1	SDC1	Cytoskeletal protein binding, integral to plasma membrane	201286_at	1.51E-08c	3.8
High mobility group AT-hook 1	HMGA1	Transcription factor	206074_s_at	3.48E-08c	2.2
Protein phosphatase1, regulatory (inhibitor) subunit 14B	PPP1R14B	Phosphoprotein inhibitor	212680_x_at	4.98E-08c	2.5
Agrin	AGRN	Function unknown	212285_s_at	5.18E-08c	2.1
Fatty acid binding protein 6, ileal (gastrotropin)	FABP6	Heat shock protein activity, protein folding	210445_at	6.90E-08c	3.5
Slingshot 3	SSH-3	Acid phosphatase activity	219241_x_at	7.99E-08c	2
EST		Function unknown	216379_x_at	9.99E-08c	3.1
Syndecan 1	SDC1	Cytoskeletal protein binding, integral to plasma membrane	201287_s_at	1.16E-07c	4.3
Hypoxia-inducible factor prolyl 4-hydroxylase	PH-4	Oxidoreductase activity	222125_s_at	1.33E-07c	2
G-rich RNA sequence binding factor 1	GRSF1	Isomerase activity, protein folding	201520_s_at	1.51E-07c	3.6
CD24 antigen (small-cell lung carcinoma cluster 4 antigen)	CD24	Cytoplasm, transferase activity	209771_x_at	1.67E-07c	3.1
Lamin A/C	LMNA	Protein kinase C activation, transferase activity	203411_s_at	1.82E-07c	2.2
FAT tumour suppressor homolog 1 (Drosophila)	FAT	Negative regulation of cell cycle	201579_at	1.94E-07c	3.2
Aminoacylase 1	ACY1	Metallopeptidase activity	202740_at	2.11E-07c	2.4
