EntrezGeneID	GeneSymbol	Mapping Location	Description	SAMq-value (%)	Fold Change
139065	SLITRK4	Xq27.3	SLIT and NTRK-like family, member 4	0	126.1
590	BCHE	3q26.1-q26.2	butyrylcholinesterase	0	88.4
10580	SORBS1	10q23.3-q24.1	sorbin and SH3 domain containing 1	0	57.8
10788	IQGAP2	5q13.3	IQ motif containing GTPase activating protein 2	0	53.4
2321	FLT1	13q12	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	0	52.7
9699	RIMS2	8q22.3	regulating synaptic membrane exocytosis 2	0	27.2
7980	TFPI2	7q22	tissue factor pathway inhibitor 2	0	25.7
25849	DKFZP564O0823	4q13.3-q21.3	DKFZP564O0823 protein	0	25.4
753	C18orf1	18p11.2	chromosome 18 open reading frame 1	0	23.8
171024	SYNPO2	4q26	synaptopodin 2	0	21.1
57110	HRASLS	3q29	HRAS-like suppressor	0	19.9
144100	PLEKHA7	11p15.1	pleckstrin homology domain containing, family A member 7	0	19.0
244	ANXA8	10q11.2	annexin A8	0	17.4
1803	DPP4	2q24.3	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	0	16.8
55691	FRMD4A	10p13	FERM domain containing 4A	0	16.1
121551	BTBD11	12q23.3	BTB (POZ) domain containing 11	0	16.1
50507	NOX4	11q14.2-q21	NADPH oxidase 4	0	15.1
6653	SORL1	11q23.2-q24.2	sortilin-related receptor, L(DLR class) A repeats containing	0	14.9
158038	LRRN6C	9p21.2-p21.1	leucine rich repeat neuronal 6C	0	14.7
22998	DKFZP686A01247	4p13	hypothetical protein	0	11.3
104	ADARB1	21q22.3	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	0	11.2
7163	TPD52	8q21	tumor protein D52	0	11.0
23555	TSPAN15	10q21.3	tetraspanin 15	0	10.7
55022	FLJ20701	2q36.3	hypothetical protein FLJ20701	0	9.4
8828	NRP2	2q33.3	neuropilin 2	0	9.3
54361	WNT4	1p36.23-p35.1	wingless-type MMTV integration site family, member 4	0	9.3
256435	ST6GALNAC3	1p31.1	1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	0	9.3
5924	RASGRF2	5q13	Ras protein-specific guanine nucleotide-releasing factor 2	0	9.1
