probe set	Entrez Gene	Gene Symbol	Gene Title
212273_x_at	2778	GNAS	GNAS complex locus
211657_at	4680	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) /// carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
203757_s_at	4680	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
201884_at	1048	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5
214290_s_at	8337	HIST2H2AA	histone 2, H2aa
200794_x_at	9802	DAZAP2	DAZ associated protein 2
200663_at	967	CD63	CD63 antigen (melanoma 1 antigen)
204351_at	6286	S100P	S100 calcium binding protein P
208724_s_at	5861	RAB1A	RAB1A, member RAS oncogene family
227556_at	29922	NME7	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)
200942_s_at	3281	HSBP1	heat shock factor binding protein 1
224650_at	114569	MAL2	mal, T-cell differentiation protein 2
218280_x_at	8337	HIST2H2AA	histone 2, H2aa
202428_x_at	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)
201568_at	27089	QP-C	low molecular mass ubiquinone-binding protein (9.5kD)
211070_x_at	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein) /// diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)
210592_s_at	6303	SAT	spermidine/spermine N1-acetyltransferase
212501_at	1051	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta
217728_at	6277	S100A6	S100 calcium binding protein A6 (calcyclin)
201953_at	10519	CIB1	calcium and integrin binding 1 (calmyrin)
200972_at	10099	TSPAN3	tetraspanin 3
218190_s_at	29796	UCRC	ubiquinol-cytochrome c reductase complex (7.2 kD)
201243_s_at	481	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide
203455_s_at	6303	SAT	spermidine/spermine N1-acetyltransferase
201121_s_at	10857	PGRMC1	progesterone receptor membrane component 1
200804_at	7009	TEGT	testis enhanced gene transcript (BAX inhibitor 1)
212531_at	3934	LCN2	lipocalin 2 (oncogene 24p3)
209389_x_at	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)
212768_s_at	10562	OLFM4	olfactomedin 4
210046_s_at	3418	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial
214303_x_at	4586	MUC5AC	mucin 5, subtypes A and C, tracheobronchial/gastric
201398_s_at	23471	TRAM1	translocation associated membrane protein 1
200698_at	11014	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
213702_x_at	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
201599_at	4942	OAT	ornithine aminotransferase (gyrate atrophy)
209076_s_at	56270	WDR45L	WDR45-like
209218_at	6713	SQLE	squalene epoxidase
217758_s_at	56889	SMBP	SM-11044 binding protein
218313_s_at	51809	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
215111_s_at	8848	TSC22D1	TSC22 domain family, member 1
212053_at	23042	KIAA0251	KIAA0251 protein
200620_at	9528	TMEM59	transmembrane protein 59
218189_s_at	54187	NANS	N-acetylneuraminic acid synthase (sialic acid synthase)
208405_s_at	8763	CD164	CD164 antigen, sialomucin
205480_s_at	7360	UGP2	UDP-glucose pyrophosphorylase 2
224655_at	50808	AK3	adenylate kinase 3
200976_s_at	8887	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1
210980_s_at	427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
217803_at	64083	GOLPH3	golgi phosphoprotein 3 (coat-protein)
213693_s_at	4582	MUC1	mucin 1, transmembrane
208683_at	824	CAPN2	calpain 2, (m/II) large subunit
222399_s_at	56889	SMBP	SM-11044 binding protein
209135_at	444	ASPH	aspartate beta-hydroxylase
225314_at	132299	OCIAD2	OCIA domain containing 2
209373_at	7851	MALL	mal, T-cell differentiation protein-like
200878_at	2034	EPAS1	endothelial PAS domain protein 1
208647_at	2222	FDFT1	farnesyl-diphosphate farnesyltransferase 1
201662_s_at	2181	ACSL3	acyl-CoA synthetase long-chain family member 3
224934_at	81555	YIPF5	Yip1 domain family, member 5
208783_s_at	4179	MCP	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)
212345_s_at	64764	CREB3L2	cAMP responsive element binding protein 3-like 2
208943_s_at	7095	TLOC1	translocation protein 1
205453_at	3212	HOXB2	homeo box B2
201193_at	3417	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble
208638_at	10130	PDIA6	protein disulfide isomerase family A, member 6
200921_s_at	694	BTG1	B-cell translocation gene 1, anti-proliferative
201135_at	1892	ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial
212043_at	10618	TGOLN2	trans-golgi network protein 2
226034_at	1846	DUSP4	Dual specificity phosphatase 4
217739_s_at	10135	PBEF1	pre-B-cell colony enhancing factor 1
214385_s_at	4586	MUC5AC	mucin 5, subtypes A and C, tracheobronchial/gastric
204846_at	1356	CP	ceruloplasmin (ferroxidase)
201626_at	3638	INSIG1	insulin induced gene 1
203397_s_at	2591	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
220161_s_at	54566	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
200078_s_at	533	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c /// ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c
223068_at	27436	EML4	echinoderm microtubule associated protein like 4
204404_at	6558	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2
207847_s_at	4582	MUC1	mucin 1, transmembrane
227253_at	1356	CP	Ceruloplasmin (ferroxidase)
208786_s_at	81631	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
202939_at	10269	ZMPSTE24	zinc metallopeptidase (STE24 homolog, yeast)
200941_at	3281	HSBP1	heat shock factor binding protein 1
203453_at	6337	SCNN1A	sodium channel, nonvoltage-gated 1 alpha
225060_at	84918	LRP11	low density lipoprotein receptor-related protein 11
201769_at	9685	ENTH	enthoprotin
218254_s_at	51128	SAR1B	SAR1 gene homolog B (S. cerevisiae)
203430_at	23593	HEBP2	heme binding protein 2
