Symbol	Title	Functiona	Accessionb	Medianc	25%c	75%c	%Down	Pd
GIF	Gastric intrinsic factor (vitamin B synthesis)	Small molecule transport	M63154	-16.53	-18.82	-12.56	100	6.49E-03
LOC56287	CA11	Carbonate dehydratase	AI333599	-9.51	-20.57	-5.6	100	1.14E-03
APOA4	Apolipoprotein A-IV	Lipid metabolism	M13654	-6.85	-12.68	-5.71	100	1.24E-03
RBP2	Retinol-binding protein 2, cellular	Vitamin A metabolism	AI340234	-5.55	-16.99	-4.22	100	5.88E-04
ANPEP	Alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	Protease	M22324	-4.2	-5.2	-2.59	100	2.39E-03
KHK	Ketohexokinase (fructokinase)	Carbohydrate metabolism	X78677	-3.44	-12.24	-2.41	100	1.28E-03
TFF2	Trefoil factor 2 (spasmolytic protein 1)	Defense response	AA741431	-2.96	-6.44	-2.05	94.4	1.26E-04
MAL	Mal, T-cell differentiation protein	Signal transduction	M15800	-15.31	-17.43	-5.46	93.3	1.57E-06
LOC51237	Hypothetical protein	Unknown	AA769445	-14.92	-16.84	-4.09	92.9	4.73E-03
NA	EST	Unknown	AA788874	-10.44	-15.44	-4.51	92.9	2.43E-08
MTP	Microsomal triglyceride transfer protein (large polypeptide, 88 kD)	Lipid metabolism	X59657	-5.63	-13.83	-4.55	92.9	6.14E-03
APOB	Apolipoprotein B (including Ag(x) antigen)	Lipid metabolism	M15421	-16.14	-18.5	-4.79	92.3	2.42E-03
MYHL	Myosin, heavy polypeptide-like (110 kD)	Cytoskeleton	AF127026	-4.42	-14.37	-2.71	91.7	1.54E-04
IGHM	Immunoglobulin heavy constant  	Immune	X67292	-5.1	-16.54	-3.43	88.2	6.72E-03
CA2	Carbonic anhydrase II	Carbonate dehydratase	J03037	-3.98	-8.92	-2.08	88.2	3.44E-04
ALDH3	Aldehyde dehydrogenase 3	Carbohydrate metabolism	M77477	-5.68	-16.5	-2.03	87.5	6.82E-03
SURF-4	Surfeit gene 4	Unknown	Y14820	-2.02	-4.5	-1.46	86.7	1.50E-04
CYP2C9	Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9	Drug metabolism	M61857	-14.98	-15.23	-5.17	85.7	7.49E-07
NA	EST	Unknown	AI028202	-4.41	-13.14	-2.8	85.7	1.73E-06
FBP1	Fructose, 6-bisphosphatase 1	Carbohydrate metabolism	L10320	-2.73	-12.04	-1.71	85.7	4.05E-04
PGC	Progastricsin (pepsinogen C)	Digestion	M23077	-6.1	-15.87	-3.87	85	9.48E-04
