P-value	Probe set	UGcluster	gene	alpha	beta	delta	epsilon
p < 1e-07	100717_at	Mm.2548	U90926	2.284271552	1.123414884	1.268748577	7.540154855
p < 1e-07	100946_at	Mm.6388	Hspa1b	0.05768285	0.349213341	0.848950289	0.044767808
p < 1e-07	100986_at	Mm.6799	Fhl2	0.312871401	0.416242041	0.818240977	0.342919061
p < 1e-07	101583_at	Mm.903	Btg2	0.298697661	0.489117379	0.915334514	0.283385599
p < 1e-07	101979_at	Mm.9653	Gadd45g	0.046684397	0.189145071	0.944071909	0.036312538
p < 1e-07	103016_s_at	Mm.1581	Cd68	0.247060308	0.49909855	0.907033692	0.361040317
p < 1e-07	103422_at	Mm.1894	Cd1d1	53.46903296	3.048418472	7.359666374	2.418221547
p < 1e-07	104598_at	Mm.2404	Dusp1	0.270189726	0.437915982	0.983668171	0.284328034
p < 1e-07	160463_at	Mm.4048	Myd116	0.175336361	0.241469575	0.815530407	0.16794528
p < 1e-07	160901_at	Mm.5043	Fos	0.084586246	0.203650747	1.119131178	0.064965066
p < 1e-07	162308_f_at	Mm.4726	Cryab	0.148104042	0.375538919	0.776760981	0.161604804
p < 1e-07	94224_s_at	Mm.2226	Ifi205	3.896441748	1.227313448	1.875410173	3.341236733
p < 1e-07	94507_at	Mm.2896	Facl2	5.400595195	1.221257231	1.389887367	1.481380962
p < 1e-07	95050_at	Mm.2913	Chordc1	0.312470101	0.386499257	0.86075804	0.305688841
p < 1e-07	95611_at	Mm.2799	Lpl	38.64886036	3.49117236	6.44191958	3.986388001
p < 1e-07	96092_at	Mm.2673	Hp	28.04687266	2.719809857	3.758199021	1.854776926
p < 1e-07	97863_at	Mm.2832	D8Ertd354e	0.19491297	0.314618747	0.906036206	0.216464594
p < 1e-07	98018_at	Mm.3243	Procr	0.161638425	0.29111605	0.90346088	0.153516199
p < 1e-07	98111_at	Mm.3482	Hsp105	0.258722986	0.407873662	0.835721745	0.230155078
p < 1e-07	98772_at	Mm.4660	Cxcl5	4.206575205	2.028336614	2.48199718	5.017532355
p < 1e-07	99548_at	Mm.4257	Aldh3a1	1.969828755	1.589472706	2.601451098	5.814997594
1.00E-07	102663_at	Mm.1359	Plaur	0.244527021	0.343576623	0.887488571	0.246945733
1.00E-07	102779_at	Mm.1360	Gadd45b	0.16009803	0.456460731	1.028098631	0.065954979
1.00E-07	103240_f_at	Mm.2037	Ear2	25.18758884	1.068102555	1.247147666	1.450507208
1.00E-07	104643_at	Mm.3126	BC037006	0.1608563	0.2179202	0.692430667	0.15017954
1.00E-07	160101_at	Mm.1798	Hmox1	0.170950661	0.275125903	0.847523082	0.14525837
1.00E-07	160713_at	Mm.2452	AA407930	0.136619014	0.251393457	0.827831685	0.126982057
1.00E-07	92730_at	Mm.4661	Dtr	0.237658447	0.429554951	1.023707062	0.252037855
1.00E-07	93022_i_at	Mm.1477	Hist3	0.216021925	0.292696725	1.078632277	0.178797281
1.00E-07	93534_at	Mm.1987	Dcn	3.929979376	3.092645113	1.730242411	9.753959678
1.00E-07	94435_at	Mm.2653	D10Ertd438e	4.325212198	2.206767366	1.737739715	2.893306655
1.00E-07	95722_at	Mm.2972	Glrx1	3.921821161	1.781464631	1.881632521	3.889633351
1.00E-07	96254_at	Mm.2982	Dnajb1	0.0966249	0.249575016	0.757033	0.100947628
1.00E-07	97844_at	Mm.2826	Rgs2	0.937854954	0.391102095	1.555352462	0.205781777
1.00E-07	99435_at	Mm.5717	Fgf7	4.279252821	1.589222171	2.455656985	4.74995888
1.00E-07	99622_at	Mm.4325	Klf4	0.387534819	0.665481798	0.978150445	0.354365841
2.00E-07	93875_at	Mm.8843	Hspa1a	0.059047984	0.200108636	0.809912517	0.023659301
2.00E-07	98631_g_at	Mm.3879	Nsdhl	2.743750888	2.909674872	1.387399939	3.536796067
3.00E-07	101007_at	Mm.6797	Mknk2	0.303355194	0.465338816	0.772011713	0.251280468
3.00E-07	98451_at	Mm.3463	Dnajb10	0.199934482	0.296225647	0.721333666	0.209860041
4.00E-07	101429_at	Mm.7549	Ddit3	0.221386322	0.419599552	0.930487283	0.224241811
5.00E-07	101412_at	Mm.736	Sh3gl3	0.200269484	0.410707754	0.774561801	0.174831189
5.00E-07	103922_f_at	Mm.2503	B5R.1	0.257091053	0.402954112	0.649083204	0.224736585
5.00E-07	98507_at	Mm.3582	Nr1d1	0.30570257	0.439163096	0.689481268	0.309487469
7.00E-07	161666_f_at	Mm.7048	Gadd45b	0.085607933	0.218957709	1.14579289	0.062749174
1.00E-06	103448_at	Mm.2156	S100a8	12.98521616	0.993552608	1.716264103	2.11734716
1.00E-06	160330_at	Mm.2913	Chordc1	0.30555809	0.332472321	0.883892793	0.296927777
1.10E-06	104533_at	Mm.2322	Pim1	0.331685597	0.462695919	0.827047798	0.374024434
1.10E-06	98623_g_at	Mm.3862	Igf2	0.650994875	0.987082752	0.912814107	0.183480894
1.10E-06	95349_g_at	Mm.2101	Cxcl1	2.475219149	1.019964277	2.074507905	2.919451424
1.60E-06	101897_g_at	Mm.8877	Cd1d2	11.76424158	1.631998057	2.654723089	2.272715224
1.70E-06	98802_at	Mm.4791	Ereg	2.60317509	0.811104861	2.927164976	4.440989801
1.80E-06	95286_at	Mm.1870	Clu	0.23881256	0.408785208	0.752917763	0.305011476
2.00E-06	93023_f_at	Mm.1477	Hist1h3f	0.280412827	0.411570565	1.07827437	0.206009468
2.30E-06	92593_at	Mm.1068	Osf2-pending	2.082899964	2.834562893	0.627459119	1.311576914
3.00E-06	160564_at	Mm.9537	Lcn2	5.842844824	0.7478325	1.163335357	3.815989176
4.30E-06	93981_at	Mm.2170	Plat	0.186742592	0.367689734	0.962600344	0.312883948
5.80E-06	95910_f_at	Mm.2444	C330008I15Rik	0.206157733	0.272935554	0.798840806	0.253633779
6.10E-06	92614_at	Mm.110	Idb3	0.247322637	0.390722652	1.135898183	0.364435333
6.20E-06	160737_at	Mm.2723	Lss	2.473154612	2.894432434	1.299582484	3.099848949
6.70E-06	102052_at	Mm.1029	1300003D03Rik	4.686770753	1.165529415	1.354271186	2.446358466
6.90E-06	93100_at	Mm.1653	Acta2	0.338435129	0.474129272	0.844083999	0.371112934
7.20E-06	160972_at	Mm.2448	Spi14	2.529441955	0.529645687	0.710420617	0.418148496
8.60E-06	93013_at	Mm.1466	Idb2	0.317500792	0.387035452	1.052321201	0.45551431
1.39E-05	99591_i_at	Mm.4279	Rdh11	8.797210897	3.95759991	2.365265262	5.000800348
1.54E-05	160092_at	Mm.168	Ifrd1	0.350324094	0.469392182	1.115590362	0.325699284
1.58E-05	102710_at	Mm.1425	Apbb1ip-pending	2.869247738	2.049132893	1.555054215	3.728849797
1.64E-05	92731_at	Mm.4663	Ptx3	2.818919713	1.281340819	2.439627017	4.187915044
1.74E-05	93497_at	Mm.1913	C3	8.427932209	2.177467412	3.392460232	1.622767067
