Systematic replica ( )	Normalized CTRL	Normalized EXP	Common	Synonyms	Genbank	qPCR validation	Regulated
 1457769_at	0.999	8.161	H60	PREDICTED: histocompatibility 60 [Mus musculus], mRNA sequence	XM_136972	Yes	Up - FC 1.5 - P 0.01
 1438718_at	0.996	4.735	Fgf9	Fibroblast growth factor 9	NM_013518	Not	Up - FC 1.5 - P 0.01
 1423259_at	1	4.055	Id4	Inhibitor of DNA binding 4	NM_031166	Yes	Up - FC 1.5 - P 0.01
 1436448_a_at	1	3.656	Ptgs1	Prostaglandin-endoperoxide synthase 1	NM_008969	Yes	Up - FC 1.5 - P 0.01
 1452599_s_at	0.998	3.316	AI413582	Expressed sequence AI413582	NM_001002895		Up - FC 1.5 - P 0.01
 1437687_x_at	0.998	3.158	Fkbp9	FK506 binding protein 9	NM_012056	Yes	Up - FC 1.5 - P 0.01
 1442836_at	1	3.096	Xpo7	Exportin 7	NM_023045	Not	Up - FC 1.5 - P 0.01
 1455872_at	0.999	2.944	A030013D21	Hypothetical protein A030013D21	NM_177628		Up - FC 1.5 - P 0.01
 1418979_at	0.999	2.782	9030611N15Rik	RIKEN cDNA 9030611N15 gene	NM_134072		Up - FC 1.5 - P 0.01
 1417956_at	1	2.513	Cidea	Cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	NM_007702	Yes	Up - FC 1.5 - P 0.01
 1429625_at	0.999	2.402	2900054C01Rik	RIKEN cDNA 2900054C01 gene	NA		Up - FC 1.5 - P 0.01
 1418754_at	1	2.081	Adcy8	Adenylate cyclase 8	NM_009623	Not	Up - FC 1.5 - P 0.01
 1452147_at	1	1.896	Sec24c	SEC24 related gene family, member C (S. cerevisiae)	NM_172596		Up - FC 1.5 - P 0.01
 1454672_at	1	1.622	NA	NA	NA		Up - FC 1.5 - P 0.01
 1417336_a_at	1	1.622	Sytl4	Synaptotagmin-like 4	NM_013757		Up - FC 1.5 - P 0.01
 1457614_at	1	1.613	NA	Transcribed locus, weakly similar to NP_795929.1 hypothetical protein LOC319587 [Mus musculus]	NA		Up - FC 1.5 - P 0.01
 1451348_at	1	1.61	Depdc6	DEP domain containing 6	NM_145470		Up - FC 1.5 - P 0.01
 1449514_at	1	1.563	Gprk5	G protein-coupled receptor kinase 5	NM_018869		Up - FC 1.5 - P 0.01
 1417377_at	1	0.603	Igsf4a	Immunoglobulin superfamily, member 4A	NM_001025600		Down - FC 1 .5 - P 0.01
 1426024_a_at	1	0.586	Dbn1	Drebrin 1	NM_019813		Down - FC 1 .5 - P 0.01
 1424701_at	1	0.546	Pcdh20	Protocadherin 20	NM_178685		Down - FC 1 .5 - P 0.01
 1455847_at	1	0.544	Pak7	p21 (CDKN1A)-activated kinase 7	NM_172858		Down - FC 1 .5 - P 0.01
 1452657_at	1	0.51	Ap1s2	Adaptor-related protein complex 1, sigma 2 subunit	NM_026887		Down - FC 1 .5 - P 0.01
 1449158_at	0.999	0.476	Kcnk2	Potassium channel, subfamily K, member 2	NM_010607		Down - FC 1 .5 - P 0.01
 1448318_at	1	0.452	Adfp	Adipose differentiation related protein	NM_007408		Down - FC 1 .5 - P 0.01
 1421074_at	1	0.437	Cyp7b1	Cytochrome P450, family 7, subfamily b, polypeptide 1	NM_007825	Yes	Down - FC 1 .5 - P 0.01
 1455893_at	0.996	0.275	Rspo2	R-spondin 2 homolog (Xenopus laevis)	NM_172815	Yes	Down - FC 1 .5 - P 0.01
 1428227_at	0.997	0.255	Rest	RE1-silencing transcription factor	NM_011263	Yes	Down - FC 1 .5 - P 0.01
 1416589_at	0.998	0.047	Sparc	Secreted acidic cysteine rich glycoprotein	NM_009242	Yes	Down - FC 1 .5 - P 0.01
