Permutation P-value	GenBank ID	Symbol	Gene name
5.09E-06	AF049884	ARGBP2	Arg/Abl-interacting protein ArgBP2
3.76E-05	NM_006077	CBARA1	Calcium-binding atopy-related autoantigen 1
0.0001	AA700379	MTMR1	Myotubularin related protein 1
0.0002	AI340331	HT010	Uncharacterized hypothalamus protein HT010
0.0009	Z11531	EEF1G	Eucaryotic translation elongation factor 1 gamma
0.001	AA459167	NPD002	NPD002 protein
0.0016	AI014395	YME1L1	YME1 (S.cerevisiae)-like 1
0.0016	AW157203	LCAT	Lecithin-cholesterol acyltransferase
0.0017	M94083	CCT6A	Chaperonin-containing TCP1, subunit 6A (zeta 1)
0.0018	AI123363	RPL23A	Ribosomal protein L23a
0.0022	X53777	RPL17	Ribosomal protein L17
0.0026	U16798	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide
0.0032	X76013	QARS	Glutaminyl-tRNA synthetase
0.0034	M22382	HSPD1	Heat shock 60 kDa protein 1 (chaperonin)
0.0035	AF075590	BZRP	Benzodiazapine receptor (peripheral)
0.0041	L38995	TUFM	Tu translation elongation factor, mitochondrial
0.0043	AA150867	TIMM9	Translocase of inner mitochondrial membrane 9 (yeast) homolog
0.0053	L76687	GRB14	Growth factor receptor-bound protein 14
0.0064	T70782	FLJ10803	Hypothetical protein FLJ10803
0.007	H89783	SERPINA4	Serine (or cysteine) proteinase inhibitor, clade A, member 4
0.0086	D83782	SCAP	srebp cleavage-activating protein
0.0104	AI018632	LAMP1	Lysosomal-associated membrane protein 1
0.0114	AA531437	MLLT4	Myeloid/lymphoid or mixed-lineage leukemia translocated to, 4
0.0118	M75126	HK1	Hexokinase 1
0.0121	AA936173	RPS11	Ribosomal protein S11
0.014	AA488766	SYNGR2	Synaptogyrin 2
0.0143	M60922	FLOT2	Flotillin 2
0.0149	AI075048	CTSB	Cathepsin B
0.0158	AL031668	RALY	RNA-binding protein (autoantigenic)
0.0172	D26600	PSMB4	Proteasome (prosome, macropain) subunit, beta type, 4
0.0191	L19711	DAG1	Dystroglycan 1 (dystrophin-associated glycoprotein 1)
0.0191	AI357601	RPL37A	Ribosomal protein L37a
0.0198	AI148194		Novel human gene mapping to chomosome 22
0.0201	U51586	SIAHBP1	siah-binding protein 1
0.0206	X57398	PM5	pM5 protein
0.0222	AF004430	TPD52L2	Tumor protein D52-like 2
0.0231	M17886	RPLP1	Ribosomal protein, large, P1
0.0242	AI279562	KIAA0469	KIAA0469 gene product
0.0243	L14778	PPP3CA	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)
0.0251	AA156481	RPL13A	Ribosomal protein L13a
0.0253	AA083406	EIF3S8	Eucaryotic translation initiation factor 3, subunit 8 (110 kDa)
0.0255	M11717	HSPA1A	Heat shock 70 kDa protein 1A
0.0256	AF015767	BRE	Brain and reproductive organ-expressed (TNFRSF1A modulator)
0.0257	AF000984	DBY	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide, Y chromosome
0.0262	X17206	RPS2	Ribosomal protein S2
0.027	W45522	LOC51189	ATPase inhibitor precursor
0.0294	X06323	MRPL3	Mitochondrial ribosomal protein L3
0.0296	X83218	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
0.0308	AI305234		ESTs
0.0309	AI246699	CATX-8	CATX-8 protein
0.0313	W24533	GRB10	Growth factor receptor-bound protein 10
0.0314	AA029875	CASP4	Caspase 4, apoptosis-related cysteine protease
0.033	AA504081	CSH2	Chorionic somatomammotropin hormone 2
0.0331	AA778572	HSPC164	Hypothetical protein
0.0331	D11999	GLS	Glutaminase
0.0336	D32050	AARS	Alanyl-tRNA synthetase
0.0343	D63997	GOLGA3	Golgi autoantigen, golgin subfamily a, 3
0.0347	AI366139	MAC30	Hypothetical protein
0.035	R64726		Homo sapiens cDNA: FLJ23591 fis, clone LNG14729
0.0366	M61715	WARS	Tryptophanyl-tRNA synthetase
0.0373	U46191	RAGE	Renal tumor antigen
0.0374	AI090753	SHMT2	Serine hydroxymethyltransferase 2 (mitochondrial)
0.0384	AA487669	GSTM1	Glutathione S-transferase M1
0.0397	AI289991	DKFZP761C169	Hypothetical protein DKFZp761C169
0.0401	AI131289	RPLP2	Ribosomal protein, large P2
0.0405	AA345061	KIAA0903	KIAA0903 protein
0.0407	AI299327		ESTs
0.0409	AA922716	PRKACB	Protein kinase, cAMP-dependent, catalytic, beta
0.0412	AA845165	PRSS1	Protease, serine, 1 (trypsin 1)
0.0417	AA877534	GPRC5C	G-protein-coupled receptor, family C, group 5, member C
0.0424	AA255699		Human DNA sequence from clone RP3-324O17 on chromosome 20
0.0428	H73961	ARPC3	Actin-related protein 2/3 complex, subunit 3 (21 kDa)
0.0433	D87666	GPI	Glucose phosphate isomerase
0.0434	C01335		ESTs, weakly similar to FLDED [H. sapiens]
0.0435	AI075943	SENP2	Sentrin-specific protease
0.0439	D87989	UGTREL1	UDP-galactose transporter related
0.0463	Z26876	RPL38	Ribosomal protein L38
0.0464	AI080640	AGR2	Anterior gradient 2 (Xenepus laevis) homolog
0.0467	X04588	TPM3	2.5 kb mRNA for cytoskeletal tropomyosin TM30
0.0471	D30949		Homo sapiens cDNA FLJ12750 fis, clone NT2RP2001168, weakly similar to verprolin
0.0484	Z11559	ACO1	Aconitase 1, soluble
0.0485	D86956	HSP105B	Heat shock 105 kDa
0.0486	L13740	NR4A1	Nuclear receptor subfamily 4, group A, member 1
0.0499	AA320379	POH1	26S proteasome-associated pad1 homolog
