Access number	Symbol a	Name	Change (%)b	P-value 	Function
 N54344	BRRN1	Barren homolog (Drosophila)	84.2	0.00008	Nuclear intergrity
 AI369629	CENPA	Centromere protein A, 17 kDa	74	0.000007	Nuclear intergrity
 T87341	CENPF	Centromere protein F, 350/400ka (mitosin)	66.3	0.06	Nuclear intergrity
 AA400476	KIF2C	Kinesin family member 2C	95.7	0.0005	Nuclear intergrity
 AA676460	KPNA2	Importin alpha 1 (karyopherin alpha 2)	117.7	0.0001	Nuclear intergrity
 AA779949	NUSAP1	Nucleolar and spindle-associated protein 1	69.1	0.038	Nuclear intergrity
 AA456316	TACC1	Transforming, acidic coiled-coil containing protein 1	-41.3	0.00001	Nuclear intergrity
 H47327	TACC1	Transforming, acidic coiled-coil containing protein 1	-40.9	0.002	Nuclear intergrity
 AI337292	TTK	TTK protein kinase	82	0.002	Nuclear intergrity
 H80712	CASP10	Caspase-10, apoptosis-related cysteine protease	-37.2	0.0000002	Apoptosis
 T64094	HD	Huntingtin (Huntington disease)	62.9	0.006	Apoptosis
 AA491191	IFI16	Interferon, gamma-inducible protein 16	-52.2	0.001	Apoptosis
 AI372035	RAD54L	RAD54-like (S. cerevisiae)	99.2	0.0008	Apoptosis
 AA777001	CCNA1	Cyclin A1	162.8	0.005	Proliferation
 AA278384	CDC2	Cell division cycle 2, G1 to S and G2 to M	92.8	0.00005	Proliferation
 AA634371	CDCA3	Cell division cycle associated 3	121.7	0.006	Proliferation
 AA425973	MKI67	Antigen identified by monoclonal antibody Ki-67	64.7	0.0003	Proliferation
 cDNA(RT?PCR)	p21	Waf1/p21	-56.1	0.001	Proliferation
 N26823	RBBP6	Retinoblastoma binding protein 6	-36.4	0.00004	Proliferation
 AA151214	G3BP2	Ras-GTPase activating protein SH3 domain-binding protein 2	73	0.002	Others
 AA625662	HAT1	Histone acetyltransferase 1	70.5	0.006	Others
 AA424912	KPNB1	Karyopherin (importin) beta 1	62.8	0.012	Others
 N39611	RFC3	Replication factor C (activator 1) 3, 38 kDa	81.4	0.006	Others
 N93924	RFC4	Replication factor C (activator 1) 4, 37 kDa	63.4	0.000002	Others
 H54752	RFC4	Replication factor C (activator 1) 4, 37 kDa	69.2	0.002	Others
 AA625964	RNF3	Ring-finger protein 3	76.7	0.003	Others
 R91570	STAT4	Signal transducer and activator of transcription 4	-59.6	0.0002	Others
 W69960	WHSC1	Wolf?Hirschhorn syndrome candidate 1	68.9	0.001	Others
