Probe set	Gene name	Symbol	R†	Functional Category
96662_at	Phosphatidic acid phosphatase type 2B	Ppap2b	0.51	Wnt signalling pathway
96747_at	Ras homologue gene family, member U (Wrch1)	Rhou	9.31	Wnt signalling pathway
162011_f_at	Ras homologue gene family, member U (Wrch1)	Rhou	9.10	Wnt signalling pathway
93503_at	Secreted frizzled-related sequence protein 2	Sfrp2	0.27	Wnt signalling pathway
97994_at	Transcription factor 7, T-cell specifi c	Tcf7	3.16	Wnt signalling pathway
102044_at	WNT1 inducible signalling pathway protein 1	Wisp1	3.20	Wnt signalling pathway
98862_at	Wingless-related MMTV integration site 10a	Wnt10a	2.37	Wnt signalling pathway
99390_at	Wingless-related MMTV integration site 5A	Wnt5a	4.81	Wnt signalling pathway
104097_at	Budding uninhibited by benzimidazoles 1 homologue (S. cerevisiae)	Bub1	1.65	Cell cycle
101900_at	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Cdkn2b	1.40	Cell cycle
160638_at	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	Cdkn2c	0.71	Cell cycle
101429_at	DNA-damage inducible transcript 3	Ddit3	1.28	Cell cycle
97327_at	Flap structure specific endonuclease 1	Fen1	1.39	Cell cycle
94338_g_at	Growth arrest specifi c 2	Gas2	0.31	Cell cycle
98530_at	Growth arrest specifi c 5	Gas5	2.40	Cell cycle
98531_g_at	Growth arrest specifi c 5	Gas5	5.64	Cell cycle
92323_at	Mitogen-activated protein kinase 12	Mapk12	2.21	Cell cycle
100023_at	Myeloblastosis oncogene-like 2	Mybl2	3.30	Cell cycle
102715_at	Nuclear receptor subfamily 2, group F, member 1	Nr2f1	4.99	Cell cycle
94932_at	Platelet-derived growth factor, ?	Pdgfa	1.45	Cell cycle
92348_at	Thyroid hormone receptor ?	Thra	0.74	Cell cycle
161028_at	Bone morphogenetic protein 6	Bmp6	6.41	Other cell growth and maintenance
100127_at	Cellular retinoic acid binding protein II	Crabp2	3.56	Other cell growth and maintenance
100567_at	Fatty-acid binding protein 4, adipocyte	Fabp4	0.46	Other cell growth and maintenance
97500_g_at	Four and a half LIM domains 1	Fhl1	1.90	Other cell growth and maintenance
101991_at	Flavin-containing monooxygenase 1	Fmo1	0.30	Other cell growth and maintenance
104449_at	Glycine receptor, ? subunit	Glrb	2.20	Other cell growth and maintenance
95546_g_at	Insulin-like growth factor 1	Igf1	1.44	Other cell growth and maintenance
101571_g_at	Insulin-like growth factor binding protein 4	Igfbp4	0.46	Other cell growth and maintenance
160832_at	Low density lipoprotein receptor	Ldlr	1.79	Other cell growth and maintenance
104590_at	Myocyte enhancer factor 2C	Mef2c	7.72	Other cell growth and maintenance
101059_at	Necdin	Ndn	15.33	Other cell growth and maintenance
100697_at	Paired box gene 3	Pax3	0.47	Other cell growth and maintenance
94855_at	Prohibitin	Phb	2.28	Other cell growth and maintenance
95516_at	RAB9, member RAS oncogene family	Rab9	0.46	Other cell growth and maintenance
161067_at	Mammalian homologue of Drosophila tribbles	Trib3	6.09	Other cell growth and maintenance
94367_at	Uridine monophosphate kinase	Umpk	2.33	Other cell growth and maintenance
