Function	Gene name	Gene description
Cell adhesion	Cdh24	Cadherin-like 24
Cell adhesion	Negr1	Neuronal growth regulator 1
Cell adhesion	Pak1	p21-activated kinase 1
Cell adhesion	Parvb	Parvin, beta
Cell cycle	Anapc5	Anaphase-promoting complex 5
Cell cycle	Ccnb1	Cyclin B1
Cell cycle	Ccrk	Cell cycle-related kinase
Cell cycle	Cdk8	Cyclin-dependent kinase 8
Cell growth/death	Bcl7b	B-cell CLL/lymphoma 7B
Cell growth/death	Casp3	Caspase 3
Cell growth/death	Fadd	Fas-associated via death domain
Cell growth/death	St18	Suppression of tumorigenicity 18
Cytoskeleton	Epb4.1	Erythrocyte protein band 4.1
Cytoskeleton	Mark2	MAP affinity-regulating kinase 2
Cytoskeleton	Myh9	Myosin, heavy polypeptide 9
Cytoskeleton	Pfn2	Profilin 2
Cytoskeleton	Sntb2	Syntrophin, basic 2
Cytoskeleton	Sntg1	Syntrophin, gamma 1
Exocytosis	Pclo	Piccolo
Exocytosis	Rph3a	Rabphilin 3A
Exocytosis	Syn1	Synapsin I
Exocytosis	Syt7	Synaptotagmin VII
Exocytosis	Syt11	Synaptotagmin XI
Exocytosis	Syt13	Synaptotagmin XIII
Hormone processing	Pcsk1	Proprotein convertase 1
Hormone processing	Pcsk2	Proprotein convertase 2
Intracellular trafficking	Arfl4	ADP-ribosylation factor 4-like
Intracellular trafficking	Chm	Choroidermia
Intracellular trafficking	Ica1	Islet cell autoantigen 1
Intracellular trafficking	Rab10	RAB10, member RAS family
Intracellular trafficking	Rab21	RAB21, member RAS family
Intracellular trafficking	Rab3ip	RAB3A interacting protein
Intracellular trafficking	Tom1l2	Target of myb1-like 2
Intracellular trafficking	Trappc2	Trafficking protein particle complex 2
Intracellular trafficking	Vamp8	Vesicle-associated membrane 8
Intracellular trafficking	Vapb	VAMP-associated protein B and C
Metabolism	Atp5b	ATP synthase, F1 complex, 
Metabolism	Atp5g2	ATP synthase, F0 complex, c2
Metabolism	Eno1	Enolase 1
Metabolism	G6pc2	Glucose-6-phosphatase, catalytic, 2
Metabolism	Glud1	Glutamate dehydrogenase 1
Metabolism	Gyk	Glycerol kinase
Metabolism	Hmgcr	HMG-coenzyme A reductase
Metabolism	Mdh1	Malate dehydrogenase 1
Metabolism	Ndufb8	NADH dehydrogenase 1, beta 8
Metabolism	Pccb	Propionyl-CoA carboxylase, beta
Metabolism	Pgam1	Phosphoglycerate mutase 1
Metabolism	Pla2g6	Phospholipase A2, group VI
Metabolism	Txn1	Thioredoxin 1
Nuclear	Crsp2	Cofactor required for Sp1, subunit 2
Nuclear	Hes6	Hairy and enhancer of split 6
Nuclear	Id3	Inhibitor of DNA binding 3
Nuclear	Isl1	Islet-1
Nuclear	Klf7	Kruppel-like factor 7
Nuclear	Mybl2	Myeloblastosis oncogene-like 2
Nuclear	Myst2	MYST histone acetyltransferase 2
Nuclear	Myt1	Myelin transcription factor 1
Nuclear	Neurod1	Neurogenic differentiation 1
Nuclear	Nkx2-2	NK2 transcription factor related
Nuclear	Pax6	Paired box gene 6
Nuclear	Pbx1	Pre-B-cell leukemia factor 1
Nuclear	Pdx-1/Ipf1	Insulin promoter factor
Nuclear	Trp53	Transformation related protein 53
Signal transduction	Frap1	FK506-binding protein 12-rapamycin associated protein 1
Signal transduction	Fyn	Fyn proto-oncogene
Signal transduction	Il1r1	Interleukin 1 receptor, type I
Signal transduction	Impa1	Inositol (myo)-1(or 4)-monophosphatase 1
Signal transduction	Inpp5f	Inositol polyphosphate-5-phosphatase F
Signal transduction	Pde4b	Phosphodiesterase 4B
Signal transduction	Pde10a	Phosphodiesterase 10A
Signal transduction	Pi4k2b	Phosphatidylinositol 4-kinase 2b
Signal transduction	Pik3c2g	Phosphatidylinositol 3-kinase, C2 domain, gamma
Signal transduction	Pik4cb	Phosphatidylinositol 4-kinase, catalytic,beta
Signal transduction	Plcl3	Phospholipase C, eta 1
Signal transduction	Ppp2r2c	Protein phosphatase 2, regulatory subunit B, gamma
Signal transduction	Prkca	Protein kinase C alpha
Signal transduction	Prkce	Protein kinase C epsilon
Signal transduction	Psen2	Presenilin 2
Transporter activity	Abcc8	ATP-binding cassette, subfamily C, member 8
Transporter activity	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit A1
Transporter activity	Cacna1c/Cav1.2	Calcium channel, voltage-dependent, L type, alpha 1C subunit
Transporter activity	Cacna1h/Cav3.2	Calcium channel, voltage-dependent, T type, alpha 1H
Transporter activity	Kcnj11/Kir6.2	Potassium inwardly rectifying channel, subfamily J, member 11
Transporter activity	Slc2a3	Facilitated glucose transporter 3
Transporter activity	Slc5a1	Sodium/glucose cotransporter 1
