Gene Symbol	Description
ABLIM1	actin binding LIM protein 1
ABRA	actin-binding Rho activating protein
ACTA2	actin, alpha 2, smooth muscle, aorta
ACTC	actin, alpha, cardiac muscle 1
ACTN2	actinin, alpha 2
ANK1	ankyrin 1, erythrocytic
ANK2	ankyrin 2, neuronal
AVIL	advillin
CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2
CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
CGNL1	cingulin-like 1
CLIC5	chloride intracellular channel 5
CORO2B	coronin, actin binding protein, 2B
CTNNA3	catenin (cadherin-associated protein), alpha 3
DOC1	downregulated in ovarian cancer 1
DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1
DYNLL2	dynein, light chain, LC8-type 2
DYNLT1	dynein, light chain, Tctex-type 1
EPB49	erythrocyte membrane protein band 4.9 (dematin)
FLNC	filamin C, gamma (actin binding protein 280)
FYB	FYN binding protein (FYB-120/130)
GSN	gelsolin (amyloidosis, Finnish type)
HAX1	HCLS1 associated protein X-1
KLHL2	kelch-like 2, Mayven (Drosophila)
LSP1	lymphocyte-specific protein 1
MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4
MTSS1	metastasis suppressor 1
MYBPC3	myosin binding protein C, cardiac
MYH11	myosin, heavy polypeptide 11, smooth muscle
MYH6	myosin, heavy polypeptide 6, cardiac muscle, alpha (cardiomyopathy, hypertrophic 1)
MYH7	myosin, heavy polypeptide 7, cardiac muscle, beta
MYH7B	myosin, heavy polypeptide 7B, cardiac muscle, beta
MYL2	myosin, light polypeptide 2, regulatory, cardiac, slow
MYL3	myosin, light polypeptide 3, alkali; ventricular, skeletal, slow
MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic
MYL7	myosin, light polypeptide 7, regulatory
MYL9	myosin, light polypeptide 9, regulatory
MYO18B	myosin XVIIIB
MYO1G	myosin IG
MYOT	myotilin
MYRIP	myosin VIIA and Rab interacting protein
NEBL	nebulette
PALLD	palladin, cytoskeletal associated protein
PDLIM5	PDZ and LIM domain 5
RASIP1	Ras interacting protein 1
SMTN	smoothelin
SORBS1	sorbin and SH3 domain containing 1
SORBS2	sorbin and SH3 domain containing 2
SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)
SPTB	spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)
SPTBN1	spectrin, beta, non-erythrocytic 1
SPTBN5	spectrin, beta, non-erythrocytic 5
STK38L	serine/threonine kinase 38 like
SVIL	supervillin
TLN2	talin 2
TNNC1	troponin C type 1 (slow)
TNNI1	troponin I type 1 (skeletal, slow)
TNNI3	troponin I type 3 (cardiac)
TNNT2	troponin T type 2 (cardiac)
TNNT3	troponin T type 3 (skeletal, fast)
TPM1	tropomyosin 1 (alpha)
TPM2	tropomyosin 2 (beta)
WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)
