Symbol	Description	Accession	SAM score	Fold change	Function
CA9	Renal cell carcinoma associated antigen G250	NM_001216	-4.44	5.34	Enzyme activity
LDHA	Lactate dehydrogenase A	NM_005566	-4.42	3.3	Enzyme activity
ASL	Argininosuccinate lyase	NM_000048	-3.27	2.16	Enzyme activity
BCKDHA	Branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)	NM_000709	-3.16	2.49	Enzyme activity
BDH	3-hydroxybutyrate dehydrogenase	NM_004051	-3.16	2.31	Enzyme activity
ALDOA	Aldolase A, fructose-bisphosphate	NM_000034	-3.03	2.82	Enzyme activity
UREB1	Upstream regulatory element binding protein 1	AB071605	-2.97	1.61	Enzyme activity
SPS	Selenophosphatase synthetase	NM_012247	-2.87	1.68	Enzyme activity
GSTM3	Glutathione S-transferase M3	NM_000849	-2.8	2.53	Enzyme activity
HPCL2	2-hydroxyphytanoyl-CoA lyase	XM_011020	-2.73	1.58	Enzyme activity
UQCR	Ubiquinol-cytochrome c reductase	NM_006830	-2.69	2.16	Enzyme activity
RRM2	Ribonucleotide reductase M2 polypeptide	NM_001034	-4.1	2.29	DNA replication
ENO1	Alpha enolase	NM_001428	-2.89	2.19	Regulation of transcription
MAP2K5	Mitogen-activated protein kinase kinase 5	NM_002757	-3.77	1.88	Signal transduction
MAPK13	Mitogen-activated protein kinase p38delta	NM_002754	-2.99	2.08	Signal transduction
MAPK3	Mitogen-activated protein kinase 3	NM_002746	-2.82	1.84	Signal transduction
HDAC3	Histone deacetylase 3	NM_003883	-2.97	1.72	Regulation of cell cycle
YWHAQ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	NM_006826	-3.43	1.67	Regulation of cell cycle
PCBP2	Poly(rC)-binding protein 2	AK023529	-3.32	2.01	RNA binding
LAMR1	Laminin receptor 1	NM_002295	3.92	2.06	Cell adhesion
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	NM_001168	3.71	1.88	Anti-apoptosis
VIL1	Villin 1	NM_007127	-3.69	4.95	Actin binding
CAPZA2	Capping protein (actin filament) muscle Z-line, alpha 2	NM_006136	-2.73	1.57	Actin binding
ARPC4	Actin related protein 2/3 complex, subunit 4 (20 kD)	NM_005718	-3.49	2.2	Control of actin polymerization
PEC1	Peroxisomal D3,D2-enoyl-CoA isomerase	NM_006117	-3.72	2.21	Metabolism
PRDX3	Peroxiredoxin 3	NM_006793	-3.29	1.86	Antioxidant
PRDX2	Peroxiredoxin 2	NM_005809	-3.72	1.96	Antioxidant
ACTR1A	Actin-related protein.	NM_005736	-3.04	1.92	Transport
SLC16A5	Putative monocarboxylate transporter MCT	NM_004695	-2.89	1.67	Transport
SLC25A5	Solute carrier family 25	NM_001152	-2.75	2	Transport
AP2B1	Adaptor-related protein complex 2, beta 1 subunit	NM_001282	-2.69	1.75	Transport
DXS1283E	GS2 gene	NM_004650	-4.08	1.98	Others
E46L	Like mouse brain protein E46	NM_013236	-3.43	1.9	Others
RPS27A	Ribosomal protein S27a	NM_002954	-3.25	1.61	Others
MRPS27	Mitochondrial ribosomal protein S27	NM_015084	-3.25	1.6	Others
SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B	NM_030666	-3.09	4.05	Others
ITM2A	Integral membrane protein 2A	NM_004867	-3.1	1.99	Others
ARL7	ADP-ribosylation factor 7	NM_005737	-2.82	2.72	Others
ARL3	ADP-ribosylation factor-like 3	XM_011921	-2.79	1.77	Others
