Name	Genbank	Probe ID	GC-RMA norm. dLEC intensity	MAS 5 norm. dLEC intensity	GC-RMA norm. iLEC intensity	MAS 5 norm. iLEC intensity	Average fold change	GC-RMA q-value	MAS 5 q-value	Description
OAS1	NM_002534	205552_s_at	0.2532256	0.4295483	1.7281498	1.3771049	5.015241718	0.0477	0.0341	2,5-oligoadenylate synthetase 1, 40/46kDa
COL6A1	AA292373	213428_s_at	0.5137866	0.8112408	3.0137117	2.4330668	4.432439739	0.0884	0.0968	Collagen, type VI, alpha 1
PPFIBP1	AI962377	214375_at	0.50416857	0.59871435	2.165191	1.8118913	3.660440476	0.079	0.0604	PTPRF interacting protein, binding protein 1 (liprin beta 1)
NFAT5	NM_006599	208003_s_at	0.35515255	0.8005059	1.7145445	1.5002773	3.350894874	0.0477	0.0867	Nuclear factor of activated T-cells 5, tonicity-responsive
CDC42BPA		214464_at	0.4583262	0.6549203	1.7434661	1.5982738	3.12219743	0.064	0.0609	CDC42 binding protein kinase alpha (DMPK-like)
NDUFB7	NM_004146	202839_s_at	0.6875199	0.48367843	1.461776	1.6083502	2.725702497	0.0927	0.0438	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa
HSPA9B	BC000478	200691_s_at	0.53265476	0.6026616	1.3791575	1.3305905	2.398535708	0.0926	0.0448	heat shock protein 9B
SPEN	AL524033	201996_s_at	0.5133339	0.8088286	1.6836766	1.2188475	2.39340757	0.0559	0.0695	spen homolog, transcriptional regulator (Drosophila)
ATRX	AI650257	208859_s_at	0.63080007	0.70369697	1.6149162	1.5348675	2.370628102	0.0632	0.032	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)
PQBP1	NM_005710	207769_s_at	0.50229996	0.50714284	1.1680061	1.198844	2.34461688	0.0578	0.032	Polyglutamine binding protein 1
HYPK	NM_016400	218680_x_at	0.6967822	0.7056992	1.7742887	1.4717505	2.315962297	0.0945	0.0508	Huntingtin interacting protein K
KRT18	NM_000224	201596_x_at	0.70362985	0.7701579	1.773745	1.6189647	2.311485025	0.0749	0.0445	Keratin 18
PDCD5	NM_004708	219275_at	0.73016745	0.7838878	1.6771898	1.5679013	2.148576868	0.09	0.0609	PROGRAMMED CELL DEATH 5
SRRM2	AI655799	208610_s_at	0.53967184	0.7789282	1.245012	1.3393407	2.013222961	0.0884	0.0445	Serine/arginine repetitive matrix 2
CTNNBL1	NM_030877	221021_s_at	0.6660492	0.72250074	1.2967906	1.4714079	1.991768921	0.0477	0.032	Catenin, beta like 1
TREX2	BE676218	213334_x_at	0.683136	0.84512776	1.6946478	1.2404858	1.974248686	0.0607	0.0515	Three prime repair exonuclease 2
ETFB	NM_001985	202942_at	0.7557864	0.7953138	1.4746405	1.5289253	1.936775806	0.055	0.0672	Electron-transfer-flavoprotein, beta polypeptide
HSPA1A	NM_005345	200800_s_at	0.7643652	0.56598735	1.2468066	1.1955075	1.871708685	0.0947	0.0445	Heat shock 70kDa protein 1A
MRPS12	NM_021107	204331_s_at	0.6736587	0.7224413	1.4047437	1.1517045	1.839714792	0.0978	0.0601	Mitochondrial ribosomal protein S12
PSMC3	AL545523	201267_s_at	0.714211	0.6897969	1.2026105	1.3462292	1.817731049	0.0898	0.0425	Proteasome (prosome, macropain) 26S subunit, ATPase, 3
PSMB3	NM_002795	201400_at	0.7704306	0.78482753	1.5342283	1.2887739	1.816750817	0.0884	0.075	Proteasome (prosome, macropain) subunit, beta type, 3
HNRPA1	X79536	214280_x_at	0.75041544	0.64397603	1.2369525	1.2753987	1.814431711	0.0477	0.032	Heterogeneous nuclear ribonucleoprotein A1
DIMT1L	NM_014473	204405_x_at	0.77270037	0.74459386	1.4382764	1.2634012	1.779064605	0.0741	0.0807	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)
RARRES3	NM_004585	204070_at	0.76878995	0.7425148	1.3968045	1.2794669	1.770020221	0.0694	0.0759	Retinoic acid receptor responder (tazarotene induced) 3
TPR	BF110993	201730_s_at	0.65845287	0.79239607	1.332147	1.1702765	1.750015175	0.0884	0.032	Translocated promoter region (to activated MET oncogene)
RRBP1	NM_004587	201206_s_at	0.70138305	0.61715835	1.1744651	1.0987648	1.727430033	0.0477	0.0438	Ribosome binding protein 1 homolog 180kDa (dog)
NDUFA8	NM_014222	218160_at	0.77725846	0.7988428	1.3004906	1.3988885	1.712160084	0.081	0.0609	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa
NDUFA7	NM_005001	202785_at	0.7476614	0.7598914	1.3067211	1.2663201	1.707096643	0.064	0.0399	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa
NDUFS7	BC005954	211752_s_at	0.6271465	0.83733696	1.1534265	1.2546059	1.668747275	0.0944	0.0341	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)
NDUFA2	BC003674	209224_s_at	0.7296577	0.7329679	1.2541242	1.1776973	1.662767919	0.055	0.0341	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
C21orf59	NM_017835	218123_at	0.81025875	0.82216346	1.4358106	1.2721301	1.659667725	0.0978	0.0508	Chromosome 21 open reading frame 59
NDUFS5	NM_004552	201757_at	0.728452	0.7484533	1.2623352	1.1725818	1.64978715	0.0559	0.0609	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)
PMVK	NM_006556	203515_s_at	0.6464357	0.84372133	1.2646568	1.1282475	1.646790623	0.0477	0.0914	Phosphomevalonate kinase
MRPL40	NM_003776	203152_at	0.83312523	0.73551613	1.2280031	1.3307989	1.641656002	0.0954	0.0469	Mitochondrial ribosomal protein L40
UBB	NM_018955	200633_at	0.82836	0.72429985	1.2128224	1.3137608	1.638980152	0.0978	0.042	Ubiquitin B
