Symbol	Chromosome	Cytoband	Start (bp)	End (bp)	Man-Whitney U  adjusted p value	Gains	Losses	Amplifications
PANK4	1	p36.32	2439975	2458050	0.001	4	13	0
IPO13	1	p34.1	44412611	44433693	0.017	3	3	0
HECTD3	1	p34.1	45468220	45477027	0.04	3	3	0
NRD1	1	p32.3	52254863	52344609	0	6	6	0
CPT2	1	p32.3	53662101	53679867	0	7	7	1
C1orf123	1	p32.3	53679774	53686289	0	7	7	1
LRP8	1	p32.3	53711212	53793821	0	8	6	1
LRRC42	1	p32.3	54411750	54433841	0.001	6	7	0
C1orf177	1	p32.3	55271736	55307936	0.023	6	7	0
DHCR24	1	p32.3	55314138	55352921	0.004	6	7	0
NFIA	1	p31.3	61330931	61928459	0.007	7	3	1
INADL	1	p31.3	62208149	62629592	0	7	2	0
INADL	1	p31.3	62208149	62629592	0	7	2	0
ALG6	1	p31.3	63833261	63904233	0	7	2	0
SH3GLB1	1	p22.3	87170265	87213867	0	5	7	0
SH3GLB1	1	p22.3	87170265	87213867	0.001	5	7	0
METTL13	1	q24.3	171750761	171766857	0	16	1	1
ZC3H11A	1	q32.1	203764751	203823255	0.001	14	1	1
MAPKAPK2	1	q32.1	206858289	206907626	0	16	1	0
ARF1	1	q42.13	228270361	228286912	0	18	0	0
TAF5L	1	q42.13	229728858	229761794	0.002	18	0	1
LRRFIP1	2	q37.3	238536224	238690288	0	3	10	0
TRAF3IP1	2	q37.3	239229177	239309537	0	3	12	0
NDUFA10	2	q37.3	240831867	240964798	0.008	3	14	0
CAPN10	2	q37.3	241526145	241556415	0.06	4	8	0
PASK	2	q37.3	242045515	242089679	0.003	5	7	0
CRBN	3	p26.2	3191695	3221390	0.007	6	7	1
ARL8B	3	p26.1	5163930	5222597	0	6	6	1
THUMPD3	3	p25.3	9404655	9428475	0	7	2	0
OGG1	3	p25.3	9791628	9829903	0	7	2	0
FANCD2	3	p25.3	10068113	10143614	0	6	2	0
TATDN2	3	p25.3	10290372	10334334	0	6	2	0
TATDN2	3	p25.3	10290372	10334334	0.006	6	2	0
RAF1	3	p25.2	12625102	12705700	0	5	2	0
TOP2B	3	p24.2	25639475	25706398	0.001	8	5	0
NGLY1	3	p24.2	25760436	25831530	0.007	8	5	0
STT3B	3	p23	31574130	31679112	0	7	5	0
STT3B	3	p23	31574130	31679112	0.001	7	5	0
DYNC1LI1	3	p22.3	32567469	32612350	0.001	6	5	0
LRRFIP2	3	p22.2	37094117	37218023	0	5	5	0
SS18L2	3	p22.1	42623332	42636606	0.003	3	7	0
THOC7	3	p14.1	63819547	63849597	0	2	12	0
UMPS	3	q21.2	124449213	124464040	0	7	3	0
TOPBP1	3	q22.1	133319450	133380737	0	9	0	0
GYG1	3	q24	148709239	148745391	0.004	15	1	0
TM4SF1	3	q25.1	149086805	149095568	0.003	16	1	2
PDCD10	3	q26.1	167401697	167452651	0	16	0	1
ECT2	3	q26.31	172468513	172547055	0	17	0	1
FXR1	3	q26.33	180630452	180694948	0	14	1	0
FXR1	3	q26.33	180630452	180694948	0.003	14	1	0
DNAJC19	3	q26.33	180701506	180707530	0	14	1	0
YEATS2	3	q27.1	183415606	183530413	0	11	1	1
PARL	3	q27.1	183547176	183602696	0	11	1	1
PARL	3	q27.1	183547176	183602696	0	11	1	1
POLR2H	3	q27.1	184079506	184086384	0	12	1	0
SENP2	3	q27.2	185300284	185348883	0.001	11	1	0
