Name,†	Symbol	Genbank ID	Fold change‡
Parathyroid hormone–related protein§	PTHrP	AA845432	7.4
Matrix metalloproteinase 3§	MMP3	W51794	6.7
Galectin 7	LGALS7	AA011057	4
Carbonic anhydrase II	CA2	H23187	3.3
Claudin 4	CLDN4	AA430665	0.2
S100 calcium binding protein A8§	S100A8	AA086471	4.6
Keratin 16§	KRT16	AA928454	3.7
Tumor-associated calcium signal transducer 1	TACSTD1	AI340883	0.3
ELL-related RNA polymerase II, elongation factor	ELL2	AA884897	2.4
Keratin 14§	KRT14	H44051	4.3
Keratin 5§	KRT5	AA160507	3.7
Basonuclin	BCN	R26526	3.6
Desmocollin 2§	DSC2	AA075299	2.5
v-maf musculoaponeurotic fibrosarcoma oncogene	MAF	AA043501	2.6
Stratifin	SFN	AI356363	4.1
Carbamoyl phosphate synthetase	CAD	R85414	2.3
GATA 3 binding protein	GATA3	H72875	0.2
S100 calcium binding protein A7	S100A7	AA583574	3.4
Protease inhibitor 3, skin derived	PI3 (SKALP)	AI582329	6.3
Amyloid ? (A4) precursor protein	APBA1	H19687	2.4
LIM domain binding 3	LDB	AI383171	2.2
MAX dimerization protein 1	MAD	H86558	2.1
Solute carrier family 9	SLC9A1	AA455369	0.3
S100 calcium binding protein P	S100P	R32848	0.2
KIAA0089 protein	KIAA0089	AA485401	0.3
Interleukin-13 receptor, ?2	IL13RA2	R52796	3.6
v-erb-b2 oncogene homologue 2	ERBB2	AA443351	0.3
Diphtheria toxin receptor	DTR	R45640	2
Collagen, type XVII, ?1§	COL17A1	H87536	2.7
Purine-rich element binding protein A	PURA	H46425	2.9
