Name of gene	Accession number	Fold difference (by Q-PCR) a	Phase
PRG1	NM_002727	ND	Diagnosis>blast crisis
IVNS1ABP	NM_006469	<2 (<0.7)	Diagnosis>blast crisis
MPO	NM_000250	ND	Diagnosis>blast crisis
EMR1	NM_001974	<2 (<0.7)	Diagnosis<blast crisis
CD96	NM_198196	3 (1.1)	Diagnosis<blast crisis
GAS2	NM_005256	12 (2.5)	Diagnosis<blast crisis
CHI3L2	NM_004000	11 (2.4)	Diagnosis<blast crisis
DNAJB1	NM_006145	35 (3.6)	Diagnosis>late chronic phase
HSPA8	NM_006597	5 (1.6)	Diagnosis>late chronic phase
NXF1	NM_006362	2 (0.7)	Diagnosis>late chronic phase
DC2	NM_021227	<2 (<0.7)	Diagnosis>late chronic phase
APEX1	NM_080648	4 (1.4)	Diagnosis>late chronic phase
RPS6	NM_001010	<2 (<0.7)	Diagnosis>late chronic phase
EEF1A1	NM_001402	3 (1.1)	Diagnosis>late chronic phase
FLJ25286	NM_152546	ND	Diagnosis>late chronic phase
SAT	NM_002970	7 (1.9)	Diagnosis<late chronic phase
CCL4	NM_002984	106 (4.7)	Diagnosis<late chronic phase
YWHAZ	NM_145690	3 (1.1)	Diagnosis<late chronic phase
PBEF1	NM_182790	7 (1.9)	Diagnosis<late chronic phase
IL6	NM_000600	42 (3.7)	Diagnosis<late chronic phase
IL8	NM_000584	9 (2.2)	Diagnosis<late chronic phase
IL8	NM_000584	2 (0.7)	Late chronic phase>blast crisis
S100A8	NM_002964	ND	Late chronic phase>blast crisis
FPR1	NM_002029	ND	Late chronic phase>blast crisis
LYZ	NM_000239	ND	Late chronic phase>blast crisis
MEN1	AF001893	 c	Late chronic phase>blast crisis
MMRN	NM_007351	6 (1.8)	Late chronic phase<blast crisis
NACSIN	NM_015252	24 (3.2)	Late chronic phase<blast crisis
LARS	NM_020117	ND	Late chronic phase<blast crisis
FLJ25286	NM_152546	ND	Late chronic phase<blast crisis
C5orf13	NM_004772	ND	Late chronic phase<blast crisis
C15orf15	NM_016304	ND	Late chronic phase<blast crisis
FLJ10849	NM_018243	ND	Late chronic phase<blast crisis
