Gene no.	Name	Name	Unigene ID	Average normalized intensity of UCB-MSCs	SAGE frequency [16]
1	Translation elongation factor 1 alpha 1	EEF1A1	Hs.181165	779.5	720
2	Ribosomal protein S11	RPS11	Hs.182740	619.9	35
3	Vimentin	VIM	Hs.297753	602.6	566
4	Ribosomal protein L18a	RPL18A	Hs.163593	587.7	179
5	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	Hs.169476	578.2	1,209
6	Ribosomal protein S13	RPS13	Hs.165590	559.9	45
7	Ribosomal protein S16	RPS16	Hs.80617	558.8	94
8	Ribosomal protein L28	RPL28	Hs.4437	521.3	310
9	Ribosomal protein, large P2	RPLP2	Hs.351937	497.1	503
10	Ribosomal protein L19	RPL19	Hs.252723	487.1	84
11	Connective tissue growth factor	CTGF, IGFBP8	Hs.75511	473.2	525
12	Ribosomal protein L38	RPL38	Hs.2017	463.8	86
13	Ribosomal protein L32	RPL32	Hs.169793	460.7	624
14	Ribosomal protein S3A	RPS3A	Hs.77039	458.6	341
15	Enolase 1	EN01	Hs.254105	452.3	47
16	Ribosomal protein S27	RPS27	Hs.195453	437.9	232
17	Tissue inhibitor of metalloproteinase 1	TIMP1	Hs.5831	414.9	64
18	Ferritin, heavy polypeptide 1	FTH1	Hs.62954	407	651
19	Myosin, light polypeptide 6	MYL6	Hs.77385	402.2	374
20	Transgelin	TAGLN	Hs.75777	396.5	408
21	Heat shock 70 kD protein 8	HSPA8	Hs.180414	389.8	53
22	Ribosomal protein L34	RPL34	Hs.250895	384.9	168
23	S100 calcium-binding protein A6	S100A6	Hs.275243	383.4	125
24	Lactate dehydrogenase A	LDHA	Hs.2795	382	94
25	Ribosomal protein L39	RPL39	Hs.300141	381	66
26	Ribosomal protein S15a	RPS15A	Hs.343665	375.3	14
27	Ribosomal protein L10a	RPL10A	Hs.334895	371.6	511
28	Ribosomal protein L3	RPL3	Hs.119598	371.4	408
29	Collagen, type I, alpha 1	COL1A1	Hs.172928	368.4	2572
30	Destrin	DSTN	Hs.82306	368.3	18
31	Triosephosphate isomerase 1	TPI1	Hs.83848	367	294
32	Ribosomal protein S3	RPS3	Hs.252259	346.8	214
33	Ribosomal protein S12	RPS12	Hs.339696	327.9	113
34	Neuroendocrine secretory protein 55	NESP55	Hs.273385	325.4	20
35	Nicotinamide N-methyltransferase	NNMT	Hs.76669	320	23
36	Ribosomal protein S7	RPS7	Hs.301547	318.8	41
37	Ribosomal protein S14	RPS14	Hs.244621	316.8	70
38	Putative translation initiation factor	SUI1	Hs.150580	306.2	111
39	Insulin-like growth factor–binding protein 7	IGFBP7	Hs.119206	305.2	244
40	Ribosomal protein S9	RPS9	Hs.180920	292.3	49
41	Transforming growth factor, beta-induced	TGFBI	Hs.118787	291.5	1,437
42	Ribosomal protein L15	RPL15	Hs.74267	285.3	74
43	Thymosin, beta 4, X chromosome	TMSB4X	Hs.75968	285.2	445
44	Ribosomal protein L14	RPL14	Hs.738	279.8	76
45	Tumor protein, translationally controlled 1	TPT1	Hs.279860	278.5	733
46	16.7 kD protein	LOC51142	Hs.180859	278.4	27
47	Heat shock 27 kD protein 1	HSPB1	Hs.76067	269.7	64
48	Actin, gamma 1	ACTG1	Hs.14376	268.2	476
49	Annexin A2	ANXA2	Hs.217493	267.8	135
50	Ribosomal protein L37a	RPL37A	Hs.296290	263.2	246
