Accession	GENE	TITLE	Median_Cy5	Median_Cy3	case%	Adj_Cy3/Cy5ratio	Log 2 Cy3/Cy5_ratio
J03040	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	0	118444.5	65	133359	17.02495567
D49441	MSLN	mesothelin	0	76254	55	121529	16.89094109
X02761	FN1	fibronectin 1	0	53822	55	110225	16.75009195
AW298180	MMP7	matrix metalloproteinase 7 (matrilysin, uterine)	0	50601.5	50	93279.08926	16.50926608
U18018	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	0	0	50	67901.69342	16.05115993
M13690	SERPING1	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	0	74472.5	70	29731.24234	14.85969213
NM_006169	NNMT	nicotinamide N-methyltransferase	1653.5	50185.5	60	36.76691661	5.200336287
M77349	TGFBI	transforming growth factor, beta-induced, 68kDa	0	94225	70	28.18070182	4.816635636
Z68179	LY6E	lymphocyte antigen 6 complex, locus E	0	60629	65	24.11771035	4.592021044
J03464	COL1A2	collagen, type I, alpha 2	12737	385789	95	23.23497768	4.538226354
X03963	COL4A1	collagen, type IV, alpha 1	8469.5	261931.5	95	22.85704693	4.514567118
AI684645	HCA112	hepatocellular carcinoma-associated antigen 112	0	21127	55	19.12240509	4.257192083
AV758898	MGC27165	hypothetical protein MGC27165	0	157668	60	16.28969689	4.025887854
K02215	AGT	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8)	0	55542	60	11.54747346	3.529505325
AL138409	NA	Homo sapiens mRNA; cDNA DKFZp313L231 (from clone DKFZp313L231)	16700.5	154377.5	75	11.47982244	3.521028423
Y14735	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)	61512	383716	85	10.57741656	3.4029154
AA789233	COL1A1	collagen, type I, alpha 1	0	158979	65	10.08062103	3.333512616
AA789233	COL1A1	collagen, type I, alpha 1	20495.5	164068	85	9.324353338	3.221003675
X14420	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	7213.5	209260	95	8.787782576	3.135499176
AF044588	PRC1	protein regulator of cytokinesis 1	0	37285	55	7.721477392	2.948876913
AA789233	COL1A1	collagen, type I, alpha 1	44573	312350	80	7.618996387	2.929600971
AA789233	COL1A1	collagen, type I, alpha 1	33799.5	282595	90	7.428626266	2.893095446
AF097021	GW112	differentially expressed in hematopoietic lineages	762.5	31889	65	7.327731092	2.873366561
AJ011497	CLDN7	claudin 7	17306.5	192023	90	6.672692188	2.738268954
AK023969	CARD4	caspase recruitment domain family, member 4	0	32736	55	6.504455106	2.701428204
AA789233	COL1A1	collagen, type I, alpha 1	20647	216601	85	6.478447654	2.69564816
S55551	TPSB2	tryptase beta 2	38244.5	56871.5	70	6.413482383	2.681107922
D78013	DPYSL2	dihydropyrimidinase-like 2	0	55085	55	5.732748321	2.519226943
NM_006435	IFITM2	interferon induced transmembrane protein 2 (1-8D)	244354	1254681	100	5.693870139	2.50940959
AJ002231	GNPI	glucosamine-6-phosphate isomerase	15164	67414.5	65	5.081168928	2.345160429
AA742701	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	8715	26634.5	65	4.987160661	2.31821868
BE621666	LAPTM4B	lysosomal associated protein transmembrane 4 beta	28050.5	79128	70	4.926534625	2.300573197
M77349	TGFBI	transforming growth factor, beta-induced, 68kDa	36260.5	114292.5	75	4.643470584	2.215203495
AF001601	PON2	paraoxonase 2	58459	192425.5	80	4.377088776	2.129971645
M12670	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	241499.5	419065.5	95	4.265623974	2.092756794
NM_007274	BACH	brain acyl-CoA hydrolase	0	17409	50	4.208356991	2.073257092
M13755	G1P2	interferon, alpha-inducible protein (clone IFI-15K)	0	52577	55	3.783896433	1.919872602
AF026166	CCT2	chaperonin containing TCP1, subunit 2 (beta)	32033.5	129018	60	3.777399871	1.917393514
BF727014	S100A10	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))	174720.5	728445	95	3.682895123	1.880840314
AA625198	NA	ESTs, Weakly similar to S10889 proline-rich protein - human [H.sapiens]	1134.5	28769.5	55	3.680832178	1.880031974
NM_000310	PPT1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	29104.5	80242.5	65	3.677576946	1.878755527
X05610	COL4A2	collagen, type IV, alpha 2	99321.5	395914.5	90	3.676339557	1.878270024
NM_001679	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	29254	148903	70	3.598225683	1.847285676
D42073	RCN1	reticulocalbin 1, EF-hand calcium binding domain	24630	106191.5	75	3.583756271	1.841472524
NM_005787	NOT56L	Not56 (D. melanogaster)-like protein	83709.5	122056	75	3.565430585	1.834076317
AB042646	TGIF2	TGFB-induced factor 2 (TALE family homeobox)	0	27120	50	3.528537271	1.819070249
NM_000700	ANXA1	annexin A1	0	12265	55	3.516520855	1.814148773
NM_003979	RAI3	retinoic acid induced 3	225194.5	1374978	95	3.514670999	1.813389648
NM_001436	FBL	fibrillarin	22753	132545	70	3.422767454	1.775163278
U44839	USP11	ubiquitin specific protease 11	22371.5	64211	55	3.408754699	1.769244784
AA706499	NA	Homo sapiens cDNA FLJ32269 fis, clone PROST1000526.	0	33996.5	70	3.392272111	1.7622519
AI922295	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)	1178	31077	60	3.351644673	1.744869209
M33680	CD81	CD81 antigen (target of antiproliferative antibody 1)	348220.5	1261002	90	3.331795615	1.736299903
AA536113	TMEPAI	transmembrane, prostate androgen induced RNA	13953.5	61700	65	3.237990612	1.695098803
J03004	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	5036.5	73142.5	55	3.21812563	1.686220648
D21853	KIAA0111	KIAA0111 gene product	0	23678	50	3.2046681	1.680174948
X03212	KRT7	keratin 7	43065	95888	75	3.184783513	1.671195308
AI127415	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	50185.5	124837.5	75	3.029152639	1.598914278
NM_000581	GPX1	glutathione peroxidase 1	30055	70756	60	3.012696975	1.59105557
NM_002085	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	17039	62605.5	55	3.008450952	1.589020836
X94991	ZYX	zyxin	0	39055.5	50	2.987842962	1.579104324
AK024245	FLJ20736	hypothetical protein FLJ20736	0	8457.5	55	2.970784853	1.570844127
J04208	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	30715.5	120519.5	65	2.96397943	1.567535435
AF077350	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	29919	35232	65	2.91792598	1.544943286
