Affymetrix ID	Fold Induction	Common name	Description
1391976_at	3.06		Transcribed sequences
1384457_at	2.604		Similar to 1110064L07Rik protein (LOC361219), mRNA
1395260_at	2.543		Transcribed sequences
1376695_at	2.342		Similar to hypothetical protein FLJ21816 (LOC293452), mRNA
1386969_at	2.338	Nrn	neuritin
1368128_at	2.211	Pla2g2a	synonym: sPLA2; eted enzyme type IIA phospholipase A2; Rattus norvegicus phospholipase A2, group IIA (platelets, synovial fluid) (Pla2g2a), mRNA.
1374696_at	2.124		Transcribed sequences
1391665_at	2.103	Fgf7	fibroblast growth factor 7
1368238_at	2.064	Pap	pancreatitis-associated protein
1381313_at	2.062		Transcribed sequences
1385053_at	2.037		UI-R-CA0-axg-g-06-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-axg-g-06-0-UI 3, mRNA sequence.
1377325_a_at	2.029		Transcribed sequences
1371035_at	2.028	Gtf3a	UI-R-BJ1-atd-f-03-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-atd-f-03-0-UI 3, mRNA sequence.
1392250_at	2.012		Transcribed sequences
1376612_at	1.994		Similar to RIKEN cDNA 1810033A06 (LOC296119), mRNA
1382739_at	1.924		Similar to Gpr19 protein (LOC312787), mRNA
1378374_at	1.912		Hypothetical LOC290372 (LOC290372), mRNA
1396578_at	1.91		Transcribed sequences
1381813_at	1.905		UI-R-DK0-cel-d-03-0-UI.s1 UI-R-DK0 Rattus norvegicus cDNA clone UI-R-DK0-cel-d-03-0-UI 3, mRNA sequence.
1396169_at	1.867		UI-R-C3-sw-h-11-0-UI.s1 UI-R-C3 Rattus norvegicus cDNA clone UI-R-C3-sw-h-11-0-UI 3, mRNA sequence.
1379698_at	1.841		Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1389078_at	1.818		Similar to leucine-rich repeat-containing F-box protein FBL6 (LOC362941), mRNA
1380238_at	1.816		UI-R-BS1-ayn-h-01-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-ayn-h-01-0-UI 3, mRNA sequence.
1397999_at	1.816		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1394996_at	1.781		Transcribed sequences
1392053_at	1.764		Transcribed sequence with moderate similarity to protein pir:A57384 (H.sapiens) A57384 multimerin, endothelial cell, precursor - human
1367712_at	1.758	Timp1	tissue inhibitor of metalloproteinase 1
1388924_at	1.757		Transcribed sequence with strong similarity to protein ref:NP_065606.1 (M.musculus)  fibrinogen/angiopoietin-related protein; major histocompatibility complex region NG27 [Mus musculus]
1368000_at	1.756	C3	complement component 3
1368474_at	1.755	Vcam1	vascular cell adhesion molecule 1
1381448_at	1.745		Similar to CG6796-PA (LOC293128), mRNA
1382888_at	1.74		Transcribed sequences
1377257_at	1.738		Transcribed sequences
1376693_at	1.736		Transcribed sequence with weak  similarity to protein ref:NP_060124.1 (H.sapiens)  hypothetical protein FLJ20073 [Homo sapiens]
1398246_s_at	1.736	Fcgr3	Fc receptor, IgG, low affinity III
1389310_at	1.734		Transcribed sequences
1392741_at	1.725		Transcribed sequences
1368073_at	1.717	Irf1	interferon regulatory factor 1
1387365_at	1.702	Nr1h3	nuclear receptor subfamily 1, group H, member 3
1387124_at	1.694	Inha	inhibin alpha
1378761_at	1.694		Transcribed sequences
1396463_at	1.689		Similar to pinin; DNA segment, Chr 12, ERATO Doi 512, expressed (LOC368070), mRNA
1386071_at	1.679		Similar to neural specific sr protein NSSR 2 (LOC362630), mRNA
1376165_at	1.678		Transcribed sequences
1382950_at	1.676		Transcribed sequences
1392171_at	1.669	Chi3l1	chitinase 3-like 1 (cartilage glycoprotein-39)
1398365_at	1.668		Similar to RIKEN cDNA 2700055K07 (LOC291966), mRNA
1371447_at	1.668		Similar to onzin (LOC360914), mRNA
1386149_at	1.664		EST219019 Normalized rat muscle, Bento Soares Rattus sp. cDNA clone RMUCN85 3 end, mRNA sequence.
1379188_at	1.662		Similar to hypothetical protein (LOC366980), mRNA
1372750_at	1.655	Fst	follistatin
1393254_at	1.652		Similar to FUSED serine/threonine kinase (LOC301516), mRNA
1383189_at	1.649		Transcribed sequences
1374165_at	1.641		Similar to Ca2+-promoted Ras inactivator; GTPase activating protein-like; calcium-promoted Ras inactivator (LOC288589), mRNA
1370465_at	1.64	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A
1381875_at	1.64		Similar to Nmi protein (LOC311021), mRNA
1387200_at	1.635	Olig1	oligodendrocyte transcription factor 1
1385599_at	1.635	RSA-14-44	UI-R-BT1-bkl-e-12-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-bkl-e-12-0-UI 3, mRNA sequence.
1393032_x_at	1.621		Similar to RIKEN cDNA 3110017O03 (LOC288585), mRNA
1378045_at	1.621		Similar to C1q-related factor precursor (LOC363686), mRNA
