Functional annotation	Gene title (gene symbol)	Accession no.	Chondrocyte mean signal intensity (GCOS and RMA analysis); RASFsn versus NDSFsn stimulation	Chondrocyte mean fold change in expression (GCOS and RMA analysis); RASFsn stimulation	Chondrocyte mean fold change in expression (GCOS and RMA analysis);  NDSFsn stimulation	Chondrocyte mean fold change in expression (GCOS and RMA analysis); No stimulation
Inflammation	Cyclooxygenase-2 (COX-2)	NM_000963.1	2.09	4,474.90	1,793.25	108.4
Inflammation	Hydroxysteroid (11-beta) dehydrogenase 1 (HSD11B1)	NM_005525	2.41	2,693.41	955.89	1,263.95
Inflammation	Adenosine A2A receptor (ADORA2A)	NM_000675	4.73	249.59	40.13	27.33
Inflammation	Phospholipase A2, group IIA (PLA2G2A)	NM_000300	-2.38	152.32	347.63	787.68
Inflammation	Steroid sulfatase (STS)	AI122754	-3.17	48.36	132.73	412.43
Inflammation	Latexin (LXN)	NM_020169	-5.82	122.35	677.95	610.08
NF-kB signaling pathway	Interleukin-1 receptor antagonist (IL1RN)	U65590	2.1	1,143.23	278.77	48.83
NF-kB signaling pathway	Receptor-interacting serine/threonine kinase 2 (RIPK2)	AF064824.1	2.12	1,190.60	539.58	22.65
NF-kB signaling pathway	Toll-like receptor 2 (TLR2)	NM_003264	2.25	859.07	322.16	57.3
NF-kB signaling pathway	Spermine synthase (SMS)	NM_004595	2.9	165.1	58.99	40.1
NF-kB signaling pathway	Bcl2-related protein A1 (BCL2A1)	NM_004049	4.9	573.95	94.87	14.63
NF-kB signaling pathway	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (ENPP2)	L35594.1	-3.26	810	2,175.34	1,273.98
NF-kB signaling pathway	Thioredoxin interacting protein (TXNIP)	AI439556	-3.5	223.27	622.39	670.7
Cytokines/chemokines and receptors	Met proto-oncogene (HGF receptor) (MET)	J02958.1	2.02	823.83	333.01	74.13
Cytokines/chemokines and receptors	Chemokine (C-X-C motif) ligand 1 (GROa)	NM_001511.1	2.08	1,414.49	478.28	28.05
