Symbol	Title	Accession no.	Unigene
LIPA	Lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	NM_000235	Hs. 85226
RPL11	Ribosomal protein L11	NM_000975	Hs. 179943
LIPF	Lipase, gastric	NM_004190	Hs. 159177
APOB	Apolipoprotein B (including Ag(x) antigen)	NM_000384	Hs. 585
CTXL	Cortical thymocyte receptor (X. laevis CTX) like	NM_014312	Hs. 112377
NA	Homo sapiens SNC73 protein (SNC73) mRNA, complete cds	AF067420	Hs. 293441
AKR1B10	Aldo-keto reductase family 1, member B10 (aldose reductase)	NM_020299	Hs. 116724
HFE	Hemochromatosis	NM_000410	Hs. 20019
LOC56287	CA11	NM_019617	Hs. 69319
KCNE2	Potassium voltage-gated channel, Isk-related family, member 2	NM_005136	Hs. 268538
DHPS	Deoxyhypusine synthase	AI243385	Hs. 79064
PSCA	Prostate stem cell antigen	NM_005672	Hs. 20166
TSNAX	Translin-associated factor X	NM_005999	Hs. 96247
AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	NM_001628	Hs. 75313
TFF1	Trefoil factor 1	NM_003225	Hs. 350471
ACAS2	Acetyl-Coenzyme A synthetase 2 (ADP forming)	NM_018677	Hs. 14779
XBP1	X-box binding protein 1	NM_005080	Hs. 149923
HPGD	Hydroxyprostaglandin dehydrogenase 15-(NAD)	NM_000860	Hs. 77348
NFE2L2	Nuclear factor (erythroid-derived 2)-like 2	NM_006164	Hs. 155396
ITGA10	Integrin, alpha 10	AF112345	Hs. 158237
PXMP2	Peroxisomal membrane protein 2 (22kD)	NM_018663	Hs. 49912
ALDH3A1	Aldehyde dehydrogenase 3 family, memberA1	AI089956	Hs. 575
MEST	Mesoderm specific transcript homolog (mouse)	NM_002402	Hs. 79284
IGLJ3	Immunoglobulin lambda joining 3	X57809	NA
ATP4B	ATPase, H+/K+ exchanging, beta polypeptide	NM_000705	Hs. 813
NR2F2	Nuclear receptor subfamily 2, group F, member 2	NM_021005	Hs. 347991
DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	NM_006145	Hs. 82646
PGC	Progastricsin (pepsinogen C)	NM_002630	Hs. 1867
F8A	Coagulation factor VIII-associated (intronic transcript)	NM_012151	Hs. 83363
FBLN1	Fibulin 1	NM_006485	Hs. 79732
KLF4	Kruppel-like factor 4 (gut)	NM_004235	Hs. 356370
TFF2	Trefoil factor 2 (spasmolytic protein 1)	NM_005423	Hs. 2979
TXNIP	Thioredoxin interacting protein	NM_006472	Hs. 179526
PGRMC2	Progesterone receptor membrane component 2	NM_006320	Hs. 9071
LTBP4	Latent transforming growth factor beta binding protein 4	NM_003573	Hs. 85087
TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	NM_002856	Hs. 74637
SEPP1	Selenoprotein P, plasma, 1	NM_005410	Hs. 3314
ARF1	ADP-ribosylation factor 1	NM_001658	Hs. 74571
PIGH	Phosphatidylinositol glycan, class H	BF183288	Hs. 177
ANXA10	Annexin A10	NM_007193	Hs. 188401
IRAK1	Interleukin-1 receptor-associated kinase 1	NM_001569	Hs. 182018
LTF	Lactotransferrin	NM_002343	Hs. 105938
PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	NM_014456	Hs. 326248
KLK5	Kallikrein 5	NM_012427	Hs. 50915
ZIN	Zinedin	NM_013403	Hs. 108665
CHD4	Chromodomain helicase DNA binding protein 4	NM_001273	Hs. 74441
KLK10	Kallikrein 10	AK026565	Hs. 69423
PPI5PIV	Phosphatidylinositol (4,5) bisphosphate 5-phosphatase homolog; phosphatidylinositol polyphosphate 5-phosphatase type IV	NM_019892	Hs. 25156
GSN	Gelsolin (amyloidosis, Finnish type)	NM_000177	Hs. 290070
BZAP45	Basic leucine-zipper protein BZAP45	NM_014670	Hs. 155291
KIAA0872	KIAA0872 protein	NM_014940	Hs. 40109
KIAA0100	KIAA0100 gene product	NM_014680	Hs. 151761
MGC2491	Hypothetical protein MGC2491	NM_024040	Hs. 11270
MGC3020	Hypothetical protein MGC3020	NM_024048	Hs. 69428
C20orf98	Chromosome 20 open reading frame 98	NM_024958	Hs. 286128
NA	Clone MGC:12849 IMAGE:4308973, mRNA, complete cds	BC007782	Hs. 348136
MEF-2	Myelin gene expression factor 2	AB037762	Hs. 44268
