GenBank ID	Symbol	Gene
M15178	HLA-DRB1	major histocompatibility complex, class II, DR beta1
L77564	STK22B	serine/threonine kinase 22B (spermiogenesis associated)
W67577	CD74	CD74 antigen
W67577	CD74	CD74 antigen
AA701232	NR2C2	Nuclear receptor subfamily 2, group C, member 2
W76197	DLC1	Deleted in liver cancer 1
W76197	DLC1	Deleted in liver cancer 1
AI279606	LOC55885	neuronal specific transcription factor DAT1
AA424762		EST
J02761	SFTPB	surfactant, pulmonary-associated protein B
X16832	CTSH	cathepsin H
U90654	LMO7	LIM domani only 7
AI367368	FACL5	long-chaing fatty acid coenzyme A ligase 5
N26250		NY-REN-25 antigen mRNA, partial cds
H57105	FLJ20273	FLJ20273
J05581	MUC1	mucin 1, transmembrane
AA699666	MLPH	Melanophilin
AA493650		FLJ23494 fis, clone LNG01885
U33749	TITF1	thyroid transcription factor 1
U20391	FOLR1	folate receptor 1 (adult)
U29091	SELENBP1	selenium binding protein 1
AI128203	FLJ22357	FLJ22357
X07819	MMP7	matrix metalloproteinase 7
D42047	KIAA0089	KIAA0089
Z25391	KIAA0728	KIAA0728
X74008	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform
AA431846	LOC51187	60S ribosomal protein L30 isolog
U33286	CSE1L	chromsome segregation 1 (yeast homolog)-like
L10678	PFN2	profilin 2
J03827	NSEP1	nuclease sensitive element bindnig protein 1
AA075627	NTPBP	XPA binding protein 1; putative ATP (GTP)-binding protein
L16785	NME2	non-metastatic cells 2, protein (NM23B)
X17620	NME1	non-metastatic cells 1, protein (NM23A)
X17620	NME1	non-metastatic cells 1, protein (NM23A)
S67325	PCCB	propionyl Coenzyme A carboxylase, beta polypeptide
D63475	AP2M1	adaptor-related protein complex 2, mu 1 subunit
X16312	CSNK2B	casein kinase 2, beta polypeptide
L17131	HMGIY	high-mobility group protein isoforms I and Y
L17131	HMGIY	high-mobility group protein isoforms I and Y
AF044588	PRC1	protein regulator of cytokinesis 1
D55654	MDH1	malate dehydrogenase 1, NAD (soluble)
AF006083	ACTR3	ARP3 (actin-related protein 3, yeast) homolog
U31525	GYG	glycogenin
AA602549	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1
X78137	PCBP1	poly (rC)-binding protein 1
T30690	PRO2207	presenilins associated rhomboid-like protein
AA457022	E2IG5	hypothetical protein, estradiol-induced
AI076603		EST
N77266	RAN	RAN, member RAS oncogene family
AA320379	POH1	26S proteasome-associated pad1 homolog
