Location	Accession no.	UniGene cluster	Log2 ratio	Gene name organized by designated gene products	Description/pathway	Function
1q44–qter	NM_006352	Hs.69997	2.9 ± 0.3	zinc finger protein 238	Repression of transcription from Pol II promoter	Transcription
3q28	NM_004454	Hs.43697	1.9 ± 0.8	ets variant gene 5 (ets-related molecule)	Transcription factor	Transcription
3p22–p21.3	NM_006756	Hs.78869	1.5 ± 0.4	transcription elongation factor A (SII)	RNA polymerase II transcription factor	Transcription
20pter–q12	NM_003908	Hs.12163	1.5 ± 0.6	eukaryotic translation initiation factor 2, subunit 2 (?, 38 kD)	Translation factor	Translation
8q12–q13	NM_000971	Hs.153	1.4 ± 0.2	ribosomal protein L7	Inhibits the cell-free translation	Translation
22q13.1	NM_003753	Hs.55682	1.3 ± 0.3	eukaryotic translation initiation factor 3, subunit 7 (?, 66/67 kD)	Translation factor	Translation
12q21.1	NM_139207	Hs.302649	1.3 ± 0.2	nucleosome assembly protein 1-like 1	Nucleosome assembly protein (NAP)	Replication and Repair
18p11.2	NM_002845	Hs.154151	3.1 ± 0.2	protein tyrosine phosphatase, receptor type M, PTPRM	Phosphatidylinositol signalling pathway	Signal transduction mechanisms
1p22.1	NM_004815	Hs.70983	3.7 ± 0.9	PTPL1-associated RhoGAP 1, PARG1	RHO GTPase activator; RHO protein signal transduction	Signal transduction mechanisms
12q22–q23	NM_022652	Hs.180383	2.6 ± 0.6	dual specificity phosphatase 6, DSP6	PTP,b inactivation of MAPK, apoptosis, cell cycle control	Signal transduction mechanisms
1p31.2	NM_018841	Hs.8107	2.4 ± 0.2	guanine nucleotide binding protein (G protein), ? 12	GGL domain; G protein ? subunit-like motifs	Signal transduction mechanisms
8q21.13–21.3	NM_005536	Hs.171776	1.8 ± 0.6	inositol(myo)-1(or 4)-monophosphatase 1	Phosphatidylinositol biosynthesis	Signal transduction mechanisms
1p22.1	NM_003567	Hs.6564	1.8 ± 0.5	breast cancer anti-estrogen resistance 3	Drug resistance; cell cycle control	Signal transduction mechanisms
22q13.2–q13.3	NM_014570	Hs.13014	1.7 ± 0.3	ADP-ribosylation factor GTPase activating protein 1, ARFGAP1	Putative GTP-ase activating proteins for the small GTPase	Signal transduction mechanisms
