Symbol	RefSeq_ID	Gene Description
ACOT2	NM_006821.4	ACYL-COA THIOESTERASE 2
ASNS	NM_133436.1	ASPARAGINE SYNTHETASE
C10orf116	NM_006829.2	CHROMOSOME 10 OPEN READING FRAME 116
C1orf24	NM_052966.1	NIBAN PROTEIN
C8orf70	NM_016010.1	CHROMOSOME 8 OPEN READING FRAME 70
CBS	NM_000071.1	CYSTATHIONINE-BETA-SYNTHASE
DDIT3	NM_004083.4	DNA-DAMAGE-INDUCIBLE TRANSCRIPT 3
EPRS	NM_004446.2	GLUTAMYL-PROLYL-TRNA SYNTHETASE
FAM116B	NM_001001794.2	SIMILAR TO RIKEN CDNA 1700027J05 GENE
FANCL	NM_018062.2	FANCONI ANEMIA, COMPLEMENTATION GROUP L
FASTK	NM_006712.3	FAS-ACTIVATED SERINE/THREONINE KINASE
GHR	NM_000163.2	GROWTH HORMONE RECEPTOR
GPNMB	NM_001005340.1	GLYCOPROTEIN (TRANSMEMBRANE) NMB
HIST2H4B	NM_001034077.4	H4 HISTONE, FAMILY 2
IRX3	NM_024336.1	IROQUOIS HOMEOBOX PROTEIN 3
LYPLAL1	NM_138794.2	LYSOPHOSPHOLIPASE-LIKE 1
NGRN	NM_016645.2	NEUGRIN, NEURITE OUTGROWTH ASSOCIATED
PBEF1	NM_005746.2	PRE-B-CELL COLONY ENHANCING FACTOR 1
PCK2	NM_001018073.1	PHOSPHOENOLPYRUVATE CARBOXYKINASE 2 (MITOCHONDRIAL)
PCK2	NM_004563.2	PHOSPHOENOLPYRUVATE CARBOXYKINASE 2 (MITOCHONDRIAL)
PDPK1	NM_002613.3	3-PHOSPHOINOSITIDE DEPENDENT PROTEIN KINASE-1
PHGDH	NM_006623.2	PHOSPHOGLYCERATE DEHYDROGENASE
PLEKHA6	NM_014935.2	PLECKSTRINHOMOLOGY DOMAIN CONTAINING, FAMILY A MEMBER 6
PLEKHB2	NM_001031706.1	PLECKSTRIN HOMOLOGY DOMAIN CONTAINING, FAMILY B (EVECTINS) MEMBER 2
RAG1AP1	NM_018845.2	RECOMBINATION ACTIVATING GENE 1 ACTIVATING PROTEIN 1
RAPGEF3	NM_001098531.1	RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF) 3
RTN1	NM_021136.2	RETICULON 1
SLC3A2	NM_001013251.1	SOLUTE CARRIER FAMILY 3 (ACTIVATORS OF DIBASIC AND NEUTRAL AMINO ACID TRANSPORT), MEMBER 2
SP110	NM_004510.2	SP110 NUCLEAR BODY PROTEIN
SRP9	NM_003133.1	SIGNAL RECOGNITION PARTICLE 9KDA
STC2	NM_003714.2	STANNIOCALCIN 2
TBL1X	NM_005647.2	TRANSDUCIN (BETA)-LIKE 1X-LINKED
TNFRSF14	NM_003820.2	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 14 (HERPESVIRUS ENTRY MEDIATOR)
UBE2L6	NM_004223.3	UBIQUITIN-CONJUGATING ENZYME E2L 6
WDR1	NM_017491.3	WD REPEAT DOMAIN 1
XBP1	NM_005080.2	X-BOX BINDING PROTEIN 1
