Systematic Name	Common Name	GenBank ID	LLID	Description	Function
99937_at	Meox2	NM_008584	17286	mesenchyme homeobox 2	Transcription factors
98394_at	Dlx1	NM_010053	13390	distal-less homeobox 1	Transcription factors
92930_at	Dlx5	NM_010056	13395	distal-less homeobox 5	Transcription factors
100009_r_at	Sox2	NM_011443	20674	M. musculus SOX2 gene	Transcription factors
93669_f_at	Sox11	NM_009234	20666	SRY-box containing gene 11	Transcription factors
102661_at	Egr2	M24377	13654	zinc finger protein A; krox-20	Transcription factors
96144_at	Idb4	NM_031166	15904	Id4 dominant negative helix-loop-helix gene	Transcription factors
99881_at	Dkk1	NM_010051	13380	dickkopf homolog 1	Cell signaling
92931_at	Dll1	NM_007865	13388	delta-like 1 (Drosophila)	Cell signaling
161609_at	Rgs16	NM_011267	19734	regulator of G protein signaling 16	Cell signaling
101130_at	Col1a2	NM_007743	12843	procollagen, type 1, alpha 2	Cell adhesion/ECM
104407_at	Alcam	NM_009655	11658	activated leukocyte cell adhesion molecule	Cell adhesion/ECM
93353_at	Lum	NM_008524	17022	KSPG; corneal clarity protein	Cell adhesion/ECM
93804_at	Slc2a3	NM_011401	20527	solute carrier family 2	Transport proteins
94354_at	Abca1	NM_013454	11303	ATP-binding cassette, subfamily A	Transport proteins
103317_at	Coch	NM_007728	12810	coagulation factor C homolog	Other
103377_at	Lrp2	XM_130363	14725	low density lipoprotein receptor-related protein 2	Other
100477_at	C630002M10Rik	NM_019631	56277	RIKEN cDNA C630002M10 gene	Other
160726_at	Qk	NM_021881	19317	quaking	Other
97317_at	Enpp2	NM_015744	18606	ectonucleotide pyrophosphatase/phosphodiesterase 2	Other
