Accession ID	Gene Name	Fold Change	P Value
AA598653	Osteoblast specific factor 2 (fasciclin I-like)	66.6	0.0001
N54596	Insulin-like growth factor 2 (somatomedin A)	58.5	0.0001
AA478481	ESTs	52.1	0.0001
AA004638	Hemoglobin, gamma A	52	0.0001
AA425382	ESTs	22.5	0.0001
AA463463	ESTs	22.3	0.0001
H53340	Metallothionein 1G	20.8	0.0001
T98612	Collagen, type III, alpha	19.2	0.0001
AA676458	Lysyl oxidase-like 2	18.3	0.0001
R62612	Fibronectin 1	17.9	0.0001
AA150402	Collagen; type IV, alpha 1	17.1	0.0001
AA936799	Matrix metalloproteinase	17.1	0.0001
AA669136	Transcription factor 4	12.1	0.0001
AA046525	Homo sapiens, alpha-1 (VI) collagen	11.8	0.0001
AA670200	Postmeiotic segregation increased 2-like 12	10.8	0.0001
AA424695	Integrin, alpha 3	-9.9	0.0001
H18633	ESTs	-10.7	0.0001
R93124	Aldo-keto reductase family 1, member C1	-10.9	0.0044
AA894557	Creatine kinase, brain	-12.5	0.0003
AA775899	ATPase, Na+/K+ transporting, gamma 1 polypeptide	-12.8	0.0015
AA419143	JTV1 gene	-13.5	0.0001
R42685	Homo sapiens myo-inositol monophosphatase 2	-15.0	0.0001
T98253	ESTs	-15.1	0.0007
AA478298	Adipose specific 2	-15.6	0.004
AA292226	Creatine transporter	-19.1	0.0004
R59722	ESTs	-19.9	0.0001
AA425299	Solute carrier family 9, isoform 3 regulatory factor 1	-20.5	0.0001
AA485371	Bone marrow stromal cell antigen 2	-21.8	0.0001
AA485353	Lectin, galactoside-binding, soluble, 3 binding protein	-24.7	0.0001
AA664406	Complement component 4A	-27.5	0.001
