GenBank	Gene name	-Fold change (mean ± S.D.) 8 h	24 h	72 h	qa %	U95	Function
NM_001924	GADD45b	2.77 ± 0.09	3.71 ± 0.13	4.02 ± 0.15	2.6	?	Cell cycle and apoptosis
NM_003914	Cyclin A1b	–1.63 ± 0.11	–1.17 ± 0.21	2.58 ± 0.18	1.1	?	Cell cycle and apoptosis
NM_003810	TRAIL	2.76 ± 0.02	2.69 ± 0.10	2.31 ± 0.17	1.5	?	Cell cycle and apoptosis
NM_003840	TRAIL-R4	1.85 ± 0.13	2.83 ± 0.44	3.00 ± 0.40	4.6	?	Cell cycle and apoptosis
NM_004675	Ras homolog gene family member I (ARHI)	1.78 ± 0.44	2.43 ± 0.11	6.51 ± 0.25	1.2	?	Oncogene and tumor suppressors
NM_022337	RAB38, Ras oncogene family	–1.01 ± 0.20	2.01 ± 0.28	2.70 ± 0.19	1.6	N/Ac	Oncogene and tumor suppressors
NM_005252	Fos	6.79 ± 0.64	9.42 ± 0.23	10.61 ± 0.08	4.1	?	Oncogene and tumor suppressors
NM_004442	EphB2	–1.05 ± 0.30	2.98 ± 0.50	9.38 ± 0.47	1.6	?	Oncogene and tumor suppressors
NM_006408	Anterior gradient 2 homolog	2.77 ± 0.12	4.11 ± 0.27	7.00 ± 0.21	0.6	N/A	Oncogene and tumor suppressors
NM_000782	24-Hydroxylaseb	46.8 ± 0.05	54.94 ± 0.24	55.91 ± 0.19	0.6	?	Enzymes
NM_002774	Kallikrein 6	2.60 ± 0.09	5.56 ± 0.14	7.21 ± 0.18	0.6	?	Enzymes
NM_005308	G protein-coupled receptor kinase 5 (GPRK5)b	4.17 ± 0.25	8.80 ± 0.27	13.34 ± 0.10	1.1	?	Enzymes
NM_007207	Dual specificity phosphatase 10 (DUSP10)b	2.92 ± 0.11	4.23 ± 0.08	3.67 ± 0.08	0.6	?	Enzymes
NM_015170	Sulfatase 1	1.29 ± 0.14	2.64 ± 0.15	3.65 ± 0.16	0.9	?	Enzymes
NM_000402	Glucose-6-phosphate dehydrogenase (G6PD)b	1.41 ± 0.12	3.23 ± 0.11	5.01 ± 0.20	0.6	?	Enzymes
NM_003784	Serine proteinase inhibitor clade B, 7	1.99 ± 0.55	10.11 ± 0.20	21.30 ± 0.08	0.6	N/A	Enzymes
NM_016931	NADPH oxidase 4 (NOX4)	1.27 ± 0.35	2.63 ± 0.25	3.21 ± 0.14	4.6	N/A	Enzymes
NM_002168	Mitochondrial isocitrate dehydrogenase 2 (NADP+)	1.05 ± 0.12	1.92 ± 0.13	2.50 ± 0.19	1.1	?	Enzymes
NM_002849	Protein-tyrosine phosphatase, receptor type, Rb	1.50 ± 0.02	1.95 ± 0.27	2.66 ± 0.32	0.6	N/A	Enzymes
NM_012232	RNA polymerase I and transcript release factor	1.20 ± 0.16	2.22 ± 0.24	2.98 ± 0.08	1.1	N/A	Enzymes
