Row	Gene Name	Gene ID	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)	Significance
5903	206376_at	SLC6A15	5.441071525	4.049707269	0.74428488	24.6529	5.900131829	Positive significant
5832	206305_s_at	C8A	4.941754874	2.351670444	0.475877599	4.79246	6.697446941	Positive significant
18943	219578_s_at	CPEB1	4.578017895	2.798160423	0.611216576	9.79111	6.697446941	Positive significant
14949	215575_at	NA	4.406386152	2.558572657	0.58065103	5.6437	6.697446941	Positive significant
9354	209867_s_at	LPHN3	4.135191432	3.172561754	0.767210371	6.79084	8.515654186	Positive significant
12658	213276_at	CAMK2B	4.056599632	2.021825002	0.498403881	5.12688	8.515654186	Positive significant
11242	211845_at	PVRL1	4.027504581	3.00156343	0.745266298	5.97441	8.515654186	Positive significant
15465	216092_s_at	SLC7A8	3.976331718	2.1311927	0.535969545	3.84781	8.515654186	Positive significant
13738	214358_at	ACACA	3.941197885	1.929385963	0.489543032	3.50036	8.515654186	Positive significant
14354	214978_s_at	PPFIA4	3.897192439	3.748107874	0.96174565	7.70199	8.515654186	Positive significant
17873	218507_at	HIG2	3.845620719	1.651824118	0.42953381	3.27926	8.515654186	Positive significant
13831	214451_at	TFAP2B	3.828992643	2.792241699	0.729236632	6.33677	8.515654186	Positive significant
16085	216714_at	CCL13	3.787617737	2.112835984	0.557827144	5.59482	8.515654186	Positive significant
18642	219277_s_at	OGDHL	3.678747274	3.176280836	0.863413711	21.92147	10.39743511	Positive significant
16809	217443_at	NA	3.604779448	2.98301987	0.827517997	5.8797	11.91767922	Positive significant
15387	216014_s_at	ZXDA	3.578384969	2.475952784	0.691919066	4.5129	11.91767922	Positive significant
5662	206135_at	ST18	3.456688577	2.593648574	0.750327522	6.12869	12.63544214	Positive significant
19375	220010_at	KCNE1L	3.451485895	2.084932946	0.604068221	4.45956	12.63544214	Positive significant
14740	215365_at	CACNB2	3.436414107	1.950186075	0.567506131	3.4862	12.63544214	Positive significant
19598	220233_at	FBXO26	3.381034524	2.699300801	0.798365347	7.96473	12.63544214	Positive significant
4736	205208_at	FTHFD	3.32263929	2.825921646	0.850505095	5.9215	13.823166	Positive significant
13100	213719_s_at	SMARCA4	3.287671275	1.966548165	0.598158393	3.8133	13.823166	Positive significant
19498	220133_at	APIN	3.283914903	2.453446093	0.747110131	11.76474	13.823166	Positive significant
7025	207502_at	GUCA2B	3.213096304	2.918680936	0.908370201	5.23442	14.88047954	Positive significant
10576	211131_s_at	ED1	3.200957279	2.698692443	0.843089179	5.1285	14.88047954	Positive significant
10162	210698_at	NA	3.188597934	1.759575108	0.551833484	3.70053	14.88047954	Positive significant
15286	215912_at	GNAO1	3.180875676	2.217563067	0.697154901	3.93525	14.88047954	Positive significant
1748	202219_at	SLC6A8	3.149611469	2.210441924	0.701814159	4.0614	14.88047954	Positive significant
