Probe Set	Gene Symbol	Description	Relative Expression	P value
1130_at	MAP2K1	mitogen-activated protein kinase kinase 1	3.28	0.0031
1652_at	PIM2	pim-2 oncogene	-1.1	0.0008
1913_at	CCNG2	cyclin G2	-1.53	0.0061
1920_s_at	CCNG1	cyclin G1	-0.86	0.002
2017_s_at	CCND1	cyclin D1 (PRAD1: parathyroid adenomatosis 1)	-0.88	0.0063
2053_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	-0.97	0.0001
278_at	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	1.07	0.0063
31488_s_at	PGK1	phosphoglycerate kinase 1	2.11	0.0051
31506_s_at	DEFA1 /// DEFA3	defensin, alpha 1, myeloid-related sequence /// defensin, alpha 3, neutrophil-specific	-0.7	0.0039
31774_at	---	---	1.11	0.0018
31943_g_at	TULP3	tubby like protein 3	0.9	0.0058
31948_at	RPS21	ribosomal protein S21	1.8	0.0047
32038_s_at	SRP46	Splicing factor, arginine/serine-rich, 46kD	-0.74	0.0064
32170_g_at	FBXO21	F-box protein 21	-0.85	0.0024
32230_at	EIF3S2	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	2.68	0.0064
32297_s_at	KLRC1 /// KLRC2	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 2	1.34	0.0029
32391_g_at	FMO6	flavin containing monooxygenase 6	1.2	0.0028
32440_at	RPL17	ribosomal protein L17	2.98	0.0018
32528_at	CLPP	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)	2.21	0.0078
32551_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.92	0.0023
326_i_at	---	---	2.62	0.008
32618_at	BLVRA	biliverdin reductase A	-0.87	0.0016
32647_at	VTI1B	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	-1.26	0.0015
32658_at	VPS52	vacuolar protein sorting 52 (yeast)	-2.91	0.0031
32750_r_at	FLNA	filamin A, alpha (actin binding protein 280)	2.72	0.001
33068_f_at	UGT2B15	UDP glucuronosyltransferase 2 family, polypeptide B15	-0.68	0.0077
33485_at	RPL4	ribosomal protein L4	2.23	0.0044
34035_at	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	1.01	0.0031
34118_at	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	0.86	0.0074
34201_at	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2	1.43	0.0064
34490_f_at	FSCN2	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)	-0.78	0.0063
34570_at	RPS27A	ribosomal protein S27a	2.72	0.0023
34581_s_at	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	0.79	0.0055
34613_at	KIAA1086	KIAA1086	1.05	0.0029
34620_at	PAX5	paired box gene 5 (B-cell lineage specific activator)	1.09	0.0023
34689_at	TREX1	three prime repair exonuclease 1	1.71	0.0056
34699_at	CD2AP	CD2-associated protein	-0.71	0.0029
35726_at	S100A2	S100 calcium binding protein A2	1.01	0.0045
35784_at	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	-0.8	0.0093
35809_g_at	SFRS6	splicing factor, arginine/serine-rich 6	-2.01	0.0058
35961_at	---	MRNA; cDNA DKFZp586O1318 (from clone DKFZp586O1318)	-0.77	0.0051
36000_at	CREBL1	cAMP responsive element binding protein-like 1	0.96	0.0095
36723_at	HNF4A	hepatocyte nuclear factor 4, alpha	0.73	0.0059
37610_at	FLJ10803	hypothetical protein FLJ10803	-1.18	0.0006
37791_at	---	---	0.75	0.0073
37943_at	ZFYVE26	zinc finger, FYVE domain containing 26	-0.86	0.0054
37950_at	PREP	prolyl endopeptidase	-1.16	0.0038
39031_at	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	0.82	0.007
39325_at	LEFTY2	left-right determination factor 2	0.76	0.0099
39879_s_at	LOC474170	C114 SLIT-like testicular protein /// Hypothetical LOC388397	-1.31	0.0073
39969_at	HIST1H4C	histone 1, H4c	1.69	0.0004
39997_at	PFC	properdin P factor, complement	1.63	0.0035
40014_at	SEMA6C	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	1.78	0.0055
40157_s_at	MYL1	myosin, light polypeptide 1, alkali; skeletal, fast	-0.94	0.0043
40435_at	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	3.28	0.0001
40453_s_at	SFRS5	splicing factor, arginine/serine-rich 5	-1.85	0.0089
40460_s_at	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	-0.91	0.0034
40521_at	RGL2	ral guanine nucleotide dissociation stimulator-like 2	-0.8	0.0066
40770_f_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like	2.14	0.0084
40791_at	POLR2A	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	-2.58	0.0069
41178_at	RPL11	ribosomal protein L11	3.25	0.0003
41452_at	ZFP95	zinc finger protein 95 homolog (mouse)	1.04	0.0036
41597_s_at	SEC22L1	SEC22 vesicle trafficking protein-like 1 (S. cerevisiae)	-1.78	0.0031
41705_at	RFNG	radical fringe homolog (Drosophila)	1.31	0.0091
41854_at	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	-1.24	0.0001
603_at	NR2C1	nuclear receptor subfamily 2, group C, member 1	-0.79	0.0018
920_at	---	---	-0.85	0.0003
