RAE230A Affymetrix Sequence Code	Accession No.	Gene Name	Gene description	FC day-14	P-day-14	FC day -13	P- day-13	FC day 3	P- day 3
1387805_at	NM_053420.1	BNIP3_RAT	BCL2/adenovirus E1B 19 kDa-interacting protein 3,  nuclear gene for mitochondrial product					-1.97	3.41E-09
1372794_at	BM392203	DAPK2_RAT	Rattus norvegicus LOC362671 (LOC362671), mRNA					-1.96	0.000525
1368577_at	NM_053388.1	GJB6_RAT	gap junction protein, beta 6 (connexin 30)					-2.96	8.94E-14
1368017_at	NM_022582.1	LGALS7_RAT	lectin, galactose binding, soluble 7					-1.95	6.06E-10
1369108_at	NM_019221.1	TRP63_RAT	transformation related protein 63					-2.68	0.00078
1373654_at	BM389254	ANXA8_RAT	Rattus norvegicus transcribed sequence with moderate similarity to protein sp:P13928 (H.sapiens) ANX8_HUMAN Annexin A8 (Annexin VIII) (Vascular anticoagulant-beta) (VAC-beta)					-2.49	1.21E-18
1387811_at	NM_134432.1	AGT_RAT	angiotensinogen			-2.28	0.0000471
1368788_at	NM_019164.1	CHAD_RAT	chondroadherin					-4.04	6.31E-11
1370989_at	AI639318	RET_RAT	ret proto-oncogene			-3.34	0.00000067
1387355_at	BM384639	AGC1_RAT	aggrecan 1			-1.97	0.00585
1387767_a_at	AF305418.1	COL2A1_RAT	procollagen, type II, alpha 1					-2.41	0.000146
1368684_at	NM_022954.1	FAT2_RAT	MEGF1					-2.05	0.000504
1387061_at	NM_031047.1	JUP_RAT	junction plakoglobin					-1.99	4.29E-12
1387197_at	NM_031817.1	OMD_RAT	osteomodulin (osteoadherin)					-2	0.0000325
1370944_at	AI230238	TIG217182	procollagen, type X, alpha 1					-3.16	0.000000196
1388145_at	BM390128	TNXA_RAT	tenascin XA					-2.37	1.69E-13
1367953_at	NM_017092.1	TYRO3_RAT	TYRO3 protein tyrosine kinase 3					-1.8	0.000462
1387924_at	AF254801.1	BESH3_RAT	brain-enriched SH3-domain protein Besh3					-4.75	2.91E-14
1367648_at	NM_013122.1	IGFBP2_RAT	insulin-like growth factor binding protein 2					-3.55	0.00000005
1387625_at	NM_013104.1	IGFBP6_RAT	---					-2.23	5.55E-34
1372168_s_at	BG673588	IGFBP6_RAT	Rattus norvegicus transcribed sequence with weak  similarity to protein pir:A39842 (H.sapiens) A39842 insulin-like growth factor-binding protein 6 precursor - human					-2.21	4.79E-26
1373386_at	AI179953	GJB2_RAT	Rattus norvegicus transcribed sequences			-1.63	1.56E-09	-1.82	0.00000309
1368349_at	NM_022603.1	FGFBP1_RAT	growth factor binding protein-1					-2.71	0.0000773
1387747_at	NM_019240.1	GJB3_RAT	gap junction membrane channel protein beta 3					-2.4	7.79E-09
1370406_a_at	AB026903.1	DAF_RAT	decay-accelarating factor					-2.57	1.94E-13
1387951_at	AB032395	DAF_RAT	---					-2.36	1.59E-11
1388199_at	BG376410	TACSTD1_RAT	tumor-associated calcium signal transducer 1			-1.56	0.0000425	-2.05	0.0000455
1369660_at	AF068860.1	DEFB1_RAT	defensin beta 1					-5.25	0.0000137
1387960_at	AF068861.1	DEFB2_RAT	beta defensin-2					-3.2	0.00134
1369523_at	NM_078621.1	CCR10_RAT	CC-chemokine-binding receptor JAB61					-1.8	0.0000457
1368815_at	NM_017027.1	MPZ_RAT	myelin protein zero					-2.17	0.000000238
1369327_at	NM_022940.1	PAPIN_RAT	PAPIN					-2.77	0.00682
1367951_at	NM_017328.1	PGAM2_RAT	phosphoglycerate mutase 2			-1.62	0.000594	-2.63	1.12E-12
1368130_at	NM_031972.1	ALDH3A1_RAT	aldehyde dehydrogenase family 3, member A1					-3.57	4.66E-17
1370964_at	BF283456	ASS_RAT	arginosuccinate synthetase					-2.02	0.000212
1370925_at	BG380816	ATP9A_RAT	ATPase, Class II, type 9A					-2.47	1.50E-18
1387814_at	NM_019155.1	CAV3_RAT	caveolin 3					-2.48	0.000000142
1386947_at	NM_031334.1	CDH1_RAT	cadherin 1					-1.98	0.000933
1368248_at	NM_031242.1	CDS1_RAT	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1					-2.15	0.0000123
1388349_at	AA799557	CKMT2_RAT	Rattus norvegicus transcribed sequence with moderate similarity to protein pir:A35756 (H.sapiens) A35756 creatine kinase (EC 2.7.3.2) precursor, sarcomere-specific, mitochondrial - human					-4.38	2.70E-31
1370951_at	Y07783.1	DRI42_RAT	ER transmembrane protein Dri 42					-2.19	0.00223
1368536_at	NM_057104.1	ENPP2_RAT	ectonucleotide pyrophosphatase/phosphodiesterase 2					-1.84	6.96E-18
1368182_at	NM_130739.1	FACL6_RAT	fatty acid Coenzyme A ligase, long chain 6					-9.34	1.82E-11
1367707_at	NM_017332.1	FASN_RAT	fatty acid synthase					-1.87	0.000241
1387906_a_at	AF107845.1	GNAS_RAT	GNAS complex locus					-2.72	0.00109
1367932_at	NM_017268.1	HMGCS1_RAT	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1					-1.89	1.71E-09
1368188_at	NM_017233.1	HPD_RAT	4-hydroxyphenylpyruvic acid dioxygenase					-2.08	0.00000788
1388260_a_at	AF007818.1	LEPR_RAT	leptin receptor					-1.83	0.00864
1368127_at	NM_017130.1	NEU2_RAT	neuraminidase 2					-1.88	0.00229
1372485_at	BF281220	PCBD_RAT	6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha					-2.68	0.00887
1387766_a_at	NM_012640.1	RBP2_RAT	retinol-binding protein 2					-2.19	0.000107
1368991_at	NM_053605.1	SMPD3_RAT	sphingomyelin phosphodiesterase 3, neutral					-2.37	9.77E-10
1387017_at	NM_017136.1	SQLE_RAT	squalene epoxidase					-2.06	1.22E-10
1370051_at	NM_031659.1	TGM1_RAT	transglutaminase 1					-2.38	0.00000174
1367603_at	NM_022922.1	TPI1_RAT	triosephosphate isomerase 1					-1.88	6.78E-36
1368641_at	NM_053402.1	WNT4_RAT	wingless-type MMTV integration site family, member 4					-2.67	0.000051
1388456_at	AI228548	S100A1_RAT	Rattus norvegicus similar to S-100 protein, alpha chain (LOC295214), mRNA			-2.62	0.000605
1369810_at	NM_012698.1	DMD_RAT	dystrophin			-2.15	0.0000276
1373032_at	AW251450	MUSTANG_RAT	fracture callus protein MUSTANG			-1.63	0.000128	-4.47	1.29E-43
1369443_at	NM_133569.1	ANGPTL2_RAT	angiopoietin-like 2			-1.59	0.00696	-1.93	0.00769
1368789_at	NM_020072.1	ACPP_RAT	acid phosphatase, prostate					-3.35	0.00000104
1381499_at	BM390226	ACPP_RAT	Rattus norvegicus transcribed sequences					-2.58	0.00547
1369072_at	NM_134329.1	Adh7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide					-12.85	0.00000244
1390130_at	BM392225	AKAP6_RAT	Rattus norvegicus transcribed sequence with moderate similarity to protein ref:NP_060453.1 (H.sapiens)  hypothetical protein FLJ10055 [Homo sapiens]					-1.97	0.000000111
1370638_at	AF069525.1	ANK3_RAT	ankyrin 3 (G)					-2.14	0.000014
1387043_at	NM_021759.1		GPI-anchored metastasis-associated protein homolog					-3.21	8.25E-16
1370363_at	L46791.1	CES3_RAT	carboxylesterase 3					-2.57	5.67E-11
1387282_at	NM_053612.1	CRYAC_RAT	crystallin, alpha C					-2.58	8.41E-17
1388721_at	BG380282	CRYAC_RAT	crystallin, alpha C					-1.87	2.66E-14
1372745_at	BE112453	ENH_RAT	enigma homolog					-3.57	8.14E-23
1387082_at	NM_053348.1	FETUB_RAT	fetuin beta					-6.25	0.000000894
1367918_at	NM_031066.1	FEZ1_RAT	protein kinase C-binding protein Zeta1					-1.86	0.00361
1367923_at	NM_134389.1	GRLACS_RAT	gonadotropin-regulated long chain acyl-CoA synthetase					-2.62	0.00189
1372257_at	BG662579	KIF1B_RAT	Rattus norvegicus transcribed sequences					-1.84	1.04E-17
1388068_at	AF166267.1	KLCT_RAT	kinesin light chain KLCt					-2.12	0.000949
1373005_at	BI282568	KRTDAP_RAT	keratinocyte differentiation associated protein					-1.8	5.53E-11
1388104_at	BI300274	LGR4_RAT	G protein-coupled receptor 48					-2.17	0.000119
1387898_at	D29960.1	LOC192245_RAT	heat shock 20-kDa protein					-4.13	1.10E-33
1370477_at	J02705.1	OCM_RAT	oncomodulin					-2.06	0.0000643
1368487_at	NM_021696.1	PAI2A_RAT	plasminogen activator inhibitor 2 type A					-2.55	1.66E-11
1387291_at	NM_017351.1	PAIHC3_RAT	pre-alpha-inhibitor, heavy chain 3					-2.27	0.0000172
1371139_at	X70706.1	PLS3_RAT	plastin 3 (T-isoform)					-1.83	1.02E-09
1369152_at	NM_017309.1	PPP3R1_RAT	protein phospatase 3, regulatory subunit B, alpha isoform,type 1					-2.28	0.00581
1369654_at	NM_023991.1	PRKAA2_RAT	AMP-activated protein kinase					-3.27	0.00000268
1388712_at	BM389186	PSCD3_RAT	Rattus norvegicus transcribed sequences					-2.03	3.14E-09
1377867_at	BM390001	QPCT_RAT	Rattus norvegicus transcribed sequence with moderate similarity to protein pir:I37421 (H.sapiens) I37421 glutaminyl-peptide cyclotransferase (EC 2.3.2.5) - human					-1.83	0.0000184
1373698_at	BI278681	S100RVP_RAT	S100 calcium-binding protein					-2.06	0.00589
1368252_at	NM_057191.1	SARCOSIN_RAT	sarcomeric muscle protein					-1.95	8.20E-09
1376062_at	BG375315	SDC1_RAT	syndecan 1					-2.41	0.0000978
1367812_at	NM_019167.1	SPNB3_RAT	beta-spectrin 3					-2.52	0.00316
1387620_a_at	NM_022630.1	tar5680_MOUSE	adrenal secretory serine protease precursor					-2.86	5.18E-08
1387959_at	AB009372.1	TIG203879	lysophospholipase					-5.65	0.0093
1372658_at	BG373779	TIG208255	desmuslin					-1.8	0.0000179
1368989_at	NM_012886.1	TIMP3_RAT	tissue inhibitor of metalloproteinase 3					-4.42	0.000383
1370214_at	AI175539	PVA_RAT	parvalbumin			-1.73	0.000000834	-2.11	1.78E-14
1387401_at	NM_017131.1	CASQ2_RAT	calsequestrin 2					-2.03	0.00000113
1368988_at	AW520914	CASQ2_RAT	calsequestrin 2					-1.88	0.000000324
1398243_at	NM_057144.1	CSRP3_RAT	cysteine-rich protein 3					-13.62	0
1390049_at	BI298356	FHL1_RAT	four and a half LIM domains 1					-3.73	1.82E-24
1372107_at	BG673187	FHL1_RAT	Rattus norvegicus transcribed sequences					-2.34	1.66E-16
1387181_at	NM_013172.1	MYF6_RAT	myogenic factor 6					-2.48	3.57E-17
1368415_at	NM_012604.1	MYH3_RAT	myosin, heavy polypeptide 3					-4.99	8.97E-11
1367928_at	BF395647	MYH7_RAT	myosin heavy chain, polypeptide 7					-7.15	3.19E-17
1398248_s_at	NM_017240.1	MYH7_RAT	myosin heavy chain, polypeptide 7					-3.45	2.93E-16
1386993_at	NM_017240.1	MYH7_RAT	myosin heavy chain, polypeptide 7					-3.36	6.99E-18
1367572_at	NM_012606.1	MYL3_RAT	myosin, light polypeptide 3					-3.3	7.07E-14
1369717_at	M94555.1	NMU_RAT	neuromedin					-1.9	0.0000172
1390210_at	BF418932	PCYT1B_RAT	Rattus norvegicus transcribed sequences					-2.15	3.66E-10
1370291_at	AF002281.1	PDLIM3_RAT	actinin alpha 2 associated LIM protein					-3.7	2.26E-12
1387445_at	NM_031573.1	PHKG1_RAT	phosphorylase kinase gamma 1					-2.44	5.72E-08
1370165_at	AI406565	SMPX_RAT	small muscle protein, X-linked					-2.67	6.96E-24
1371339_at	AI599017	TNNI1_RAT	cofilin 1					-5.8	6.63E-15
1386873_at	NM_017184.1	TNNI1_RAT	Troponin I, slow isoform					-3.13	6.67E-23
1370412_at	AF399874.1	TNNT1_RAT	troponin T1, skeletal, slow					-2.65	1.27E-14
1367592_at	NM_012676.1	TNNT2_RAT	troponin T2					-4.48	0.000329
1371184_x_at	AF053359.1	TPM3_RAT	Rattus norvegicus nonmuscle tropomyosin 5 (Tpm5) isoforms NM 5 and NM 6 mRNA, partial cds					-1.89	1.53E-22
1387450_at	NM_012671.1	TGFA_RAT	transforming growth factor alpha			-1.87	0.000822	-2.44	0.000339
1367571_a_at	NM_031511.1	IGF2_RAT	insulin-like growth factor 2					-2.1	0.0000145
1368459_at	NM_024375.1	GDF10_RAT	prepro bone inducing protein					-2.22	0.000573
1386921_at	NM_013128.1	CPE_RAT	carboxypeptidase E					-1.91	1.73E-08
1369626_at	NM_013159.1	IDE_RAT	insulin degrading enzyme					-2.8	4.02E-10
