clone	rp	M	fdr	gene_symbol	ensembl_id	description
215813_s_at	7.7244	-3.21223323	0	PTGS1	ENSG00000095303	Prostaglandin G/H synthase 1 precursor (EC 1.14.99.1) (Cyclooxygenase- 1) (COX-1) (Prostaglandin-endoperoxide synthase 1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1). [Source:Uniprot/SWISSPROT;Acc:P23219]
205128_x_at	14.8247	-3.064917477	0	PTGS1	ENSG00000095303	Prostaglandin G/H synthase 1 precursor (EC 1.14.99.1) (Cyclooxygenase- 1) (COX-1) (Prostaglandin-endoperoxide synthase 1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1). [Source:Uniprot/SWISSPROT;Acc:P23219]
229802_at	24.5632	-2.744680559	0	WISP1	ENSG00000104415	WNT1-inducible signaling pathway protein 1 precursor (WISP-1) (Wnt-1- induced secreted protein). [Source:Uniprot/SWISSPROT;Acc:O95388]
206336_at	35.4816	-2.819088337	0	CXCL6	ENSG00000124875	Small inducible cytokine B6 precursor (CXCL6) (Granulocyte chemotactic protein 2) (GCP-2) (Chemokine alpha 3) (CKA-3) [Contains: Small inducible cytokine B6, N-processed variant 1; Small inducible cytokine B6, N-processed variant 2; Small inducible cytoki [Source:Uniprot/SWISSPROT;Acc:P80162]
227812_at	53.9013	-2.235144329	0	TNFRSF19	ENSG00000127863	Tumor necrosis factor receptor superfamily member 19 precursor (Toxicity and JNK inducer) (TRADE). [Source:Uniprot/SWISSPROT;Acc:Q9NS68]
205792_at	58.0316	-2.825210107	0	WISP2	ENSG00000064205	WNT1-inducible signaling pathway protein 2 precursor (WISP-2) (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58). [Source:Uniprot/SWISSPROT;Acc:O76076]
228708_at	58.23	-2.447721309	0	NA	NA	NA
211896_s_at	58.4083	-2.457989644	0	DCN	ENSG00000011465	Decorin precursor (Bone proteoglycan II) (PG-S2) (PG40). [Source:Uniprot/SWISSPROT;Acc:P07585]
209335_at	59.6452	-2.407363571	0	DCN	ENSG00000011465	Decorin precursor (Bone proteoglycan II) (PG-S2) (PG40). [Source:Uniprot/SWISSPROT;Acc:P07585]
208131_s_at	60.064	-2.439089439	0	PTGIS	ENSG00000124212	Prostacyclin synthase (EC 5.3.99.4) (Prostaglandin I2 synthase). [Source:Uniprot/SWISSPROT;Acc:Q16647]
235821_at	62.9643	-2.269512201	0	WISP1	ENSG00000104415	WNT1-inducible signaling pathway protein 1 precursor (WISP-1) (Wnt-1- induced secreted protein). [Source:Uniprot/SWISSPROT;Acc:O95388]
202994_s_at	71.283	-2.470728756	0	FBLN1	ENSG00000077942	Fibulin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P23142]
211813_x_at	79.2877	-2.249479245	0	DCN	ENSG00000011465	Decorin precursor (Bone proteoglycan II) (PG-S2) (PG40). [Source:Uniprot/SWISSPROT;Acc:P07585]
235911_at	80.2649	-2.13289427	0	MFI2	ENSG00000163975	Melanotransferrin precursor (Melanoma-associated antigen p97) (CD228 antigen). [Source:Uniprot/SWISSPROT;Acc:P08582]
