GenBank no.	Description	MoDCs 0 hr	MoDCs 48 hr	MUTZ-3-DCs 0 hr	MUTZ-3-DCs 48 hr
NM_001561	4-1BB	–	++	+	++
NM_003811	4-1BB-L	+–	++	+	++
NM_006401	APRIL	+++	+++	+++	++
NM_004925	AQP3	++	–	++	–
NM_001295	CCR1	++	–	+	+
NM_000647	CCR2	–	–	++	+
NM_000579	CCR5	++	–	+–	–
NM_001838	CCR7	+	+++	+–	+++
NM_000632	CD11b	++	–	++	++
M81695	CD11c	++	–	–	+–
NM_001150	CD13	++	++	++	+++
M28825	CD1a	+++	+–	++	+++
NM_006110	CD2	++	++	++	++
NM_002002	CD23	++	+	++	+
NM_000417	CD25	–	++	–	–
NM_021642	CD32	++	–	++	++
NM_001772	CD33	++	–	++	++
M81104	CD34	–	–	++	+
NM_001250	CD40	++	++	++	++
BC004372	CD44	++	++	+++	+++
NM_001251	CD68	+	–	+	+–
NM_005191	CD80	++	++	++	++
NM_004233	CD83	++	+++	++	+++
BG236280	CD86	++	++	++	++
AF348491	CXCR4	+–	+++	++	++
NM_014398	DC-LAMP	++	+++	+–	+++
AF290886	DC-SIGN	+++	–	++	++
NM_002349	DEC-205	++	+++	+	++
NM_006140	GM-CSFR	++	+++	++	++
NM_000201	ICAM-1	++	+++	++	+++
NM_002187	IL-12Bp40	+	++	+	++
NM_000877	IL-1R1	++	+++	+–	++
NM_004633	IL-1R2	++	++	++	+++
NM_000418	IL-4RA	++	++	++	++
NM_003326	OX40L	–	++	–	++
NM_000958	PGER	++	++	++	++
NM_003839	RANK	–	++	–	+
NM_003264	TLR2	+	–	++	++
NM_003266	TLR4	++	–	+–	–
NM_001065	TNFR1	++	++	++	++
NM_001066	TNFR2	++	++	+	+
AA573862	HLA-A	+++	+++	+++	+++
L42024	HLA-B	+++	+++	+++	+++
U655851	HLA-DR	+++	+++	+++	+++
