Gene name	Gene bank Nr.	Signal intensity	Regulation factor	s.d.	P-value
Immunoglobulin superfamily, member 4	gb:NM_014333.1	145.53	14.57	4.27	P<0.001
Lipoprotein lipase	gb:NM_000237.1	497.5	13.31	1.56	P<0.001
Nicotinamide N-methyltransferase	gb:NM_006169.1	194.27	12.65	5.29	P<0.001
Myristoylated alanine-rich protein kinase C substrate (MARCKS, 80K-L)	gb:NM_002356.4	412.67	7.42	0.69	P<0.001
Cytokine receptor-like factor 1 gb:NM_004750.1	gb:NM_004750.1	235.57	7.4	2.4	P<0.001
Oncofetal trophoblast glycoprotein	gb:NM_006670.1	162.2	4.89	1.33	P<0.001
Neuromedin U	gb:NM_006681.1	157.43	4.64	0.29	P<0.001
Dystrophin (muscular dystrophy, Duchenne and Becker types)	gb:NM_004010.1	270.33	4.59	0.53	P<0.001
Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	gb:AF130082.1	76.4	4.21	0.82	P<0.001
Collagen, type XV, alpha 1	gb:NM_001855.1	88.13	4.08	1.06	P<0.001
Solute carrier family 16 (monocarboxylic acid transporters), member 3	gb:NM_004207.1	729.27	4.04	1.11	P<0.001
Mesoderm specific transcript (mouse) homolog	gb:NM_002402.1	1620.37	3.78	0.39	P<0.001
Potassium channel, subfamily K, member 1 (TWIK-1)	gb:NM_002245.1	241.77	3.75	0.3	P<0.001
Tropomyosin 1 (alpha)	gb:NM_000366.1	220.07	3.67	0.37	P<0.001
Solute carrier family 16 (monocarboxylic acid transporters), member 31	gb:NM_004207.1	772.57	3.59	0.87	P<0.001
HEMBA1001071, highly similar to procollagen alpha 1(III) chain precursor	gb:AU144167	259.17	3.56	0.83	P<0.001
Insulin-like growth factor binding protein 7	gb:NM_001553.1	174.07	3.55	0.52	P<0.001
G protein-coupled receptor 37 (endothelin receptor type B-like)	gb:U87460.1	143.6	3.54	0.83	P<0.001
Aldehyde dehydrogenase 3 family, member A1	gb:NM_000691.1	4559.77	3.52	0.56	P<0.001
RGC32 protein	gb:NM_014059.1	85.7	3.5	0.51	P<0.001
Immunoglobulin superfamily, member 4	gb:NM_014333.1	161.27	3.5	0.82	P<0.001
Heat shock 70 kDa protein 1B	gb:NM_005346.2	1122.9	3.39	0.51	P<0.001
Putative human HLA class II associated protein I	gb:NM_006305.1	295.03	3.36	0.76	P<0.001
Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	gb:NM_002167.1	626.33	3.3	0.24	P<0.001
Heat shock 70 kDa protein 2	gb:U56725.1	193.23	3.25	0.36	P<0.001
