Loci	Candidate gene	Frequency (%) in SCLC	Frequency (%) in LCNEC
1p34.3	MYCL1	0	10
1p32	RLF	0	10
1p32	EPS15	0	6
1p22	DPYD	20	7
1q25	TPR	30	23
1q25.2–1q25.3	PTGS2	30	16
2q21.2	LRP1B	40	23
2q31–2q32	ITGA4	0	6
3q21–3q25	TM4SF1	30	3
3q21–3q27	MME	60	19
3q25.1	MLF1	20	6
3q26	SNO	20	6
3q26	TERC	20	3
3q26	EVI1	60	53
3q26	TNFSF10	20	3
3q26	PIK3CA	20	6
3q26.1–3q26.2	ECT2	30	13
3q26.2	EIF5A2	20	10
3q26.33	USP13	20	6
3q27	BCL6	20	3
3q27–3q29	TP63	40	26
3q28	ETV5	20	6
3q28	SST	30	10
5p14.3	CDH12	10	23
5p14.2	CDH10	60	73
5p13	SKP2	20	42
5p13	DAB2	50	49
5p13	PC4	0	10
5p12	GHR	10	6
5p12	ZNF131	0	13
7q21.1	HGF	44	32
8q12	LYN	0	7
8q12–8q13	IL7	0	29
8q21	TPD52	0	13
8q21	NBS1	10	40
8p22–8q21.3	E2F5	0	25
8q22	MYBL1	0	6
8q22	STK3	0	17
8q22	HAS2	0	33
8q22.1	P53INP1	0	10
8q22–8q23	EIF3S6	0	30
8q23	EXT1	0	10
8q24	OPG	10	48
8q24	MYC	0	10
8q24.1	NOV	0	26
8q24.21	MLZE	0	6
12p12.1	KRAS2	0	10
12p11.2	KRAG	0	6
12p12.1–12p11.2	PTHLH	0	10
14q12	MBIP	10	16
14q12	HNF3A	0	10
14q13	FKHL1	20	13
18q11.2	RBBP8	10	7
18q11.2	SSXT	0	6
18q21	MADH2	10	10
18q21	DCC	10	10
18q21	GRP	10	10
18q21	MLL1	0	6
18q21.3	PI5	10	6
18q21.3	FVT1	1	6
18q21.3	SCCA1, SCCA2	0	15
18q22	BCL2	10	7
