Gene function	Accession no.	Symbol	Expression
Growth factor and chemokine receptors/hormone receptors	AL833597	CSF2RA	-
Growth factor and chemokine receptors/hormone receptors	AY449732	PTHR1	+
Growth factor and chemokine receptors/hormone receptors	AB023192	NISCH	+
Growth factor and chemokine receptors/hormone receptors	AK130009	FRZB	+
Growth factor and chemokine receptors/hormone receptors	AC_004663	NOTCH3	-
Growth factor and chemokine receptors/hormone receptors	AB084454	ANGPT1	+
Growth factor and chemokine receptors/hormone receptors	AB005060	NRG2	+
Growth factor and chemokine receptors/hormone receptors	AC_005369	IK	+
Growth factor and chemokine receptors/hormone receptors	AJ238420	PDGFA	-
Growth factor and chemokine receptors/hormone receptors	BC000125	TGFB1	-
Growth factor and chemokine receptors/hormone receptors	AF003521	JAG2	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AB014764	COPS7A	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AB015718	STK10	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC014243	TYK2	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC012085	STK38	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC002438	RAB4A	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF070597	GNB1	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC002829	S100A2	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AK022697	CBARA1	-
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	BC015800	DXYS155E	+
Intracellular transducers/modulators/kinase/protein phosphatases/GTP/GDP exchangers and G-protein GTPase modulators	AF168956	APLP2	-
Transcription/transcription activators and repressor/RNA polymerase	BC028412	ELL2	+
Transcription/transcription activators and repressor/RNA polymerase	D10570	RUNX1	-
Transcription/transcription activators and repressor/RNA polymerase	AF139463	EGR2	-
Transcription/transcription activators and repressor/RNA polymerase	AB004066	BHLHB2	-
Transcription/transcription activators and repressor/RNA polymerase	AF064804	SUPT3H	+
Transcription/transcription activators and repressor/RNA polymerase	AK025458	NUCB1	-
Transcription/transcription activators and repressor/RNA polymerase	AA846273	PRCC	+
Transcription/transcription activators and repressor/RNA polymerase	AL031228	RING1	+
Transcription/transcription activators and repressor/RNA polymerase	BC030810	ZNF230	-
Transcription/transcription activators and repressor/RNA polymerase	AF080561	RBM14	-
Cell cycle proteins	BI547129	ZW10	-
Oncogenes and tumor suppressors	BC002646	JUN	-
Oncogenes and tumor suppressors	AF508978	MTA1	-
Cell adhesion receptors/matrix adhesion receptors/cell-cell adhesion receptors	BC020740	SGCD	-
Cell adhesion receptors/matrix adhesion receptors/cell-cell adhesion receptors	AK125542	SRPX	+
Cell adhesion receptors/matrix adhesion receptors/cell-cell adhesion receptors	AF136185	COL17A1	+
Cell adhesion receptors/matrix adhesion receptors/cell-cell adhesion receptors	L25851	ITGAE	+
Extracellular matrix proteins	AC_002366	AMELX	+
Extracellular matrix proteins	BC014410	EFEMP1	-
Extracellular matrix proteins	AI290070	THBS1	+
Apoptosis-associated proteins	AB015051	DAXX	-
Apoptosis-associated proteins	AF111344	CASP10	+
Apoptosis-associated proteins	AF022224	BAG1	+
Apoptosis-associated proteins	BC019307	BCL2L1	+
Apoptosis-associated proteins	AB051763	POR	-
Apoptosis-associated proteins	AF002697	BNIP3	-
DNA replication/DNA damage/repair proteins and DNA ligases	AY032603	MCM3	-
DNA replication/DNA damage/repair proteins and DNA ligases	AK092872	ERCC2	+
DNA replication/DNA damage/repair proteins and DNA ligases	AK098615	CRY1	-
Metabolism	AK130664	MTHFD2	-
Metabolism	BC035837	HAS1	+
Metabolism	AL831821	ACADSB	+
Metabolism	AJ251501	GAD2	+
Metabolism	AK000379	ASNS	-
Metabolism	AK094782	GLUD1	-
Metabolism	AF044206	PTGS2	-
Cytoskeleton/motility/intermediate filament	AF081484	K-ALPHA-1	-
Cytoskeleton/motility/intermediate filament	BC009971	KRTHA3B	+
Cytoskeleton/motility/intermediate filament	AY117678	TPT1	+
Cytoskeleton/motility/intermediate filament	AB025186	MAPRE3	-
Translation factors	AC_004976	GARS	-
RNA processing, turnover, and transport	AB061546	SRP14	+
RNA processing, turnover, and transport	AB061546	SRP14	+
RNA processing, turnover, and transport	AB061546	SRP14	+
Chromatin proteins	AK128741	CHD4	+
Chromatin proteins	AF002713	CENPB	-
Chromatin proteins	AC_005943	MBD3	-
Drug resistance proteins	AB005754	POLS	-
Protein turnover	AB003730	UBC	+
Protein turnover	AJ313463	DF	+
Nuclear receptors	AF109134	OGFR	+
Facilitated diffusion proteins/symporters and antiporters	AF061809	KRT16	+
Facilitated diffusion proteins/symporters and antiporters	AY142112	SLC4A3	+
Facilitated diffusion proteins/symporters and antiporters	AC_004000	SLC25A5	-
Targeting/exocytosis	AC_006378	BET1	+
Targeting/exocytosis	AL021917	BTN3A3	+
Chaperones/protein modification enzymes	AK097824	HSPA2	+
Chaperones/protein modification enzymes	AF047432	ARF6	+
Chaperones/protein modification enzymes	AK096243	RPN2	+
Functionally unclassified	AF053134	SNCB	+
Functionally unclassified	BC009356	CDC42EP1	-
Functionally unclassified	AB002301	KIAA0303	-
Functionally unclassified	AF007132	ABHD5	-
Not classified	AB031083	AKR1C1	+
Not classified	AB014595	CUL4B	+
Not classified	AF077204	GTPBP1	+
Not classified	AB018266	MATR3	-
Not classified	AB014528	KIAA0628	+
Not classified	AB014610	USP52	+
Not classified	AF056022	KATNA1	+
Not classified	AB011096	SARM1	+
Not classified	AK023082	GORASP2	+
Not classified	AB014581	L3MBTL	+
Not classified	AF062174	TRIAD3	-
Not classified	AB040969	KIAA1536	-
Not classified	AF452623	CRELD1	-
Not classified	BC009696	IFITM2	+
Not classified	AK025504	KIAA0251	-
Not classified	AB014548	KIAA0648	+
Not classified	AB078417	RIS1	+
Not classified	AK000818	FLJ20811	+
Not classified	AJ245587	ZNF248	+
Not classified	AJ306929	AFURS1	-
Not classified	AB040972	KIAA1539	-
Not classified	AB059429	BUCS1	+
Not classified	AK074486	FLJ90005	-
Not classified	AJ420534	C6orf145	-
