Entrez gene ID	Gene	Description	Fold difference	Chromosomal location	Function
1026	CDKN1A	CDK inhibitor 1A (p21, Cip1)	2.257365	6p21.2	CDK inhibitor
10981	RAB32	RAB32, member RAS oncogene family	2.135154	6q24.3	Participates in mitochondrial anchoring of PKA
5906	RAP1A	RAP1A, member of RAS oncogene family	1.980178	1p13.3	Interacts with RAS GAPs and RAF to counteract the mitogenic function of RAS
5134	PDCD2	Programmed cell death 2	1.948819	6q27	May play a role in cell death
9689	BZW1	Basic leucine zipper and W2 domains 1	1.896422	2q33	Enhances histone H4 gene transcription
5116	PCNT	Pericentrin	1.883309	21q22.3	Integral component of the pericentriolar material
10950	BTG3	BTG family, member 3	1.881548	21q21.1-q21.2	Involved in the negative regulation of cell proliferation
5877	RABIF	RAB interacting factor	1.813152	1q32-q41	Guanine nucleotide–releasing protein that acts on members of the SCE4/YPT1/RAB subfamily
3301	DNAJA1	DnaJ (Hsp40) homologue, subfamily A, member 1	1.783573	9p13-p12	May play a role in protein import into mitochondria
9208	LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1	1.714645	2q37.3	Transcriptional repressor, may regulate expression of TNF, EGFR, and PDGFA
1841	DTYMK	Deoxythymidylate kinase (thymidylate kinase)	1.698028	2q37.3	Catalyzes the conversion of dTMP to dTDP
4675	NAP1L3	Nucleosome assembly protein 1-like 3	1.676265	Xq21.3-q22	Involved in nucleosome assembly
5707	PSMD1	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	1.667157	2q37.1	Regulatory subunit of the 26 proteasome, which is involved in the ATP-dependent degradation of ubiquitinated proteins
5110	PCMT1	Protein L-isoaspartate (L-aspartate) O-methyltransferase	1.627503	6q24-q25	Catalyzes the methyl esterification of L-isoaspartyl andD-aspartyl residues
7307	U2AF1	U2 small nRNA auxiliary factor 1	1.618806	21q22.3	Plays a critical role in both constitutive and enhancer-dependent splicing
2971	GTF3A	General transcription factor IIIA	1.615342	13q12.3-q13.1	RNA polymerase III transcription factor inducing transcription of the 5S rRNA genes
4192	MDK	Midkine (neurite growth-promoting factor 2)	1.605163	11p11.2	Has heparin binding activity and growth-promoting activity
23369	PUM2	Pumilio homologue 2 (Drosophila)	0.756976	2p22-p21	Sequence-specific RNA-binding protein that regulates translation and mRNA stability
2195	FAT1	FAT tumor suppressor homologue 1 (Drosophila)	0.749822	4q35	May function as a cell-adhesion protein
51690	LSM7	LSM7 homologue, U6 small nRNA associated (S. cerevisiae)	0.74828	19p13.3	Binds specifically to the 3?-terminal U-tract of U6 snRNA
6209	RPS15	Ribosomal protein S15	0.733836	19p13.3	component of the 40S ribosomal subunit
4267	CD99	CD99 molecule	0.708318	Xp22.32; Yp11.3	Involved in cell adhesion processes
1153	CIRBP	Cold inducible RNA binding protein	0.700366	19p13.3	May play an essential role in cold-induced suppression of cell proliferation
10975	UQCR	Ubiquinol-cytochrome creductase, 6.4-kDa subunit	0.663303	19p13.3	May function as an iron-sulfur protein-binding factor
1938	EEF2	Eukaryotic translation elongation factor 2	0.588235	19pter-q12	Essential factor for protein synthesis
6303	SAT1	Spermidine/spermine N1-acetyltransferase 1	0.427843	Xp22.1	Rate-limiting enzyme in the catabolic pathway of polyamine metabolism
