Accession	Alternate accession	Gene name	Gene ID	Patient	Significance	Reproduced	Rank	Source of Open Reading Frames	I.M.A.G.E. Consortium CloneID	n	Description from microarray manufacturer
NM_001348		DAPK3	1613	A	Candidate	Validated	1	HIP		39.40	death-associated protein kinase 3 (DAPK3), mRNA
BC013778		SLC7A6OS	84138	A	Candidate	Validated	2	ATCC	4345035	28.31	hypothetical protein FLJ13291, mRNA (cDNA clone MGC:16850 IMAGE:4345035), complete cds
BC021092		ZFYVE19	84936	A	Candidate	Validated	3	ATCC	4662224	13.93	zinc finger, FYVE domain containing 19, mRNA (cDNA clone MGC:31759 IMAGE:4662224), complete cds
NM_015640	BC017449	SERBP1	26135	A	Candidate	Validated	4	ORFeome	3535655	8.67	PAI-1 mRNA-binding protein (PAI-RBP1), mRNA
NM_145063	BC011709	C6orf130	221443	A	Candidate	Validated	5	RZPD	3942960	8.43	chromosome 6 open reading frame 130 (C6orf130), mRNA
BC012596		ARPC4	10093	A	Candidate	Not Tested	6			6.58	Similar to actin related protein 2/3 complex, subunit 4 (20 kD), clone MGC:13544 IMAGE:4296892, mRNA, complete cds
BC006005		MDS032	55850	A	Candidate	Validated	7	ORFeome	4279653	6.51	uncharacterized hematopoietic stem/progenitor cells protein MDS032, mRNA (cDNA clone MGC:14828 IMAGE:4279653), complete cds
NM_182692	BC035214	SRPK2	6733	A	Candidate	Not Tested	8	ORFeome	4778251	6.49	SFRS protein kinase 2 (SRPK2), transcript variant 1, mRNA
BC002755		MKNK1	8569	A	Candidate	Validated	9	HIP		5.99	MAP kinase-interacting serine/threonine kinase 1, mRNA (cDNA clone MGC:3690 IMAGE:3629765), complete cds
NM_018070	BC003605	SSBP3	23648	A	Candidate	Not Tested	10	ORFeome	3546126	5.90	single stranded DNA binding protein 3 (SSBP3), mRNA
BC038105		MPP7	143098	A	Candidate	Not Tested	11			5.68	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7), mRNA (cDNA clone MGC:33230 IMAGE:5269151), complete cds
BC027729				A	Candidate	Not Tested	12			5.51	similar to HOMEOBOX PROTEIN GOOSECOID ISOFORM A, clone MGC:23394 IMAGE:4651726, mRNA, complete cds
NM_004252		SLC9A3R1	9368	A	Candidate	Not Tested	13			5.48	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1 (SLC9A3R1), mRNA
