Symbol	Fold change	Gene assignment	Function/activity/tissue	Cluster category	GenBank accession no.
Prkcm	-2.34	protein kinase C, A	tyrosine kinase	cell growth/maintenance	Z34524
Mras	-2.7	muscle and microspikes RAS	small GTPase	cell growth/maintenance	AB004879
Tcf7	-2.74	transcription factor 7, T-cell specific	transcription factor	cell growth/maintenance	AI019193
Map3k8	-2.78	mitogen activated protein kinase kinase kinase 8	tyrosine kinase	cell growth/maintenance	D13759
Ssh3bp1	-3.71	spectrin SH3 domain binding protein 1	signal transduction, actin binding	cell growth/maintenance	U17698
Tiam1	-2.1	T-cell lymphoma invasion and metastasis 1	guanyl-nucleotide exchange factor	cell motility	AV331929
Krt1-13	-2.9	keratin complex 1, acidic, gene 13	intermediate monomer	cytoskeleton/structural	X03492
Yy1	-3	YY1 transcription factor	transcription factor	developmental	M74590
Dntt	-2.46	deoxynucleotidyltransferase, terminal	DNA nucleotidyltransferase	DNA biosynthesis	AV312871
Prkdc	-1.78	protein kinase, DNA activated, catalytic polypeptide	DNA-dependent protein kinase	DNA damage repair	AB011543
Serpini1	-2.86	serine (or cysteine) proteinase inhibitor, clade I, member 1	neural tissue	extracellular matrix remodeling	AJ001700
Pftk1	-1.95	PFTAIRE protein kinase 1	S/T kinase	energy metabolism	AF033655
Ckm	-2.22	creatine kinase, muscle	creatine kinase	energy metabolism	AV086797
Ghrl-pending	-2.78	ghrelin	ligand	energy metabolism	AV206059
Slfn3	-5.06	schlafen 3	lymphoid tissue	growth arrest	AF099974
Sel1h	-1.79	Sel1 (suppressor of lin-12) 1 homologue (C. elegans)	notch receptor activation growth	regulation	AF063095
Ash2l	-2.35	ash2 (absent, small, or homeotic)-like (Drosophila)	transcription factor	homeotic gene regulation	AV240479
Cd3z	-2.19	CD3 antigen, ~ polypeptide	receptor	immune response	J04967
Pglyrp	-7.41	peptidoglycan recognition protein	cytokine	immune response	AV092014
Pglyrp	-10.72	peptidoglycan recognition protein	cytokine	immune response	AF076482
Guca2	-2.76	guanylate cyclase activator 2 (guanylin 2, intestinal, heat stable)	ligand	ion-regulation	M95175
Ppap2a	-1.87	phosphatidic acid phosphatase 2a	acid phosphatase	lipid metabolism	D84376
Clcn7	-2.11	chloride channel 7	voltage-gated ion channel	membrane transport	AI122121
Gabrr1	-2.39	g-GABA-A receptor, subunit U1	ligand-gated ion channel	membrane transport	AF024620
Aqp9	-2.89	aquaporin 9	membrane channel	membrane transport	AA967194
Slc16a7	-4.9	solute carrier family 16 (monocarboxylic acid transporters), member 7	carrier activity	membrane transport	AF058054
Gfi1	-2.23	growth factor independent 1	transcription factor	morphogenesis	U58972
C1r	-2.09	complement component 1, r subcomponent	endopepdidase	protein processing	AV239653
Rab1	-1.93	RAB1, member RAS oncogene family	small GTPase	protein trafficking	AI853053
Hsp105	-1.85	heat shockprotein	heat shockprotein	stress response	L40406
