EGID	ENSID	RSID	GENESYMBOL	AvgLogFC	AvgAdjPvalue	RelativeOver-expression
24772	ENSRNOG00000013589	NM_022177	CXCL12	3.10	3.186E-07	MesPC
24153	ENSRNOG00000028896	NM_012488	A2M	2.30	6.543E-05	MesPC
25692	ENSRNOG00000019018	NM_013151	PLAT	2.13	2.730E-07	MesPC
24596	ENSRNOG00000005392	NM_012610	NGFR	2.06	6.497E-07	MesPC
171163	ENSRNOG00000012876	NM_133623	SLC6A13	2.05	9.467E-07	MesPC
25625	ENSRNOG00000031312	NM_013091	TNFRSF1A	1.94	5.763E-05	MesPC
29539	ENSRNOG00000001344	NM_032416	ALDH2	1.82	1.480E-07	MesPC
64513	ENSRNOG00000005917	NM_033485	PAWR	1.77	5.590E-05	MesPC
83619	ENSRNOG00000001548	NM_031789	NFE2L2	1.77	1.405E-04	MesPC
54702	ENSRNOG00000005053	NM_019371	EGLN3	1.74	2.600E-06	MesPC
117549	ENSRNOG00000002524	NM_057201	GPR37	1.65	5.267E-06	MesPC
24212	ENSRNOG00000007290	NM_012505	ATP1A2	1.64	3.262E-04	MesPC
24423	ENSRNOG00000029726	NM_017014	GSTM1	1.58	3.070E-06	MesPC
315714	ENSRNOG00000008680	NM_001012125	LOXL1	1.52	2.213E-06	MesPC
316742	ENSRNOG00000015906	NM_001015020	TGIF	1.50	4.307E-05	MesPC
29318	ENSRNOG00000001239	NM_024131	DDT	1.46	9.887E-06	MesPC
25728	ENSRNOG00000018454	NM_138828	APOE	1.45	3.105E-04	MesPC
24223	ENSRNOG00000017123	NM_012512	B2M	1.40	2.920E-06	MesPC
295217	ENSRNOG00000013356	NM_001025648	SNAPAP	1.18	1.663E-06	MesPC
85272	ENSRNOG00000007108	XM_342591	BMP7	1.16	1.742E-04	MesPC
81818	ENSRNOG00000018087	NM_031140	VIM	1.15	4.160E-06	MesPC
81632	ENSRNOG00000002636	NM_031003	ABAT	1.10	4.378E-04	MesPC
25112	ENSRNOG00000005615	NM_024127	GADD45A	1.09	9.963E-06	MesPC
25104	ENSRNOG00000019372	NM_012744	PC	1.02	1.747E-04	MesPC
25227	ENSRNOG00000011150	NM_033443	ARSB	1.01	3.541E-04	MesPC
24392	ENSRNOG00000000805	NM_012567	GJA1	1.00	2.673E-04	MesPC
25177	ENSRNOG00000000875	NM_001033926	FHL1	0.93	3.247E-05	MesPC
25491	ENSRNOG00000018681	NM_012987	NES	0.90	4.750E-04	MesPC
83584	ENSRNOG00000009508	NM_031775	CASP6	0.90	2.798E-04	MesPC
24686	ENSRNOG00000021259	NM_012631	PRNP	0.90	1.443E-05	MesPC
25508	ENSRNOG00000033280	NM_013000	PAM	0.84	4.407E-06	MesPC
363875	ENSRNOG00000001068	NM_134366	RAC1	0.83	6.853E-05	MesPC
24530	ENSRNOG00000019573	NM_017024	LCAT	0.81	3.600E-05	MesPC
50719	ENSRNOG00000018824	NM_017353	SLC7A5	0.79	1.085E-04	MesPC
24788	ENSRNOG00000017291	NM_017052	SORD	0.79	9.679E-05	MesPC
79212	ENSRNOG00000006527	NM_024371	SLC6A1	0.79	8.860E-06	MesPC
84485	ENSRNOG00000019691	NM_053425	CCS	0.78	2.463E-04	MesPC
286898	ENSRNOG00000012062	NM_173118	NPC2	0.72	7.973E-06	MesPC
25125	ENSRNOG00000019742	NM_012747	STAT3	0.71	6.022E-04	MesPC
25368	ENSRNOG00000012325	NM_012895	ADK	0.62	2.013E-04	MesPC
171135	ENSRNOG00000014475	NM_133600	SLC31A1	0.62	3.827E-04	MesPC
299858	ENSRNOG00000025053	XM_243524	LRP1	0.57	2.421E-04	MesPC
83799	ENSRNOG00000012640	NM_031973	DPP7	0.57	3.506E-04	MesPC
29499	ENSRNOG00000006120	NM_017221	SHH	0.47	1.974E-04	MesPC
24786	ENSRNOG00000002115	NM_017050	SOD1	0.44	8.478E-04	MesPC
24644	ENSRNOG00000002467	NM_053291	PGK1	0.39	6.110E-04	MesPC
112400	ENSRNOG00000010392	NM_031588	NRG1	20.33	7.169E-04	MesE11
24807	ENSRNOG00000005853	NM_012667	TACR1	20.35	3.776E-04	MesE11
24600	ENSRNOG00000009348	NM_021838	NOS3	20.43	2.880E-04	MesE11
114856	ENSRNOG00000003977	NM_053769	DUSP1	20.43	3.614E-04	MesE11
171099	ENSRNOG00000014761	NM_133568	RASD2	20.44	5.449E-04	MesE11
192215	ENSRNOG00000028844	NM_138858	SLC9A5	20.44	5.824E-04	MesE11
29410	ENSRNOG00000022405	NM_019207	NEUROD3	20.48	1.579E-04	MesE11
